Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
dna_illumina_R1	(0.0, 1.0)	(1.0, 0.5)	(2.0, 0.0)	(3.0, 0.5)	(4.0, 1.5)	(5.0, 1.0)	(6.0, 1.5)	(7.0, 2.5)	(8.0, 5.0)	(9.0, 18.5)	(10.0, 29.0)	(11.0, 39.0)	(12.0, 65.0)	(13.0, 117.5)	(14.0, 219.0)	(15.0, 392.0)	(16.0, 678.5)	(17.0, 1231.0)	(18.0, 2005.5)	(19.0, 2995.0)	(20.0, 3584.0)	(21.0, 4359.0)	(22.0, 6239.5)	(23.0, 8897.0)	(24.0, 12561.5)	(25.0, 16804.0)	(26.0, 21658.0)	(27.0, 28418.0)	(28.0, 36762.5)	(29.0, 46371.0)	(30.0, 51671.0)	(31.0, 57227.0)	(32.0, 68776.5)	(33.0, 81015.0)	(34.0, 92740.5)	(35.0, 102527.5)	(36.0, 110857.5)	(37.0, 117669.0)	(38.0, 120412.0)	(39.0, 118457.5)	(40.0, 116548.0)	(41.0, 112480.0)	(42.0, 102095.0)	(43.0, 89210.5)	(44.0, 75055.0)	(45.0, 60569.5)	(46.0, 47332.5)	(47.0, 35549.5)	(48.0, 25998.5)	(49.0, 18751.5)	(50.0, 15612.0)	(51.0, 13129.5)	(52.0, 8899.0)	(53.0, 5967.5)	(54.0, 3994.5)	(55.0, 2668.5)	(56.0, 1824.0)	(57.0, 1241.0)	(58.0, 840.0)	(59.0, 592.5)	(60.0, 471.0)	(61.0, 389.5)	(62.0, 251.5)	(63.0, 151.5)	(64.0, 80.0)	(65.0, 36.5)	(66.0, 16.5)	(67.0, 8.0)	(68.0, 4.0)	(69.0, 3.0)	(70.0, 2.0)	(71.0, 1.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
dna_illumina_R2	(0.0, 1.0)	(1.0, 1.0)	(2.0, 1.5)	(3.0, 3.0)	(4.0, 4.0)	(5.0, 5.5)	(6.0, 8.5)	(7.0, 11.5)	(8.0, 17.5)	(9.0, 29.0)	(10.0, 36.0)	(11.0, 52.5)	(12.0, 96.0)	(13.0, 159.5)	(14.0, 274.0)	(15.0, 494.5)	(16.0, 816.0)	(17.0, 1487.0)	(18.0, 2370.0)	(19.0, 3419.0)	(20.0, 4077.0)	(21.0, 4925.0)	(22.0, 7043.5)	(23.0, 9868.0)	(24.0, 13533.5)	(25.0, 18074.0)	(26.0, 23437.0)	(27.0, 30540.5)	(28.0, 39135.0)	(29.0, 48811.5)	(30.0, 54063.0)	(31.0, 59645.5)	(32.0, 71310.5)	(33.0, 83526.0)	(34.0, 95035.5)	(35.0, 104477.0)	(36.0, 112117.5)	(37.0, 117686.5)	(38.0, 119385.5)	(39.0, 116902.5)	(40.0, 114714.0)	(41.0, 109769.0)	(42.0, 98844.0)	(43.0, 86170.0)	(44.0, 72135.0)	(45.0, 57663.0)	(46.0, 44492.0)	(47.0, 33546.0)	(48.0, 24515.5)	(49.0, 17423.0)	(50.0, 14455.0)	(51.0, 12138.0)	(52.0, 8358.0)	(53.0, 5681.0)	(54.0, 3744.0)	(55.0, 2490.0)	(56.0, 1694.0)	(57.0, 1173.0)	(58.0, 781.0)	(59.0, 533.5)	(60.0, 422.0)	(61.0, 347.5)	(62.0, 223.0)	(63.0, 126.0)	(64.0, 59.0)	(65.0, 30.0)	(66.0, 13.5)	(67.0, 5.5)	(68.0, 4.0)	(69.0, 2.0)	(70.0, 1.0)	(71.0, 0.5)	(72.0, 0.0)	(73.0, 0.5)	(74.0, 0.5)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
dna_pacbio_run1_cell1.subreads	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 0.5)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.5)	(16.0, 1.0)	(17.0, 1.0)	(18.0, 2.0)	(19.0, 1.5123456790123457)	(20.0, 2.090909090909091)	(21.0, 4.467951708205606)	(22.0, 4.257575757575758)	(23.0, 3.917247386759582)	(24.0, 4.954571199299206)	(25.0, 3.9382790589954935)	(26.0, 5.593717708736483)	(27.0, 9.546738544408337)	(28.0, 10.763024533864112)	(29.0, 13.378725506437071)	(30.0, 15.740436142305317)	(31.0, 16.282531794427754)	(32.0, 20.964303183907106)	(33.0, 25.87765652802081)	(34.0, 31.48378475439693)	(35.0, 37.71114547477533)	(36.0, 46.24670688362057)	(37.0, 61.91841747734937)	(38.0, 90.97687922967714)	(39.0, 107.57274997134742)	(40.0, 121.51476258813379)	(41.0, 115.59075573421347)	(42.0, 101.23122800510639)	(43.0, 77.09360436783236)	(44.0, 66.60448281336559)	(45.0, 54.16997877844184)	(46.0, 34.129781467146664)	(47.0, 33.61301812115487)	(48.0, 29.71541093774593)	(49.0, 21.672417446975075)	(50.0, 21.03147426263639)	(51.0, 19.82210037148046)	(52.0, 16.008552726218966)	(53.0, 12.876187261445095)	(54.0, 5.352510124284318)	(55.0, 2.0555141579731746)	(56.0, 2.929624403682053)	(57.0, 2.903679653679654)	(58.0, 3.5434497196792276)	(59.0, 1.5909090909090908)	(60.0, 0.6413934426229508)	(61.0, 1.032258064516129)	(62.0, 1.6639508419506097)	(63.0, 0.8871796456672184)	(64.0, 1.024390243902439)	(65.0, 1.0999180999181)	(66.0, 0.3333333333333333)	(67.0, 0.38095238095238093)	(68.0, 1.132258064516129)	(69.0, 1.0)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 1.0)	(73.0, 1.1428571428571428)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
dna_pacbio_run1_cell2.subreads	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 0.8333333333333333)	(16.0, 1.424242424242424)	(17.0, 2.5)	(18.0, 4.0)	(19.0, 7.5)	(20.0, 6.515918195235083)	(21.0, 5.042338375825948)	(22.0, 6.5)	(23.0, 7.750440917107584)	(24.0, 8.348117416349567)	(25.0, 10.581276020358999)	(26.0, 15.116216303235635)	(27.0, 12.178226101931443)	(28.0, 14.233882497055815)	(29.0, 20.57143406665516)	(30.0, 19.75078086603651)	(31.0, 23.11096155880196)	(32.0, 27.024868480011182)	(33.0, 36.170867041628426)	(34.0, 42.160636330387916)	(35.0, 49.97984065099187)	(36.0, 63.8592604280067)	(37.0, 78.31013287772093)	(38.0, 95.18005989020794)	(39.0, 116.21634505564326)	(40.0, 134.96037187484697)	(41.0, 123.60932129521221)	(42.0, 113.53537432777235)	(43.0, 100.47567905743294)	(44.0, 87.35079139092329)	(45.0, 64.10594002044868)	(46.0, 50.849741839383945)	(47.0, 43.319783692719874)	(48.0, 24.97510588445599)	(49.0, 25.192824029055377)	(50.0, 25.546341295021385)	(51.0, 22.580394135051485)	(52.0, 16.792668919264162)	(53.0, 11.299523150038636)	(54.0, 9.44235606265967)	(55.0, 7.563049022815116)	(56.0, 5.652194102493774)	(57.0, 4.226623376623376)	(58.0, 2.9185541047329666)	(59.0, 1.6736515071390798)	(60.0, 1.67095312549858)	(61.0, 1.9768379060583745)	(62.0, 0.551865907653384)	(63.0, 1.2184517727686608)	(64.0, 2.7258162688578755)	(65.0, 2.032258064516129)	(66.0, 1.0)	(67.0, 0.5)	(68.0, 0.38551283443756557)	(69.0, 0.5)	(70.0, 1.0)	(71.0, 1.064516129032258)	(72.0, 1.0)	(73.0, 0.5476190476190477)	(74.0, 0.0)	(75.0, 0.09090909090909091)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
dna_pacbio_run1_cell3.subreads	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.5)	(10.0, 0.5)	(11.0, 0.5)	(12.0, 0.5)	(13.0, 0.5)	(14.0, 1.0)	(15.0, 2.0)	(16.0, 3.0)	(17.0, 2.125)	(18.0, 2.5)	(19.0, 2.333333333333333)	(20.0, 2.9242424242424243)	(21.0, 6.487569355527102)	(22.0, 7.238636363636363)	(23.0, 6.606500488758553)	(24.0, 8.812777979376497)	(25.0, 10.417956213303185)	(26.0, 12.253470153672836)	(27.0, 17.754936230990527)	(28.0, 17.347293171636345)	(29.0, 16.68160202660544)	(30.0, 21.781308051333152)	(31.0, 28.242520705183143)	(32.0, 31.325572225556193)	(33.0, 35.41138331260815)	(34.0, 37.05895910560448)	(35.0, 48.71635183166499)	(36.0, 63.07027985011442)	(37.0, 78.35746767986842)	(38.0, 106.33325604313006)	(39.0, 119.81590771449741)	(40.0, 130.62091814680633)	(41.0, 125.75520465684566)	(42.0, 107.66266651906936)	(43.0, 90.8301322721865)	(44.0, 69.39120346386758)	(45.0, 63.224273698193514)	(46.0, 54.99918808126627)	(47.0, 40.71993079601329)	(48.0, 33.69739197400938)	(49.0, 29.1633518901094)	(50.0, 20.29459917000281)	(51.0, 19.888502021343925)	(52.0, 16.871841903513353)	(53.0, 10.819017562261884)	(54.0, 9.64539666468282)	(55.0, 6.1210106699354005)	(56.0, 5.510933779129625)	(57.0, 3.627234582662271)	(58.0, 1.9375693555271019)	(59.0, 0.49845399698340875)	(60.0, 1.3943908128277391)	(61.0, 3.4760754403156415)	(62.0, 2.874117019858723)	(63.0, 1.1196283391405344)	(64.0, 1.5140845070422535)	(65.0, 1.532258064516129)	(66.0, 1.1825262255678324)	(67.0, 1.0588235294117647)	(68.0, 0.5909090909090909)	(69.0, 0.5)	(70.0, 0.5909090909090909)	(71.0, 0.0)	(72.0, 0.0)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
dna_pacbio_run2_cell1.subreads	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.5)	(15.0, 1.0)	(16.0, 1.0)	(17.0, 1.0476190476190477)	(18.0, 1.0)	(19.0, 1.3655913978494623)	(20.0, 1.940082644628099)	(21.0, 2.6439789884911833)	(22.0, 2.202339421526676)	(23.0, 2.5017421602787455)	(24.0, 2.445777040443475)	(25.0, 3.430949166206998)	(26.0, 3.053372889564988)	(27.0, 5.469256230389461)	(28.0, 9.513041989191194)	(29.0, 13.537961214207526)	(30.0, 16.097923706495873)	(31.0, 18.855840313834335)	(32.0, 24.595358736537687)	(33.0, 34.23925677426479)	(34.0, 42.39543072876281)	(35.0, 54.14983379695406)	(36.0, 72.59651327820124)	(37.0, 85.54232890142123)	(38.0, 121.0084760413676)	(39.0, 141.7257688794449)	(40.0, 163.28848041017105)	(41.0, 184.17815515739332)	(42.0, 179.2892511883543)	(43.0, 151.92957752965768)	(44.0, 130.06533880802561)	(45.0, 108.99909068539995)	(46.0, 103.14703800592372)	(47.0, 89.9331175415514)	(48.0, 64.36269455064726)	(49.0, 48.28117633312647)	(50.0, 39.11600908442261)	(51.0, 31.17593154369098)	(52.0, 20.092212680486536)	(53.0, 14.65600517547236)	(54.0, 15.435806427979132)	(55.0, 13.814851126390588)	(56.0, 10.438679506456356)	(57.0, 6.0738858299477085)	(58.0, 4.519532176259375)	(59.0, 4.17831152671925)	(60.0, 1.6462940584390593)	(61.0, 0.8930189270472513)	(62.0, 1.2673310162557474)	(63.0, 0.9080310732849717)	(64.0, 1.2111164931334777)	(65.0, 1.72389569517815)	(66.0, 1.8471443918585406)	(67.0, 1.532258064516129)	(68.0, 1.5909090909090908)	(69.0, 1.0640124902419985)	(70.0, 0.024390243902439025)	(71.0, 0.09090909090909091)	(72.0, 0.0)	(73.0, 0.09090909090909091)	(74.0, 0.0)	(75.0, 0.024390243902439025)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
dna_pacbio_run2_cell2.subreads	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.2)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.16666666666666666)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.75)	(20.0, 1.3333333333333333)	(21.0, 0.976190476190476)	(22.0, 1.0833333333333333)	(23.0, 1.3575837742504409)	(24.0, 2.1970092915214865)	(25.0, 3.2057221377042744)	(26.0, 3.0409221690673682)	(27.0, 5.431677391694143)	(28.0, 7.536509801810658)	(29.0, 10.312724357127484)	(30.0, 13.7367626923133)	(31.0, 14.186927298964306)	(32.0, 18.87095601220178)	(33.0, 23.82078049000831)	(34.0, 34.34758146086656)	(35.0, 45.70461758225403)	(36.0, 62.405283008068466)	(37.0, 93.31420438978542)	(38.0, 108.87208492996878)	(39.0, 137.99375838005358)	(40.0, 166.1709549863616)	(41.0, 176.48128699128216)	(42.0, 170.4875158162185)	(43.0, 161.8112619008271)	(44.0, 144.72147633863787)	(45.0, 125.42143188992058)	(46.0, 101.46291787111291)	(47.0, 82.2861583415167)	(48.0, 62.234601296346185)	(49.0, 54.04348761035519)	(50.0, 46.171296932802136)	(51.0, 32.806124400022924)	(52.0, 28.84558098582614)	(53.0, 23.411434249476955)	(54.0, 19.575879644551602)	(55.0, 14.28581979838571)	(56.0, 11.444453847129756)	(57.0, 10.125332899731418)	(58.0, 6.530087224200503)	(59.0, 2.3515535629343782)	(60.0, 3.7124416188691463)	(61.0, 5.084074783784999)	(62.0, 3.231544957774466)	(63.0, 2.3051948051948052)	(64.0, 1.1360217817634852)	(65.0, 0.26639344262295084)	(66.0, 0.07521697203471553)	(67.0, 0.3543581866162511)	(68.0, 0.03225806451612903)	(69.0, 0.8333333333333333)	(70.0, 1.0)	(71.0, 1.0)	(72.0, 1.0)	(73.0, 0.5909090909090909)	(74.0, 0.0)	(75.0, 0.0)	(76.0, 0.0)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.3333333333333333)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
dna_pacbio_run2_cell3.subreads	(0.0, 0.0)	(1.0, 0.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	(10.0, 0.0)	(11.0, 0.0)	(12.0, 0.0)	(13.0, 0.0)	(14.0, 0.0)	(15.0, 0.0)	(16.0, 0.0)	(17.0, 0.0)	(18.0, 0.0)	(19.0, 0.01639344262295082)	(20.0, 0.0)	(21.0, 0.39285714285714285)	(22.0, 1.0)	(23.0, 3.8528138528138527)	(24.0, 5.237221348019932)	(25.0, 3.435506477481623)	(26.0, 4.503511753727565)	(27.0, 5.145719557664962)	(28.0, 3.8417566244380597)	(29.0, 5.262554487182372)	(30.0, 8.165510145344765)	(31.0, 14.192402041153832)	(32.0, 21.02591551824398)	(33.0, 29.057657203917046)	(34.0, 39.14416737799273)	(35.0, 45.43458924807476)	(36.0, 55.153741515463665)	(37.0, 77.91751278549813)	(38.0, 102.49114322959451)	(39.0, 132.92270147168125)	(40.0, 147.4702221474511)	(41.0, 154.984617334856)	(42.0, 153.04903045598098)	(43.0, 143.13843212482203)	(44.0, 123.28665645007757)	(45.0, 103.26872008521995)	(46.0, 82.28770964849069)	(47.0, 64.42516394467096)	(48.0, 57.000169222907154)	(49.0, 57.27711097205308)	(50.0, 45.42352271820524)	(51.0, 37.401099574951104)	(52.0, 26.281724855064322)	(53.0, 19.8679280183297)	(54.0, 18.256946296833082)	(55.0, 12.537993051003134)	(56.0, 7.094874301630398)	(57.0, 5.14729538741086)	(58.0, 3.8301984142267385)	(59.0, 3.7394785394785393)	(60.0, 4.8117035546613005)	(61.0, 3.138114000583942)	(62.0, 1.7628567341391888)	(63.0, 1.0344325026283487)	(64.0, 1.1438896023771752)	(65.0, 0.5)	(66.0, 0.3333333333333333)	(67.0, 0.5672268907563025)	(68.0, 0.5163934426229508)	(69.0, 0.04126707352513804)	(70.0, 0.0)	(71.0, 0.0)	(72.0, 0.047619047619047616)	(73.0, 0.0)	(74.0, 0.0)	(75.0, 0.5)	(76.0, 0.5)	(77.0, 0.0)	(78.0, 0.0)	(79.0, 0.0)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
rna_bhi_rep1_R1	(0.0, 22.0)	(1.0, 15.0)	(2.0, 6.5)	(3.0, 3.5)	(4.0, 3.0)	(5.0, 4.5)	(6.0, 3.0)	(7.0, 1.5)	(8.0, 3.0)	(9.0, 4.0)	(10.0, 4.5)	(11.0, 5.5)	(12.0, 8.0)	(13.0, 10.5)	(14.0, 16.0)	(15.0, 25.0)	(16.0, 52.0)	(17.0, 155.5)	(18.0, 320.0)	(19.0, 724.0)	(20.0, 1233.5)	(21.0, 1769.5)	(22.0, 2656.5)	(23.0, 5228.5)	(24.0, 10190.0)	(25.0, 14969.0)	(26.0, 19489.5)	(27.0, 34770.0)	(28.0, 53256.0)	(29.0, 70844.5)	(30.0, 95102.0)	(31.0, 129162.0)	(32.0, 184039.0)	(33.0, 281439.0)	(34.0, 387748.5)	(35.0, 511110.0)	(36.0, 626030.5)	(37.0, 786026.5)	(38.0, 1059211.5)	(39.0, 1326149.0)	(40.0, 1562161.0)	(41.0, 1770049.5)	(42.0, 1934839.0)	(43.0, 2073008.5)	(44.0, 2145976.0)	(45.0, 2121115.5)	(46.0, 1973727.0)	(47.0, 1747638.5)	(48.0, 1514772.0)	(49.0, 1298817.0)	(50.0, 997000.5)	(51.0, 752598.5)	(52.0, 607315.5)	(53.0, 399508.0)	(54.0, 232764.0)	(55.0, 128244.0)	(56.0, 77862.0)	(57.0, 57520.5)	(58.0, 38091.0)	(59.0, 21206.0)	(60.0, 11804.0)	(61.0, 5228.5)	(62.0, 2992.5)	(63.0, 1752.5)	(64.0, 582.0)	(65.0, 240.5)	(66.0, 118.0)	(67.0, 60.0)	(68.0, 30.0)	(69.0, 19.5)	(70.0, 8.0)	(71.0, 6.0)	(72.0, 6.5)	(73.0, 5.0)	(74.0, 3.0)	(75.0, 2.0)	(76.0, 1.0)	(77.0, 0.5)	(78.0, 1.0)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 1.0)	(85.0, 0.5)	(86.0, 0.5)	(87.0, 1.0)	(88.0, 1.0)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.0)
rna_bhi_rep1_R2	(0.0, 15.0)	(1.0, 14.0)	(2.0, 14.5)	(3.0, 18.0)	(4.0, 20.5)	(5.0, 26.5)	(6.0, 35.5)	(7.0, 42.0)	(8.0, 55.5)	(9.0, 68.0)	(10.0, 71.5)	(11.0, 94.0)	(12.0, 114.0)	(13.0, 143.5)	(14.0, 166.0)	(15.0, 202.5)	(16.0, 311.0)	(17.0, 564.5)	(18.0, 866.5)	(19.0, 1300.0)	(20.0, 1888.0)	(21.0, 2670.0)	(22.0, 4721.5)	(23.0, 8598.5)	(24.0, 15674.0)	(25.0, 28872.0)	(26.0, 42199.5)	(27.0, 51911.5)	(28.0, 63839.5)	(29.0, 84413.5)	(30.0, 118611.0)	(31.0, 163747.0)	(32.0, 228616.0)	(33.0, 320418.0)	(34.0, 419508.5)	(35.0, 527127.0)	(36.0, 665110.5)	(37.0, 821166.5)	(38.0, 1025698.5)	(39.0, 1328143.5)	(40.0, 1636245.0)	(41.0, 1843852.5)	(42.0, 1946873.5)	(43.0, 2019303.0)	(44.0, 2047446.0)	(45.0, 1955750.0)	(46.0, 1771670.5)	(47.0, 1565526.5)	(48.0, 1405757.5)	(49.0, 1249178.0)	(50.0, 1036490.5)	(51.0, 825579.5)	(52.0, 641729.5)	(53.0, 443526.5)	(54.0, 270139.5)	(55.0, 163179.5)	(56.0, 98875.0)	(57.0, 68070.5)	(58.0, 56697.5)	(59.0, 47973.5)	(60.0, 31517.5)	(61.0, 13273.5)	(62.0, 5529.5)	(63.0, 2484.5)	(64.0, 1193.5)	(65.0, 761.5)	(66.0, 538.5)	(67.0, 401.5)	(68.0, 285.0)	(69.0, 215.5)	(70.0, 176.0)	(71.0, 149.5)	(72.0, 126.0)	(73.0, 101.5)	(74.0, 91.5)	(75.0, 90.0)	(76.0, 79.0)	(77.0, 61.5)	(78.0, 58.0)	(79.0, 54.5)	(80.0, 46.0)	(81.0, 46.0)	(82.0, 46.5)	(83.0, 38.5)	(84.0, 33.0)	(85.0, 33.5)	(86.0, 28.5)	(87.0, 23.0)	(88.0, 30.5)	(89.0, 28.0)	(90.0, 18.5)	(91.0, 20.0)	(92.0, 26.5)	(93.0, 23.0)	(94.0, 21.0)	(95.0, 27.0)	(96.0, 26.5)	(97.0, 30.5)	(98.0, 37.0)	(99.0, 41.5)	(100.0, 79.5)
