Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
dna_illumina_R1	(1.0, 69.62028389866943)	(2.0, 21.180558101978335)	(3.0, 5.39749796159396)	(4.0, 1.8141021862845927)	(5.0, 0.8494438688265278)	(6.0, 0.4437906052913585)	(7.0, 0.2597795809080665)	(8.0, 0.15558440167924276)	(9.0, 0.09881341431282162)	('>10', 0.1801459804556701)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dna_illumina_R2	(1.0, 71.76627473640987)	(2.0, 20.070959314321044)	(3.0, 4.816550708070872)	(4.0, 1.6367545113985824)	(5.0, 0.7490286124972352)	(6.0, 0.3765700030424026)	(7.0, 0.23170170274616797)	(8.0, 0.1484544268366104)	(9.0, 0.07011982472385746)	('>10', 0.13358615995337347)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dna_pacbio_run1_cell1.subreads	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dna_pacbio_run1_cell2.subreads	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dna_pacbio_run1_cell3.subreads	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dna_pacbio_run2_cell1.subreads	(1.0, 99.99187982135606)	(2.0, 0.008120178643930167)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dna_pacbio_run2_cell2.subreads	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
dna_pacbio_run2_cell3.subreads	(1.0, 100.0)	(2.0, 0.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.0)	('>10', 0.0)	('>50', 0.0)	('>100', 0.0)	('>500', 0.0)	('>1k', 0.0)	('>5k', 0.0)	('>10k+', 0.0)
rna_bhi_rep1_R1	(1.0, 13.91405939127405)	(2.0, 4.160861643703504)	(3.0, 2.5532901850271568)	(4.0, 1.9831128670995752)	(5.0, 1.6198274616341217)	(6.0, 1.399973214776569)	(7.0, 1.2181090312042802)	(8.0, 1.1388995462000737)	(9.0, 0.9953657059203034)	('>10', 17.166999746596534)	('>50', 7.835983355324383)	('>100', 18.070696333866007)	('>500', 6.940782215020767)	('>1k', 12.042284462497465)	('>5k', 3.4744618730713626)	('>10k+', 5.485292966783922)
rna_bhi_rep1_R2	(1.0, 15.935102426624537)	(2.0, 4.898346248553048)	(3.0, 3.0548498819095613)	(4.0, 2.3619811199782967)	(5.0, 1.9231869905608112)	(6.0, 1.5912878176868583)	(7.0, 1.390760031136859)	(8.0, 1.2716946340267998)	(9.0, 1.115294421558847)	('>10', 18.59992449492586)	('>50', 8.02187321377447)	('>100', 17.29679285927081)	('>500', 5.935076708764877)	('>1k', 10.255596711128195)	('>5k', 2.7064373526269265)	('>10k+', 3.6417950874734344)
