Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
dna_illumina_R1	17.20952634472411	37.0	90.0	90	0.0	1.666667
dna_illumina_R2	15.899578262093357	37.0	90.0	90	0.0	1.666667
dna_pacbio_run1_cell1.subreads	0.0	39.0	4618.2467089224765	4249	40.0	0.012306
dna_pacbio_run1_cell2.subreads	0.0	39.0	4418.280408824125	3749	50.0	0.014823
dna_pacbio_run1_cell3.subreads	0.0	39.0	4510.2899713093375	3749	40.0	0.015335999999999999
dna_pacbio_run2_cell1.subreads	0.004060089321967553	41.0	4609.011510353228	3749	30.0	0.02463
dna_pacbio_run2_cell2.subreads	0.0	41.0	4768.765015128593	4249	20.0	0.026439999999999998
dna_pacbio_run2_cell3.subreads	0.0	41.0	4767.563383610503	4249	30.0	0.023271
rna_bhi_rep1_R1	80.60134232324216	43.0	100.0	100	18.181818181818183	27.078884
rna_bhi_rep1_R2	77.72008493194839	42.0	100.0	100	27.27272727272727	27.078884
rna_bhi_rep2_R1	80.62484008877074	42.0	100.0	100	18.181818181818183	23.953339999999997
rna_bhi_rep2_R2	77.88418042016767	42.0	100.0	100	27.27272727272727	23.953339999999997
rna_bhi_rep3_R1	78.74347792427147	43.0	100.0	100	18.181818181818183	23.240177
rna_bhi_rep3_R2	75.63526919257173	42.0	100.0	100	27.27272727272727	23.240177
rna_serum_rep1_R1	82.66776965282729	45.0	100.0	100	45.45454545454545	25.937368
rna_serum_rep1_R2	80.80363082210263	44.0	100.0	100	45.45454545454545	25.937368
rna_serum_rep2_R1	82.9540428281805	44.0	100.0	100	45.45454545454545	26.63438
rna_serum_rep2_R2	80.71254312821512	44.0	100.0	100	45.45454545454545	26.63438
rna_serum_rep3_R1	82.98166774308046	45.0	100.0	100	45.45454545454545	27.609614999999998
rna_serum_rep3_R2	80.9360780955197	44.0	100.0	100	45.45454545454545	27.609614999999998
