Module	Section	Sample Name	Source
FastQC	all_sections	rna_bhi_rep2_R1	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_bhi_rep2_R1_fastqc.zip
FastQC	all_sections	rna_bhi_rep2_R2	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_bhi_rep2_R2_fastqc.zip
FastQC	all_sections	rna_bhi_rep3_R1	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_bhi_rep3_R1_fastqc.zip
FastQC	all_sections	rna_serum_rep2_R2	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_serum_rep2_R2_fastqc.zip
FastQC	all_sections	rna_serum_rep3_R1	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_serum_rep3_R1_fastqc.zip
FastQC	all_sections	dna_pacbio_run2_cell3.subreads	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/dna_pacbio_run2_cell3.subreads_fastqc.zip
FastQC	all_sections	rna_bhi_rep1_R1	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_bhi_rep1_R1_fastqc.zip
FastQC	all_sections	dna_pacbio_run1_cell3.subreads	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/dna_pacbio_run1_cell3.subreads_fastqc.zip
FastQC	all_sections	dna_illumina_R1	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/dna_illumina_R1_fastqc.zip
FastQC	all_sections	rna_bhi_rep1_R2	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_bhi_rep1_R2_fastqc.zip
FastQC	all_sections	rna_serum_rep3_R2	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_serum_rep3_R2_fastqc.zip
FastQC	all_sections	dna_pacbio_run2_cell2.subreads	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/dna_pacbio_run2_cell2.subreads_fastqc.zip
FastQC	all_sections	dna_pacbio_run1_cell1.subreads	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/dna_pacbio_run1_cell1.subreads_fastqc.zip
FastQC	all_sections	rna_bhi_rep3_R2	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_bhi_rep3_R2_fastqc.zip
FastQC	all_sections	rna_serum_rep1_R1	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_serum_rep1_R1_fastqc.zip
FastQC	all_sections	dna_pacbio_run2_cell1.subreads	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/dna_pacbio_run2_cell1.subreads_fastqc.zip
FastQC	all_sections	rna_serum_rep1_R2	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_serum_rep1_R2_fastqc.zip
FastQC	all_sections	dna_illumina_R2	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/dna_illumina_R2_fastqc.zip
FastQC	all_sections	dna_pacbio_run1_cell2.subreads	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/dna_pacbio_run1_cell2.subreads_fastqc.zip
FastQC	all_sections	rna_serum_rep2_R1	/home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/01_preprocessing/fastqc_raw/rna_serum_rep2_R1_fastqc.zip
