.	Basic Statistics	Per Base Sequence Quality	Per Tile Sequence Quality	Per Sequence Quality Scores	Per Base Sequence Content	Per Sequence GC Content	Per Base N Content	Sequence Length Distribution	Sequence Duplication Levels	Overrepresented Sequences	Adapter Content
rna_bhi_rep1_R1_paired	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
rna_bhi_rep1_R2_paired	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
rna_bhi_rep2_R1_paired	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
rna_bhi_rep2_R2_paired	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
rna_bhi_rep3_R1_paired	1	1	0.5	1	0.5	1	1	0.5	0.25	0.5	1
rna_bhi_rep3_R2_paired	1	1	1	1	0.25	1	1	0.5	0.25	0.5	1
rna_serum_rep1_R1_paired	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.25	1
rna_serum_rep1_R2_paired	1	1	1	1	0.25	0.25	1	0.5	0.25	0.25	1
rna_serum_rep2_R1_paired	1	1	0.5	1	0.5	1	1	0.5	0.25	0.25	1
rna_serum_rep2_R2_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
rna_serum_rep3_R1_paired	1	1	0.5	1	0.5	0.5	1	0.5	0.25	0.25	1
rna_serum_rep3_R2_paired	1	1	1	1	0.25	0.5	1	0.5	0.25	0.25	1
