Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
rna_bhi_rep1_R1_paired	(1, 0.0)	(2, 0.0)	(3, 6.52935481848974e-05)	(4, 0.002408606444153993)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 7.980322555931905e-05)	(28, 0.0003300951602680924)	(30, 1.4509677374421646e-05)	(32, 1.0882258030816234e-05)	(34, 2.539193540523788e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 2.1880215012496886e-05)	(44, 3.6540385530299656e-06)	(46, 0.0)	(48, 4.769986306837002e-05)	(50, 3.6768880231696893e-06)	(52, 0.0)	(54, 0.0)	(56, 2.9616288040317244e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 7.500114095485678e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 1.5150843693669636e-05)	(80, 0.0)	(82, 0.0)	(84, 3.7984866373418433e-06)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
rna_bhi_rep1_R2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.6353389618149928e-05)	(66, 3.7749702485157285e-05)	(68, 6.433802623727417e-05)	(70, 0.0)	(72, 0.0)	(74, 7.617708063222101e-06)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 2.2985688459104186e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 3.083738494812593e-05)	(94, 0.0)	(96, 3.871054403605036e-06)	(98, 0.0)	(100, 0.0)
rna_bhi_rep2_R1_paired	(1, 0.0)	(2, 0.0)	(3, 8.721387218036643e-05)	(4, 0.0025655414066391123)	(5, 0.0)	(6, 0.0)	(7, 7.267822681697202e-06)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 5.087475877188042e-05)	(28, 0.00037792677944825453)	(30, 1.4535645363394404e-05)	(32, 7.267822681697202e-06)	(34, 2.543737938594021e-05)	(36, 3.6347938019641477e-06)	(38, 0.0)	(40, 0.0)	(42, 3.6488010058138897e-06)	(44, 1.4618041360066953e-05)	(46, 3.660442827927817e-06)	(48, 1.8331661180306005e-05)	(50, 3.6723806093456285e-06)	(52, 0.0)	(54, 0.0)	(56, 2.5843957507365066e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 3.729693868219174e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 7.514972267122094e-06)	(78, 1.8807671137488325e-05)	(80, 7.530901642847367e-06)	(82, 7.537615812169247e-06)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
rna_bhi_rep2_R2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.621227169439008e-05)	(66, 8.255736911579857e-05)	(68, 5.2643641465967485e-05)	(70, 0.0)	(72, 0.0)	(74, 2.268187118179051e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.8999622021519503e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 1.1467091682952804e-05)	(94, 3.829397433974392e-06)	(96, 0.0)	(98, 0.0)	(100, 0.0)
rna_bhi_rep3_R1_paired	(1, 0.0)	(2, 0.0)	(3, 0.0001364418751993456)	(4, 0.0025923956287875662)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 6.0194944940887764e-05)	(28, 0.0003009747247044388)	(30, 2.006498164696259e-05)	(32, 1.2038988988177552e-05)	(34, 1.2038988988177552e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 4.030681223015094e-06)	(44, 8.075083091595627e-06)	(46, 0.0)	(48, 1.6207121830717585e-05)	(50, 8.1181594866011e-06)	(52, 0.0)	(54, 4.075052358310225e-06)	(56, 2.0415091063963502e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 4.1192610095180055e-06)	(66, 4.128262472946464e-06)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 4.161579136172696e-06)	(78, 1.666452944076589e-05)	(80, 0.0)	(82, 8.348386517773193e-06)	(84, 4.177644471927774e-06)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
rna_bhi_rep3_R2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 1.245160838048031e-05)	(66, 6.240774834632989e-05)	(68, 4.587123635367207e-05)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.687882078481622e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 1.698877021053121e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
rna_serum_rep1_R1_paired	(1, 0.0)	(2, 0.0)	(3, 8.395296344420849e-05)	(4, 0.002434635939882046)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 3.434439413626711e-05)	(28, 0.0004121327296352053)	(30, 2.2896262757511403e-05)	(32, 0.0)	(34, 1.1448131378755701e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 7.670244823092898e-06)	(44, 1.921597367011915e-05)	(46, 0.0)	(48, 1.543797496377286e-05)	(50, 0.0)	(52, 0.0)	(54, 3.885818638818714e-06)	(56, 7.788813487981783e-06)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 0.0)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 4.003808903486064e-06)	(78, 8.01645425334224e-06)	(80, 8.025093504376966e-06)	(82, 0.0)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
rna_serum_rep1_R2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.7869892195275576e-05)	(66, 4.3921436847482174e-05)	(68, 5.205459069034878e-05)	(70, 0.0)	(72, 0.0)	(74, 1.6108572422470348e-05)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.2138905986762765e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.440434882242102e-05)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
rna_serum_rep2_R1_paired	(1, 0.0)	(2, 0.0)	(3, 8.820527239552222e-05)	(4, 0.0026325881299586627)	(5, 0.0)	(6, 0.0)	(7, 1.3570041907003418e-05)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 8.481276191877136e-05)	(28, 0.0003188959848145803)	(30, 2.0355062860505125e-05)	(32, 1.0177531430252563e-05)	(34, 2.374757333725598e-05)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 1.3625482295235656e-05)	(44, 1.0237269537308518e-05)	(46, 0.0)	(48, 1.0272868972946296e-05)	(50, 6.8607617325371825e-06)	(52, 0.0)	(54, 3.4427004680179153e-06)	(56, 1.0345776900425243e-05)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 6.983745472088624e-06)	(66, 0.0)	(68, 0.0)	(70, 0.0)	(72, 3.5175360251090164e-06)	(74, 3.521810785503269e-06)	(76, 7.05196487134219e-06)	(78, 2.1177205561840086e-05)	(80, 3.533018477792629e-06)	(82, 1.0608599811930742e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 0.0)	(94, 0.0)	(96, 0.0)	(98, 0.0)	(100, 0.0)
rna_serum_rep2_R2_paired	(1, 0.0)	(2, 0.0)	(3, 0.0)	(4, 0.0)	(5, 0.0)	(6, 0.0)	(7, 0.0)	(8, 0.0)	(9, 0.0)	(10, 0.0)	(12, 0.0)	(14, 0.0)	(16, 0.0)	(18, 0.0)	(20, 0.0)	(22, 0.0)	(24, 0.0)	(26, 0.0)	(28, 0.0)	(30, 0.0)	(32, 0.0)	(34, 0.0)	(36, 0.0)	(38, 0.0)	(40, 0.0)	(42, 0.0)	(44, 0.0)	(46, 0.0)	(48, 0.0)	(50, 0.0)	(52, 0.0)	(54, 0.0)	(56, 0.0)	(58, 0.0)	(60, 0.0)	(62, 0.0)	(64, 2.1089260294195182e-05)	(66, 5.988698128891156e-05)	(68, 4.942967685772437e-05)	(70, 0.0)	(72, 0.0)	(74, 0.0)	(76, 0.0)	(78, 0.0)	(80, 0.0)	(82, 1.7820666498629662e-05)	(84, 0.0)	(86, 0.0)	(88, 0.0)	(90, 0.0)	(92, 2.8664879148690356e-05)	(94, 3.5891532200536756e-06)	(96, 0.0)	(98, 0.0)	(100, 0.0)
