Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54
rna_bhi_rep1_R1_paired	(1, 32.402037187722726)	(2, 32.53731939804572)	(3, 32.63081011011104)	(4, 36.09206237942458)	(5, 36.12008774872489)	(6, 36.12819220157076)	(7, 36.09877266991993)	(8, 36.090457173816645)	(9, 37.83187999568192)	(10, 37.85565468244701)	(12, 37.827652528630495)	(14, 39.23618791163955)	(16, 39.28350088625109)	(18, 39.32907908383576)	(20, 39.37303060148997)	(22, 39.35000229252903)	(24, 39.35033793764089)	(26, 39.32895451825549)	(28, 39.31280778653131)	(30, 39.277118151722476)	(32, 39.255918932691344)	(34, 39.24854863324643)	(36, 39.222519662449315)	(38, 39.18708391323344)	(40, 39.14131686468737)	(42, 39.096668571479285)	(44, 39.05054324449806)	(46, 38.988516760374075)	(48, 38.92391640418854)	(50, 38.812153865176505)	(52, 38.66754213210376)	(54, 38.50700362797612)	(56, 38.2870723144833)	(58, 38.05167403836325)	(60, 37.6855542505849)	(62, 37.37136648221468)	(64, 37.06846937044291)	(66, 36.69889563896062)	(68, 36.30583841952209)	(70, 35.94395884429548)	(72, 35.57289210291485)	(74, 35.25166747290791)	(76, 34.96803125086281)	(78, 34.75311221539473)	(80, 34.58423156448529)	(82, 34.43594682901457)	(84, 34.33287044484413)	(86, 34.25422082459495)	(88, 34.21975909474535)	(90, 34.196772321124605)	(92, 34.16405060531366)	(94, 34.15824677699691)	(96, 34.17746790758813)	(98, 34.22077439884597)	(100, 34.228403098445945)
rna_bhi_rep1_R2_paired	(1, 31.61519051496586)	(2, 31.849686344304196)	(3, 31.769473075262276)	(4, 35.28404746579779)	(5, 35.400399117695535)	(6, 35.69235740469463)	(7, 35.81087455339213)	(8, 35.94074269524802)	(9, 37.716960013650706)	(10, 37.70963799515725)	(12, 37.69854396838515)	(14, 39.11767812660332)	(16, 39.10517680622268)	(18, 39.123598365165634)	(20, 39.14944111624689)	(22, 39.10514216436795)	(24, 39.13479649887289)	(26, 39.091887501538025)	(28, 39.05395586765549)	(30, 39.03923333331399)	(32, 39.00359767450499)	(34, 38.9372916773071)	(36, 38.93950776078299)	(38, 38.97277192424602)	(40, 38.94461377859945)	(42, 38.893561265998166)	(44, 38.88910829863842)	(46, 38.82646051749613)	(48, 38.825642939125196)	(50, 38.79379933797253)	(52, 38.73528540572141)	(54, 38.586354350047515)	(56, 38.461949919312985)	(58, 38.32559997077643)	(60, 38.08024523678141)	(62, 37.855561646388765)	(64, 37.55541040577389)	(66, 37.206535049030826)	(68, 36.86691678413034)	(70, 36.44221840690946)	(72, 36.07880079197634)	(74, 35.766072581218424)	(76, 35.413730157731955)	(78, 35.11482108219455)	(80, 34.86568858076438)	(82, 34.63884591483023)	(84, 34.49336987336005)	(86, 34.365263184519804)	(88, 34.285065737374524)	(90, 34.225580125565926)	(92, 34.193047978881886)	(94, 34.16191489887564)	(96, 34.15163568318735)	(98, 34.18276151229428)	(100, 34.17950141138545)
rna_bhi_rep2_R1_paired	(1, 32.42200169064091)	(2, 32.554546789842696)	(3, 32.65143057277928)	(4, 36.11149784810672)	(5, 36.13624681932825)	(6, 36.14006569675635)	(7, 36.109295479799485)	(8, 36.101781350607105)	(9, 37.85048671518326)	(10, 37.87600909175546)	(12, 37.84474299125702)	(14, 39.25422385867748)	(16, 39.29774387160839)	(18, 39.34116431536856)	(20, 39.38423266945891)	(22, 39.36375038256001)	(24, 39.36960286945268)	(26, 39.35110709652737)	(28, 39.3344475753417)	(30, 39.29733898120679)	(32, 39.278497296260944)	(34, 39.27087683882273)	(36, 39.24366076041039)	(38, 39.20965600364636)	(40, 39.17002147052014)	(42, 39.13117956198501)	(44, 39.08383930328907)	(46, 39.02516850591185)	(48, 38.96643460108859)	(50, 38.86282297804209)	(52, 38.71619333273175)	(54, 38.55708018464941)	(56, 38.340455631721795)	(58, 38.10811737477796)	(60, 37.742350730878016)	(62, 37.43068135869095)	(64, 37.125685895626376)	(66, 36.753492040075145)	(68, 36.36264698373901)	(70, 35.994996996567025)	(72, 35.62132129401016)	(74, 35.29737280257666)	(76, 35.010460628116384)	(78, 34.79176886795054)	(80, 34.61644136145469)	(82, 34.458283867940466)	(84, 34.34969907519906)	(86, 34.26354484832784)	(88, 34.230028057441345)	(90, 34.206277207162344)	(92, 34.177028744475066)	(94, 34.16967067546004)	(96, 34.18369769421477)	(98, 34.22821070359055)	(100, 34.24179797352663)
rna_bhi_rep2_R2_paired	(1, 31.365204455843944)	(2, 31.536000614567087)	(3, 31.757272964666246)	(4, 35.321672741718515)	(5, 35.44009021112225)	(6, 35.69134763529397)	(7, 35.82427226019619)	(8, 35.96333899472494)	(9, 37.7494543137035)	(10, 37.742034230136625)	(12, 37.73488996044051)	(14, 39.15706684194717)	(16, 39.14689501535655)	(18, 39.172350927690324)	(20, 39.19687732184223)	(22, 39.15166648630353)	(24, 39.17848017327071)	(26, 39.13697563658677)	(28, 39.10009801385669)	(30, 39.087585185241174)	(32, 39.053874988653114)	(34, 38.985358426121024)	(36, 38.9908965237958)	(38, 39.026867229975)	(40, 38.998700105919)	(42, 38.942877986180534)	(44, 38.937874398972326)	(46, 38.87415496891799)	(48, 38.87625261070886)	(50, 38.84693807728614)	(52, 38.78854628227637)	(54, 38.639533201263745)	(56, 38.51644262414248)	(58, 38.38057839735475)	(60, 38.138778533301554)	(62, 37.91365126037711)	(64, 37.611877944444664)	(66, 37.263434253231324)	(68, 36.91993458239399)	(70, 36.49245277014558)	(72, 36.13448056324168)	(74, 35.81921542581641)	(76, 35.46399792494408)	(78, 35.15893690322277)	(80, 34.90781251166972)	(82, 34.67423191467687)	(84, 34.52460862797109)	(86, 34.39493456662393)	(88, 34.31364891144473)	(90, 34.25315205692325)	(92, 34.220109717747505)	(94, 34.18990147560001)	(96, 34.17966858688156)	(98, 34.20659079175729)	(100, 34.20408891477051)
rna_bhi_rep3_R1_paired	(1, 32.399275477590706)	(2, 32.54036343942037)	(3, 32.63135869300883)	(4, 36.09401310708809)	(5, 36.121632795104915)	(6, 36.130699437971835)	(7, 36.10342607153824)	(8, 36.096077793699564)	(9, 37.844601612999796)	(10, 37.86935156721151)	(12, 37.840145501615716)	(14, 39.24975572891343)	(16, 39.29246508572804)	(18, 39.337481995691974)	(20, 39.37876822361828)	(22, 39.35681424433915)	(24, 39.360476906088984)	(26, 39.342193815202165)	(28, 39.323252231747645)	(30, 39.285745804934024)	(32, 39.268385663073005)	(34, 39.25994520815332)	(36, 39.233348764346715)	(38, 39.20318252915574)	(40, 39.16109173213926)	(42, 39.12248285402779)	(44, 39.07565751624982)	(46, 39.01538127106507)	(48, 38.95681003948518)	(50, 38.85673019049008)	(52, 38.71175308536175)	(54, 38.55859046269432)	(56, 38.34440664157583)	(58, 38.114484410476834)	(60, 37.755827352054624)	(62, 37.44197493819498)	(64, 37.141684060435274)	(66, 36.76678555781821)	(68, 36.376066917100545)	(70, 36.00928622611914)	(72, 35.6327008862253)	(74, 35.31099778617596)	(76, 35.01965814643527)	(78, 34.79710519383872)	(80, 34.61967442842922)	(82, 34.46038582889732)	(84, 34.34993959974287)	(86, 34.26316291720045)	(88, 34.227404739099896)	(90, 34.20373409107677)	(92, 34.1739586671844)	(94, 34.164094174802585)	(96, 34.17935317964298)	(98, 34.22181386468097)	(100, 34.22827491619415)
rna_bhi_rep3_R2_paired	(1, 31.51876709837411)	(2, 31.781641392548252)	(3, 31.64890953245543)	(4, 35.29439236734519)	(5, 35.34720155306168)	(6, 35.601283292018195)	(7, 35.73857905257651)	(8, 35.886984231653265)	(9, 37.6580167868452)	(10, 37.65228911744419)	(12, 37.64262413682455)	(14, 39.04531242701363)	(16, 39.032399567944765)	(18, 39.05362723501824)	(20, 39.08400027994662)	(22, 39.03603879379604)	(24, 39.06144896616386)	(26, 39.01772087010107)	(28, 38.982629905908084)	(30, 38.96847530538501)	(32, 38.93132314588735)	(34, 38.86412576313144)	(36, 38.86681094363527)	(38, 38.90128369233811)	(40, 38.87354848059137)	(42, 38.824389200951494)	(44, 38.82237371176185)	(46, 38.753897047917796)	(48, 38.75614673928932)	(50, 38.72659826396766)	(52, 38.668554085084615)	(54, 38.51854183049748)	(56, 38.39333105828919)	(58, 38.26233662599985)	(60, 38.02158557080244)	(62, 37.801316702561856)	(64, 37.501948618919755)	(66, 37.16000808651981)	(68, 36.82235868068762)	(70, 36.40467345149024)	(72, 36.04829780632318)	(74, 35.73503485651061)	(76, 35.38624699264372)	(78, 35.08515654514077)	(80, 34.838069463573405)	(82, 34.60758449441251)	(84, 34.459232922260526)	(86, 34.33146945822813)	(88, 34.25420043155533)	(90, 34.19445821323498)	(92, 34.163390672006315)	(94, 34.13457144337401)	(96, 34.125994189930076)	(98, 34.15576698907635)	(100, 34.154103907487794)
rna_serum_rep1_R1_paired	(1, 32.320636897709036)	(2, 32.46393018166277)	(3, 32.52494269256234)	(4, 36.0304839315936)	(5, 36.07004516287829)	(6, 36.08722102334846)	(7, 36.07687542334236)	(8, 36.08294476467412)	(9, 37.79386418318536)	(10, 37.79718669803455)	(12, 37.80150062106112)	(14, 39.20738209855696)	(16, 39.24664506785879)	(18, 39.30647842122636)	(20, 39.3679995726031)	(22, 39.30366084529186)	(24, 39.30219941500049)	(26, 39.20919075067305)	(28, 39.21237451416992)	(30, 39.19578796534269)	(32, 39.19249346025495)	(34, 39.148050249664664)	(36, 39.165299156869025)	(38, 39.16987028508305)	(40, 39.145518469332906)	(42, 39.11565342162642)	(44, 39.05253572793181)	(46, 38.9394986098759)	(48, 38.90590573479618)	(50, 38.80372748699935)	(52, 38.708295756790875)	(54, 38.58219930184083)	(56, 38.405621498520766)	(58, 38.22730147161188)	(60, 37.947198861033996)	(62, 37.602050930610616)	(64, 37.27234631858934)	(66, 36.82548916528377)	(68, 36.263169164297295)	(70, 35.901274333835175)	(72, 35.42566998963298)	(74, 35.11046745474445)	(76, 34.82358007973143)	(78, 34.63968641828227)	(80, 34.49980401700082)	(82, 34.37066865570674)	(84, 34.27858853135091)	(86, 34.22458165634366)	(88, 34.149471549480204)	(90, 34.10656930103097)	(92, 34.06678335143843)	(94, 34.05921115321409)	(96, 34.10653250360711)	(98, 34.17560754359543)	(100, 34.15722400149855)
rna_serum_rep1_R2_paired	(1, 31.619276821540804)	(2, 31.85240405034888)	(3, 31.978053703184298)	(4, 35.5080588357632)	(5, 35.459863347471774)	(6, 35.75422312026453)	(7, 35.84609864854809)	(8, 35.962617577079314)	(9, 37.74176343199714)	(10, 37.73051869575255)	(12, 37.73787629530837)	(14, 39.13073571416305)	(16, 39.17055876421238)	(18, 39.17218787146801)	(20, 39.16978502317292)	(22, 39.097870838365736)	(24, 39.191865072323566)	(26, 39.158796686910776)	(28, 39.12779640643156)	(30, 39.16582774759923)	(32, 39.12903108740076)	(34, 39.043052415269514)	(36, 39.03146300460753)	(38, 39.103258760676056)	(40, 39.06360902839097)	(42, 38.991324738269824)	(44, 38.936510084706626)	(46, 38.622994337275856)	(48, 38.597713385286106)	(50, 38.5786128974854)	(52, 38.49432648393915)	(54, 38.30518101146619)	(56, 38.03726638606507)	(58, 37.82427702040264)	(60, 37.50909938523985)	(62, 37.287950787888406)	(64, 37.04528692622158)	(66, 36.82993412687556)	(68, 36.511970319167986)	(70, 36.021511446743276)	(72, 35.8703881306928)	(74, 35.655911167872034)	(76, 35.30488565753966)	(78, 35.06155952696345)	(80, 34.89890374482121)	(82, 34.714496549749235)	(84, 34.56600321081779)	(86, 34.41360315930758)	(88, 34.328273637633856)	(90, 34.28003502879508)	(92, 34.301076531827206)	(94, 34.278276386795525)	(96, 34.21639448972794)	(98, 34.199641724498925)	(100, 34.18845766408233)
rna_serum_rep2_R1_paired	(1, 32.35309934329139)	(2, 32.49630141722804)	(3, 32.5629991909541)	(4, 36.04841248150743)	(5, 36.08873145077047)	(6, 36.10831654945317)	(7, 36.095894533091496)	(8, 36.10041356059716)	(9, 37.82193004263436)	(10, 37.82377217582324)	(12, 37.81839759110044)	(14, 39.23226158047021)	(16, 39.270296813455616)	(18, 39.321622409784325)	(20, 39.390701047362974)	(22, 39.33165721829882)	(24, 39.32756802187056)	(26, 39.24784283828825)	(28, 39.248385606039434)	(30, 39.23174490112461)	(32, 39.23300111382903)	(34, 39.1849322257827)	(36, 39.19168284677559)	(38, 39.195621308678)	(40, 39.171858624126614)	(42, 39.13953970889631)	(44, 39.07871971870851)	(46, 38.97407521370957)	(48, 38.94094793207553)	(50, 38.836840363162395)	(52, 38.7423624614421)	(54, 38.610327594667766)	(56, 38.43290066956537)	(58, 38.24697284355952)	(60, 37.95822725718283)	(62, 37.617090606693694)	(64, 37.29396446769415)	(66, 36.86189327629913)	(68, 36.315886185079805)	(70, 35.952565511869054)	(72, 35.48255954495419)	(74, 35.15997058534739)	(76, 34.871998506561226)	(78, 34.68025662277632)	(80, 34.534068421534556)	(82, 34.40355049825994)	(84, 34.30466880235444)	(86, 34.24749695274501)	(88, 34.17742197978098)	(90, 34.135064520301576)	(92, 34.10488197430148)	(94, 34.10416675571417)	(96, 34.14404451645092)	(98, 34.20887881973934)	(100, 34.19411483756649)
rna_serum_rep2_R2_paired	(1, 31.672147855377005)	(2, 31.887632793037593)	(3, 31.946346021955787)	(4, 35.50811820972066)	(5, 35.544253602913976)	(6, 35.74443017629927)	(7, 35.84032525219244)	(8, 35.966101967466095)	(9, 37.74028120383641)	(10, 37.72830964501584)	(12, 37.73573330606659)	(14, 39.14270266246936)	(16, 39.17472650259039)	(18, 39.17926127134466)	(20, 39.188532866777194)	(22, 39.11639252241839)	(24, 39.19482244550068)	(26, 39.16154330865305)	(28, 39.13369697200799)	(30, 39.16887971433433)	(32, 39.1342421484416)	(34, 39.05475189620981)	(36, 39.04310258212554)	(38, 39.10645979349455)	(40, 39.069762755816186)	(42, 39.005436611821466)	(44, 38.95594326989358)	(46, 38.66371760821515)	(48, 38.63257321587267)	(50, 38.62453079844134)	(52, 38.54229800484736)	(54, 38.357126229991664)	(56, 38.10638628568337)	(58, 37.9077311702228)	(60, 37.60587323363515)	(62, 37.38105225832423)	(64, 37.132461600064445)	(66, 36.90360139400393)	(68, 36.58858174407846)	(70, 36.08874989046262)	(72, 35.92364510954868)	(74, 35.69968478869312)	(76, 35.34178116701571)	(78, 35.091412639803735)	(80, 34.9230820773295)	(82, 34.73191359354574)	(84, 34.575744109543166)	(86, 34.425721231823715)	(88, 34.34060230859776)	(90, 34.28933773398349)	(92, 34.302789831034104)	(94, 34.278586778979445)	(96, 34.22196241922896)	(98, 34.206075143574)	(100, 34.1961313850196)
