Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31	32	33	34	35	36	37	38	39	40	41	42	43	44	45	46	47	48	49	50	51	52	53	54	55	56	57	58	59	60	61	62	63	64	65	66	67	68	69	70	71	72	73	74	75	76	77	78	79	80	81	82	83	84	85	86	87	88	89	90	91	92	93	94	95	96	97	98	99	100
rna_bhi_rep1_R1_paired	(0.0, 20.0)	(1.0, 12.0)	(2.0, 2.0)	(3.0, 0.0)	(4.0, 0.0)	(5.0, 0.0)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 0.5)	(10.0, 0.5)	(11.0, 1.5)	(12.0, 3.5)	(13.0, 7.0)	(14.0, 17.0)	(15.0, 45.0)	(16.0, 104.5)	(17.0, 243.0)	(18.0, 461.0)	(19.0, 936.5)	(20.0, 1541.5)	(21.0, 2219.5)	(22.0, 3299.5)	(23.0, 6098.0)	(24.0, 10900.0)	(25.0, 15126.5)	(26.0, 19852.0)	(27.0, 35676.5)	(28.0, 54796.5)	(29.0, 72857.5)	(30.0, 96380.5)	(31.0, 127614.0)	(32.0, 175180.5)	(33.0, 260570.5)	(34.0, 348407.5)	(35.0, 444014.0)	(36.0, 525466.5)	(37.0, 630928.0)	(38.0, 811585.5)	(39.0, 960475.0)	(40.0, 1061176.5)	(41.0, 1110010.0)	(42.0, 1097520.5)	(43.0, 1067261.0)	(44.0, 1009752.5)	(45.0, 917156.5)	(46.0, 783686.5)	(47.0, 629427.0)	(48.0, 506290.0)	(49.0, 443255.0)	(50.0, 333740.0)	(51.0, 235045.0)	(52.0, 177258.5)	(53.0, 99841.0)	(54.0, 67376.0)	(55.0, 39949.5)	(56.0, 23748.0)	(57.0, 21125.0)	(58.0, 19675.0)	(59.0, 14606.0)	(60.0, 9892.5)	(61.0, 6211.5)	(62.0, 5263.5)	(63.0, 4353.5)	(64.0, 2867.0)	(65.0, 1953.0)	(66.0, 1194.5)	(67.0, 730.5)	(68.0, 467.5)	(69.0, 240.0)	(70.0, 109.0)	(71.0, 52.0)	(72.0, 21.5)	(73.0, 14.5)	(74.0, 19.0)	(75.0, 22.5)	(76.0, 26.0)	(77.0, 30.0)	(78.0, 28.0)	(79.0, 20.0)	(80.0, 13.5)	(81.0, 7.5)	(82.0, 2.5)	(83.0, 1.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.0)
rna_bhi_rep1_R2_paired	(0.0, 13.0)	(1.0, 8.5)	(2.0, 3.5)	(3.0, 2.5)	(4.0, 2.5)	(5.0, 3.0)	(6.0, 2.5)	(7.0, 2.0)	(8.0, 2.5)	(9.0, 3.0)	(10.0, 5.0)	(11.0, 9.0)	(12.0, 19.0)	(13.0, 38.0)	(14.0, 73.0)	(15.0, 148.5)	(16.0, 282.0)	(17.0, 572.0)	(18.0, 971.5)	(19.0, 1503.0)	(20.0, 2243.5)	(21.0, 3304.0)	(22.0, 5679.5)	(23.0, 9908.5)	(24.0, 16852.0)	(25.0, 29208.5)	(26.0, 42666.5)	(27.0, 53439.5)	(28.0, 66494.5)	(29.0, 88095.5)	(30.0, 122207.0)	(31.0, 165459.0)	(32.0, 225007.0)	(33.0, 306771.5)	(34.0, 390538.0)	(35.0, 476379.5)	(36.0, 585589.5)	(37.0, 697145.5)	(38.0, 825896.5)	(39.0, 1013906.0)	(40.0, 1186012.5)	(41.0, 1243282.0)	(42.0, 1182877.0)	(43.0, 1093951.5)	(44.0, 998320.5)	(45.0, 850780.5)	(46.0, 667336.5)	(47.0, 508984.5)	(48.0, 417875.5)	(49.0, 343041.5)	(50.0, 245297.5)	(51.0, 154902.5)	(52.0, 104900.5)	(53.0, 81917.0)	(54.0, 57683.5)	(55.0, 35656.5)	(56.0, 23132.0)	(57.0, 17947.0)	(58.0, 16590.5)	(59.0, 13551.5)	(60.0, 8837.0)	(61.0, 6042.0)	(62.0, 4746.5)	(63.0, 3814.5)	(64.0, 3029.0)	(65.0, 2632.5)	(66.0, 2022.0)	(67.0, 1217.0)	(68.0, 626.5)	(69.0, 299.5)	(70.0, 150.5)	(71.0, 76.5)	(72.0, 35.0)	(73.0, 19.0)	(74.0, 13.0)	(75.0, 8.0)	(76.0, 4.5)	(77.0, 2.5)	(78.0, 2.0)	(79.0, 1.5)	(80.0, 1.5)	(81.0, 1.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.5)	(94.0, 1.0)	(95.0, 1.5)	(96.0, 1.0)	(97.0, 0.5)	(98.0, 3.5)	(99.0, 37.5)	(100.0, 77.5)
rna_bhi_rep2_R1_paired	(0.0, 12.0)	(1.0, 8.0)	(2.0, 4.0)	(3.0, 2.0)	(4.0, 0.5)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.0)	(9.0, 0.5)	(10.0, 2.0)	(11.0, 3.0)	(12.0, 3.5)	(13.0, 10.0)	(14.0, 19.0)	(15.0, 40.5)	(16.0, 88.5)	(17.0, 243.5)	(18.0, 450.0)	(19.0, 871.0)	(20.0, 1490.5)	(21.0, 2196.5)	(22.0, 3280.0)	(23.0, 5982.0)	(24.0, 10734.5)	(25.0, 15144.5)	(26.0, 20294.0)	(27.0, 38426.0)	(28.0, 57821.0)	(29.0, 76461.5)	(30.0, 101431.5)	(31.0, 132096.0)	(32.0, 180880.0)	(33.0, 275859.5)	(34.0, 367422.5)	(35.0, 460332.0)	(36.0, 541635.5)	(37.0, 653363.0)	(38.0, 839358.5)	(39.0, 972680.0)	(40.0, 1055304.0)	(41.0, 1099936.5)	(42.0, 1099101.0)	(43.0, 1059117.5)	(44.0, 976001.0)	(45.0, 875073.5)	(46.0, 751654.0)	(47.0, 610804.0)	(48.0, 484715.5)	(49.0, 423368.5)	(50.0, 317572.0)	(51.0, 213430.5)	(52.0, 160442.5)	(53.0, 93828.5)	(54.0, 62341.5)	(55.0, 34665.5)	(56.0, 19973.5)	(57.0, 16988.0)	(58.0, 15947.5)	(59.0, 12644.5)	(60.0, 8629.5)	(61.0, 5042.0)	(62.0, 4014.0)	(63.0, 3182.0)	(64.0, 2022.0)	(65.0, 1382.5)	(66.0, 885.0)	(67.0, 569.0)	(68.0, 359.0)	(69.0, 177.5)	(70.0, 75.0)	(71.0, 41.5)	(72.0, 17.0)	(73.0, 9.5)	(74.0, 14.0)	(75.0, 18.0)	(76.0, 21.5)	(77.0, 21.5)	(78.0, 16.5)	(79.0, 12.0)	(80.0, 8.0)	(81.0, 3.5)	(82.0, 1.0)	(83.0, 0.5)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.5)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.0)
rna_bhi_rep2_R2_paired	(0.0, 10.0)	(1.0, 5.5)	(2.0, 2.0)	(3.0, 3.0)	(4.0, 2.0)	(5.0, 2.0)	(6.0, 3.0)	(7.0, 4.5)	(8.0, 5.5)	(9.0, 7.0)	(10.0, 10.5)	(11.0, 13.5)	(12.0, 26.0)	(13.0, 46.0)	(14.0, 75.5)	(15.0, 143.0)	(16.0, 272.0)	(17.0, 552.5)	(18.0, 951.5)	(19.0, 1497.0)	(20.0, 2283.0)	(21.0, 3304.5)	(22.0, 5530.5)	(23.0, 9787.0)	(24.0, 17316.5)	(25.0, 30750.5)	(26.0, 44477.5)	(27.0, 54841.5)	(28.0, 67855.5)	(29.0, 88911.0)	(30.0, 121645.5)	(31.0, 163483.0)	(32.0, 223691.5)	(33.0, 309710.5)	(34.0, 398798.0)	(35.0, 489072.0)	(36.0, 598882.5)	(37.0, 705959.0)	(38.0, 831615.5)	(39.0, 1026180.5)	(40.0, 1202671.5)	(41.0, 1249167.5)	(42.0, 1173686.5)	(43.0, 1081591.0)	(44.0, 988160.0)	(45.0, 841907.5)	(46.0, 655943.5)	(47.0, 486040.0)	(48.0, 385805.0)	(49.0, 311931.0)	(50.0, 221857.0)	(51.0, 138402.0)	(52.0, 93279.0)	(53.0, 72921.0)	(54.0, 50369.5)	(55.0, 30639.0)	(56.0, 19784.0)	(57.0, 15182.5)	(58.0, 14072.5)	(59.0, 11700.5)	(60.0, 7558.0)	(61.0, 4930.5)	(62.0, 3731.5)	(63.0, 2950.0)	(64.0, 2493.5)	(65.0, 2391.5)	(66.0, 1949.0)	(67.0, 1195.0)	(68.0, 594.0)	(69.0, 259.0)	(70.0, 116.5)	(71.0, 58.5)	(72.0, 29.0)	(73.0, 16.5)	(74.0, 12.0)	(75.0, 8.0)	(76.0, 4.5)	(77.0, 2.0)	(78.0, 1.5)	(79.0, 0.5)	(80.0, 0.0)	(81.0, 0.0)	(82.0, 0.5)	(83.0, 1.0)	(84.0, 1.0)	(85.0, 0.5)	(86.0, 0.5)	(87.0, 1.0)	(88.0, 1.0)	(89.0, 0.5)	(90.0, 0.0)	(91.0, 0.5)	(92.0, 1.0)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.5)	(97.0, 3.5)	(98.0, 8.0)	(99.0, 33.5)	(100.0, 65.5)
rna_bhi_rep3_R1_paired	(0.0, 5.0)	(1.0, 4.0)	(2.0, 2.5)	(3.0, 1.5)	(4.0, 1.0)	(5.0, 0.5)	(6.0, 0.0)	(7.0, 0.0)	(8.0, 0.5)	(9.0, 1.0)	(10.0, 1.5)	(11.0, 2.0)	(12.0, 4.5)	(13.0, 9.5)	(14.0, 17.0)	(15.0, 40.0)	(16.0, 84.0)	(17.0, 211.5)	(18.0, 415.5)	(19.0, 839.0)	(20.0, 1397.5)	(21.0, 2067.5)	(22.0, 3119.0)	(23.0, 5492.0)	(24.0, 9654.5)	(25.0, 14179.5)	(26.0, 19272.5)	(27.0, 35585.5)	(28.0, 54389.5)	(29.0, 72288.5)	(30.0, 94776.5)	(31.0, 123306.5)	(32.0, 170986.5)	(33.0, 257137.0)	(34.0, 341017.5)	(35.0, 422998.0)	(36.0, 496235.0)	(37.0, 592097.5)	(38.0, 756422.5)	(39.0, 889979.5)	(40.0, 970183.0)	(41.0, 1003870.0)	(42.0, 992967.5)	(43.0, 958831.5)	(44.0, 885897.0)	(45.0, 781399.0)	(46.0, 664526.0)	(47.0, 540469.5)	(48.0, 432442.0)	(49.0, 376418.0)	(50.0, 281344.0)	(51.0, 193423.5)	(52.0, 146209.0)	(53.0, 87408.0)	(54.0, 58118.0)	(55.0, 32405.0)	(56.0, 18733.0)	(57.0, 16453.5)	(58.0, 15807.5)	(59.0, 12621.0)	(60.0, 8577.0)	(61.0, 5146.0)	(62.0, 3954.0)	(63.0, 3029.0)	(64.0, 1968.5)	(65.0, 1342.5)	(66.0, 819.5)	(67.0, 478.0)	(68.0, 298.5)	(69.0, 156.5)	(70.0, 70.0)	(71.0, 33.0)	(72.0, 14.0)	(73.0, 8.0)	(74.0, 13.5)	(75.0, 17.5)	(76.0, 14.5)	(77.0, 16.5)	(78.0, 22.0)	(79.0, 17.0)	(80.0, 6.0)	(81.0, 1.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.5)	(98.0, 1.0)	(99.0, 1.0)	(100.0, 1.0)
rna_bhi_rep3_R2_paired	(0.0, 8.0)	(1.0, 5.0)	(2.0, 2.5)	(3.0, 2.0)	(4.0, 2.0)	(5.0, 3.0)	(6.0, 2.5)	(7.0, 2.5)	(8.0, 3.0)	(9.0, 5.0)	(10.0, 7.5)	(11.0, 9.0)	(12.0, 18.5)	(13.0, 44.5)	(14.0, 81.5)	(15.0, 140.5)	(16.0, 243.5)	(17.0, 496.0)	(18.0, 856.5)	(19.0, 1328.5)	(20.0, 2110.0)	(21.0, 3085.0)	(22.0, 5024.0)	(23.0, 8920.0)	(24.0, 15588.5)	(25.0, 27541.5)	(26.0, 40124.0)	(27.0, 49600.0)	(28.0, 61915.5)	(29.0, 82577.0)	(30.0, 113452.0)	(31.0, 151149.5)	(32.0, 206170.0)	(33.0, 284319.0)	(34.0, 366656.0)	(35.0, 452088.0)	(36.0, 552622.5)	(37.0, 649723.0)	(38.0, 762399.5)	(39.0, 930000.0)	(40.0, 1081661.0)	(41.0, 1124074.5)	(42.0, 1058395.0)	(43.0, 973254.0)	(44.0, 883116.5)	(45.0, 747715.5)	(46.0, 584854.5)	(47.0, 444369.0)	(48.0, 361130.5)	(49.0, 291496.0)	(50.0, 206787.5)	(51.0, 130575.0)	(52.0, 88431.5)	(53.0, 68524.5)	(54.0, 47378.5)	(55.0, 29039.5)	(56.0, 18950.5)	(57.0, 14831.5)	(58.0, 13959.5)	(59.0, 11745.5)	(60.0, 7721.5)	(61.0, 5179.5)	(62.0, 3947.5)	(63.0, 3099.0)	(64.0, 2557.0)	(65.0, 2372.0)	(66.0, 1898.5)	(67.0, 1183.5)	(68.0, 613.0)	(69.0, 276.0)	(70.0, 131.5)	(71.0, 65.0)	(72.0, 30.0)	(73.0, 14.5)	(74.0, 7.0)	(75.0, 3.5)	(76.0, 4.5)	(77.0, 3.0)	(78.0, 3.5)	(79.0, 4.0)	(80.0, 2.0)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.5)	(91.0, 1.5)	(92.0, 1.5)	(93.0, 1.0)	(94.0, 1.0)	(95.0, 1.5)	(96.0, 1.5)	(97.0, 3.5)	(98.0, 6.0)	(99.0, 25.5)	(100.0, 56.0)
rna_serum_rep1_R1_paired	(0.0, 49.0)	(1.0, 28.5)	(2.0, 8.0)	(3.0, 5.0)	(4.0, 2.0)	(5.0, 6.5)	(6.0, 10.5)	(7.0, 9.0)	(8.0, 10.0)	(9.0, 17.0)	(10.0, 27.0)	(11.0, 26.0)	(12.0, 23.5)	(13.0, 37.0)	(14.0, 48.5)	(15.0, 65.0)	(16.0, 120.0)	(17.0, 234.5)	(18.0, 484.0)	(19.0, 1703.5)	(20.0, 2891.5)	(21.0, 2625.5)	(22.0, 2724.5)	(23.0, 4317.0)	(24.0, 8220.0)	(25.0, 13015.5)	(26.0, 17866.5)	(27.0, 26976.0)	(28.0, 43628.0)	(29.0, 62159.0)	(30.0, 81629.5)	(31.0, 108654.5)	(32.0, 146923.0)	(33.0, 199204.0)	(34.0, 255549.5)	(35.0, 329351.5)	(36.0, 400560.5)	(37.0, 466221.5)	(38.0, 568185.5)	(39.0, 676117.5)	(40.0, 753538.5)	(41.0, 780475.0)	(42.0, 831600.0)	(43.0, 877738.5)	(44.0, 823806.5)	(45.0, 736833.5)	(46.0, 715750.0)	(47.0, 720112.0)	(48.0, 762929.0)	(49.0, 804522.5)	(50.0, 623707.0)	(51.0, 722145.0)	(52.0, 607272.0)	(53.0, 180213.5)	(54.0, 97562.0)	(55.0, 49735.0)	(56.0, 28288.0)	(57.0, 22563.0)	(58.0, 19788.5)	(59.0, 15232.5)	(60.0, 11114.5)	(61.0, 6167.5)	(62.0, 4028.0)	(63.0, 2939.0)	(64.0, 2010.5)	(65.0, 1475.5)	(66.0, 942.5)	(67.0, 586.5)	(68.0, 379.0)	(69.0, 209.5)	(70.0, 102.5)	(71.0, 45.0)	(72.0, 20.0)	(73.0, 13.5)	(74.0, 9.5)	(75.0, 5.5)	(76.0, 6.5)	(77.0, 8.5)	(78.0, 6.5)	(79.0, 4.0)	(80.0, 2.5)	(81.0, 1.0)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.5)	(85.0, 1.0)	(86.0, 0.5)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.0)	(100.0, 0.5)
rna_serum_rep1_R2_paired	(0.0, 9.0)	(1.0, 10.5)	(2.0, 10.5)	(3.0, 8.5)	(4.0, 8.5)	(5.0, 12.5)	(6.0, 14.0)	(7.0, 12.5)	(8.0, 17.5)	(9.0, 24.5)	(10.0, 29.0)	(11.0, 36.5)	(12.0, 51.5)	(13.0, 68.0)	(14.0, 87.5)	(15.0, 137.5)	(16.0, 238.0)	(17.0, 478.0)	(18.0, 854.0)	(19.0, 1833.0)	(20.0, 3524.0)	(21.0, 4979.0)	(22.0, 6921.5)	(23.0, 8932.5)	(24.0, 12027.0)	(25.0, 18232.5)	(26.0, 26272.0)	(27.0, 35992.5)	(28.0, 51029.5)	(29.0, 70370.5)	(30.0, 97647.0)	(31.0, 134733.0)	(32.0, 182672.5)	(33.0, 242639.5)	(34.0, 304584.5)	(35.0, 372442.0)	(36.0, 442222.5)	(37.0, 510715.0)	(38.0, 589250.5)	(39.0, 692102.5)	(40.0, 854832.0)	(41.0, 1025314.5)	(42.0, 999479.5)	(43.0, 816613.5)	(44.0, 673417.0)	(45.0, 630525.5)	(46.0, 613636.5)	(47.0, 712345.0)	(48.0, 1007103.0)	(49.0, 1047331.5)	(50.0, 678413.5)	(51.0, 305616.5)	(52.0, 152297.0)	(53.0, 119102.5)	(54.0, 91004.5)	(55.0, 58306.0)	(56.0, 33615.5)	(57.0, 22124.5)	(58.0, 19954.5)	(59.0, 17084.5)	(60.0, 10851.5)	(61.0, 6458.0)	(62.0, 4326.5)	(63.0, 3010.5)	(64.0, 2164.5)	(65.0, 1704.5)	(66.0, 1215.0)	(67.0, 788.5)	(68.0, 463.5)	(69.0, 227.0)	(70.0, 116.0)	(71.0, 65.5)	(72.0, 36.0)	(73.0, 20.0)	(74.0, 9.0)	(75.0, 4.5)	(76.0, 2.0)	(77.0, 0.5)	(78.0, 0.5)	(79.0, 0.5)	(80.0, 0.5)	(81.0, 0.0)	(82.0, 0.0)	(83.0, 0.5)	(84.0, 1.0)	(85.0, 0.5)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 1.0)	(97.0, 3.0)	(98.0, 6.0)	(99.0, 34.5)	(100.0, 87.0)
rna_serum_rep2_R1_paired	(0.0, 72.0)	(1.0, 43.5)	(2.0, 11.0)	(3.0, 6.5)	(4.0, 6.0)	(5.0, 6.5)	(6.0, 6.5)	(7.0, 6.5)	(8.0, 7.5)	(9.0, 8.5)	(10.0, 12.0)	(11.0, 20.5)	(12.0, 30.0)	(13.0, 39.5)	(14.0, 54.0)	(15.0, 81.5)	(16.0, 137.5)	(17.0, 274.0)	(18.0, 594.0)	(19.0, 2070.5)	(20.0, 3447.5)	(21.0, 3090.0)	(22.0, 3287.5)	(23.0, 5174.0)	(24.0, 9664.0)	(25.0, 15231.5)	(26.0, 21013.5)	(27.0, 31674.0)	(28.0, 51703.0)	(29.0, 74516.0)	(30.0, 96151.5)	(31.0, 126951.5)	(32.0, 173356.0)	(33.0, 234948.5)	(34.0, 297696.0)	(35.0, 382942.5)	(36.0, 465140.0)	(37.0, 538041.0)	(38.0, 653964.0)	(39.0, 771967.0)	(40.0, 850611.0)	(41.0, 884429.5)	(42.0, 949192.5)	(43.0, 1018615.0)	(44.0, 959591.5)	(45.0, 839108.5)	(46.0, 806542.0)	(47.0, 790578.5)	(48.0, 793432.0)	(49.0, 832889.5)	(50.0, 647633.5)	(51.0, 758526.0)	(52.0, 646226.5)	(53.0, 188128.5)	(54.0, 102861.5)	(55.0, 51368.5)	(56.0, 29829.0)	(57.0, 25805.5)	(58.0, 24006.0)	(59.0, 18153.0)	(60.0, 12793.0)	(61.0, 6867.0)	(62.0, 4630.5)	(63.0, 3476.5)	(64.0, 2463.0)	(65.0, 1806.5)	(66.0, 1144.5)	(67.0, 704.5)	(68.0, 430.0)	(69.0, 224.5)	(70.0, 108.5)	(71.0, 52.5)	(72.0, 25.5)	(73.0, 17.5)	(74.0, 12.5)	(75.0, 10.5)	(76.0, 9.5)	(77.0, 9.5)	(78.0, 10.5)	(79.0, 8.5)	(80.0, 3.5)	(81.0, 0.5)	(82.0, 0.0)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.0)	(93.0, 0.0)	(94.0, 0.0)	(95.0, 0.0)	(96.0, 0.0)	(97.0, 0.0)	(98.0, 0.0)	(99.0, 0.5)	(100.0, 1.5)
rna_serum_rep2_R2_paired	(0.0, 20.0)	(1.0, 17.5)	(2.0, 12.0)	(3.0, 12.0)	(4.0, 17.0)	(5.0, 17.0)	(6.0, 10.5)	(7.0, 11.5)	(8.0, 21.5)	(9.0, 34.0)	(10.0, 39.5)	(11.0, 49.0)	(12.0, 57.5)	(13.0, 73.0)	(14.0, 106.0)	(15.0, 160.0)	(16.0, 267.0)	(17.0, 560.0)	(18.0, 1058.5)	(19.0, 2314.5)	(20.0, 4451.5)	(21.0, 6284.5)	(22.0, 8429.0)	(23.0, 10667.0)	(24.0, 14323.5)	(25.0, 21696.0)	(26.0, 31501.0)	(27.0, 42772.5)	(28.0, 60359.0)	(29.0, 83366.0)	(30.0, 115835.0)	(31.0, 159568.0)	(32.0, 216008.0)	(33.0, 286288.5)	(34.0, 358027.5)	(35.0, 435784.5)	(36.0, 514073.5)	(37.0, 590873.0)	(38.0, 676931.0)	(39.0, 791714.0)	(40.0, 984105.5)	(41.0, 1193706.0)	(42.0, 1161987.5)	(43.0, 931890.5)	(44.0, 761237.5)	(45.0, 715242.5)	(46.0, 689316.0)	(47.0, 771121.0)	(48.0, 1061333.0)	(49.0, 1085287.0)	(50.0, 690814.0)	(51.0, 306618.5)	(52.0, 149234.5)	(53.0, 115846.5)	(54.0, 88618.0)	(55.0, 57491.5)	(56.0, 34009.0)	(57.0, 22900.0)	(58.0, 21285.0)	(59.0, 19187.0)	(60.0, 12511.5)	(61.0, 7299.5)	(62.0, 5011.0)	(63.0, 3554.0)	(64.0, 2540.0)	(65.0, 2022.0)	(66.0, 1463.0)	(67.0, 922.5)	(68.0, 511.0)	(69.0, 257.5)	(70.0, 134.5)	(71.0, 58.0)	(72.0, 28.5)	(73.0, 21.5)	(74.0, 15.5)	(75.0, 9.0)	(76.0, 5.0)	(77.0, 3.5)	(78.0, 2.5)	(79.0, 1.0)	(80.0, 0.5)	(81.0, 0.5)	(82.0, 0.5)	(83.0, 0.0)	(84.0, 0.0)	(85.0, 0.0)	(86.0, 0.0)	(87.0, 0.0)	(88.0, 0.0)	(89.0, 0.0)	(90.0, 0.0)	(91.0, 0.0)	(92.0, 0.5)	(93.0, 0.5)	(94.0, 0.0)	(95.0, 0.5)	(96.0, 1.0)	(97.0, 2.5)	(98.0, 7.5)	(99.0, 28.0)	(100.0, 69.0)
