Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22
rna_bhi_rep1_R1_paired	(20.0, 2.0)	(21.0, 12.0)	(22.0, 38.0)	(23.0, 191.0)	(24.0, 799.0)	(25.0, 2986.0)	(26.0, 10004.0)	(27.0, 26917.0)	(28.0, 57024.0)	(29.0, 101099.0)	(30.0, 155662.0)	(31.0, 219186.0)	(32.0, 295955.0)	(33.0, 398992.0)	(34.0, 560551.0)	(35.0, 840064.0)	(36.0, 1566468.0)	(37.0, 3930831.0)	(38.0, 4917549.0)	(39.0, 691774.0)	(40.0, 7800.0)		
rna_bhi_rep1_R2_paired	(19.0, 13.0)	(20.0, 77.0)	(21.0, 616.0)	(22.0, 2562.0)	(23.0, 7156.0)	(24.0, 15761.0)	(25.0, 29315.0)	(26.0, 48130.0)	(27.0, 71436.0)	(28.0, 101175.0)	(29.0, 137028.0)	(30.0, 179516.0)	(31.0, 231121.0)	(32.0, 296147.0)	(33.0, 389618.0)	(34.0, 530652.0)	(35.0, 761574.0)	(36.0, 1303262.0)	(37.0, 3293224.0)	(38.0, 5168419.0)	(39.0, 1203307.0)	(40.0, 13795.0)	
rna_bhi_rep2_R1_paired	(19.0, 1.0)	(20.0, 2.0)	(21.0, 16.0)	(22.0, 61.0)	(23.0, 219.0)	(24.0, 718.0)	(25.0, 2978.0)	(26.0, 9996.0)	(27.0, 26934.0)	(28.0, 56920.0)	(29.0, 99723.0)	(30.0, 153552.0)	(31.0, 215132.0)	(32.0, 290059.0)	(33.0, 391887.0)	(34.0, 547373.0)	(35.0, 820419.0)	(36.0, 1533824.0)	(37.0, 3906764.0)	(38.0, 5012652.0)	(39.0, 684188.0)	(40.0, 5861.0)	
rna_bhi_rep2_R2_paired	(19.0, 8.0)	(20.0, 84.0)	(21.0, 555.0)	(22.0, 2450.0)	(23.0, 6790.0)	(24.0, 14960.0)	(25.0, 27643.0)	(26.0, 46197.0)	(27.0, 68468.0)	(28.0, 95849.0)	(29.0, 131096.0)	(30.0, 172783.0)	(31.0, 223717.0)	(32.0, 288011.0)	(33.0, 378581.0)	(34.0, 518264.0)	(35.0, 751607.0)	(36.0, 1288823.0)	(37.0, 3321651.0)	(38.0, 5237402.0)	(39.0, 1174634.0)	(40.0, 9706.0)	
rna_bhi_rep3_R1_paired	(20.0, 1.0)	(21.0, 11.0)	(22.0, 35.0)	(23.0, 173.0)	(24.0, 654.0)	(25.0, 2536.0)	(26.0, 8422.0)	(27.0, 22539.0)	(28.0, 49639.0)	(29.0, 88131.0)	(30.0, 138171.0)	(31.0, 195293.0)	(32.0, 265305.0)	(33.0, 359571.0)	(34.0, 502856.0)	(35.0, 752830.0)	(36.0, 1394897.0)	(37.0, 3506386.0)	(38.0, 4523548.0)	(39.0, 642348.0)	(40.0, 6172.0)		
rna_bhi_rep3_R2_paired	(18.0, 1.0)	(19.0, 14.0)	(20.0, 99.0)	(21.0, 651.0)	(22.0, 2430.0)	(23.0, 6968.0)	(24.0, 15378.0)	(25.0, 28196.0)	(26.0, 46476.0)	(27.0, 69123.0)	(28.0, 96721.0)	(29.0, 130478.0)	(30.0, 170528.0)	(31.0, 218533.0)	(32.0, 279832.0)	(33.0, 363419.0)	(34.0, 492137.0)	(35.0, 706559.0)	(36.0, 1207329.0)	(37.0, 3024963.0)	(38.0, 4578116.0)	(39.0, 1012719.0)	(40.0, 8848.0)
rna_serum_rep1_R1_paired	(21.0, 12.0)	(22.0, 56.0)	(23.0, 170.0)	(24.0, 766.0)	(25.0, 3053.0)	(26.0, 10258.0)	(27.0, 27105.0)	(28.0, 58007.0)	(29.0, 101888.0)	(30.0, 156264.0)	(31.0, 217579.0)	(32.0, 290925.0)	(33.0, 389840.0)	(34.0, 542115.0)	(35.0, 801837.0)	(36.0, 1409571.0)	(37.0, 3540681.0)	(38.0, 4997161.0)	(39.0, 549441.0)	(40.0, 5846.0)			
rna_serum_rep1_R2_paired	(19.0, 7.0)	(20.0, 82.0)	(21.0, 533.0)	(22.0, 2171.0)	(23.0, 6242.0)	(24.0, 14022.0)	(25.0, 26442.0)	(26.0, 43904.0)	(27.0, 64903.0)	(28.0, 91673.0)	(29.0, 124658.0)	(30.0, 165755.0)	(31.0, 215598.0)	(32.0, 279984.0)	(33.0, 374215.0)	(34.0, 519203.0)	(35.0, 758907.0)	(36.0, 1373640.0)	(37.0, 3656317.0)	(38.0, 4304026.0)	(39.0, 1068388.0)	(40.0, 11905.0)	
rna_serum_rep2_R1_paired	(21.0, 12.0)	(22.0, 73.0)	(23.0, 242.0)	(24.0, 901.0)	(25.0, 3298.0)	(26.0, 11023.0)	(27.0, 29554.0)	(28.0, 63325.0)	(29.0, 111525.0)	(30.0, 170255.0)	(31.0, 237689.0)	(32.0, 319233.0)	(33.0, 429562.0)	(34.0, 598686.0)	(35.0, 889410.0)	(36.0, 1575477.0)	(37.0, 3997522.0)	(38.0, 5682991.0)	(39.0, 612532.0)	(40.0, 5038.0)			
rna_serum_rep2_R2_paired	(19.0, 13.0)	(20.0, 101.0)	(21.0, 644.0)	(22.0, 2634.0)	(23.0, 7365.0)	(24.0, 16278.0)	(25.0, 30422.0)	(26.0, 49646.0)	(27.0, 73711.0)	(28.0, 103475.0)	(29.0, 140776.0)	(30.0, 185647.0)	(31.0, 241523.0)	(32.0, 312526.0)	(33.0, 415985.0)	(34.0, 575711.0)	(35.0, 838819.0)	(36.0, 1507602.0)	(37.0, 4038361.0)	(38.0, 4980473.0)	(39.0, 1205900.0)	(40.0, 10736.0)	
