Sample	0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15
rna_bhi_rep1_R1_paired	(1.0, 12.393751323348315)	(2.0, 4.164768890244214)	(3.0, 2.7952660326180117)	(4.0, 2.1970787335857795)	(5.0, 1.811537948039006)	(6.0, 1.6536366192353973)	(7.0, 1.39302308713416)	(8.0, 1.2644135497576885)	(9.0, 1.1360290125760169)	('>10', 19.708896540593834)	('>50', 8.501823186286277)	('>100', 18.72093464145294)	('>500', 6.450844906193713)	('>1k', 11.05480990519427)	('>5k', 2.2770391947394932)	('>10k+', 4.476146429000815)
rna_bhi_rep1_R2_paired	(1.0, 14.634567629333533)	(2.0, 5.270360027442364)	(3.0, 3.4698659021137646)	(4.0, 2.6512440246541513)	(5.0, 2.1928939186770853)	(6.0, 1.823282898361058)	(7.0, 1.6260154950484682)	(8.0, 1.4244505998263954)	(9.0, 1.3630797795281904)	('>10', 20.72643222281184)	('>50', 8.47972286698059)	('>100', 17.19168708092021)	('>500', 5.731019235789347)	('>1k', 9.177987256991958)	('>5k', 1.9122438000850541)	('>10k+', 2.3251472614359496)
rna_bhi_rep2_R1_paired	(1.0, 12.400028144615122)	(2.0, 4.104146568813922)	(3.0, 2.744272226632577)	(4.0, 2.166021230024267)	(5.0, 1.8441760964809402)	(6.0, 1.5956648581519957)	(7.0, 1.3874664020385272)	(8.0, 1.2744904468543805)	(9.0, 1.131894628458996)	('>10', 19.177803971458992)	('>50', 8.41134391971097)	('>100', 18.402661637180913)	('>500', 6.591377221895669)	('>1k', 11.235693561451436)	('>5k', 2.728822728024829)	('>10k+', 4.804136358206432)
rna_bhi_rep2_R2_paired	(1.0, 14.19799166902293)	(2.0, 5.229230541414346)	(3.0, 3.4098211880914517)	(4.0, 2.772176247256779)	(5.0, 2.2160634290962755)	(6.0, 1.9234291339453142)	(7.0, 1.600275681321623)	(8.0, 1.4867485674983714)	(9.0, 1.3045474765095948)	('>10', 20.755192379161393)	('>50', 8.439956382699204)	('>100', 17.179703199168962)	('>500', 5.513413052987977)	('>1k', 9.04624100626724)	('>5k', 2.670565634854411)	('>10k+', 2.2546444107040533)
rna_bhi_rep3_R1_paired	(1.0, 13.711112731197883)	(2.0, 4.52671092606986)	(3.0, 3.110639313313885)	(4.0, 2.4040164880819184)	(5.0, 1.9761933491309187)	(6.0, 1.686442102349948)	(7.0, 1.4888786588154468)	(8.0, 1.3510009956118139)	(9.0, 1.1753320687135986)	('>10', 19.842735688090116)	('>50', 8.467435946699453)	('>100', 18.223483524019258)	('>500', 6.096530575114057)	('>1k', 9.968389379129404)	('>5k', 2.5154369082706416)	('>10k+', 3.4556613453918015)
rna_bhi_rep3_R2_paired	(1.0, 16.163197265810023)	(2.0, 5.849752856102757)	(3.0, 3.7361910401669927)	(4.0, 2.857834013688887)	(5.0, 2.2785661042605225)	(6.0, 1.9720744975262918)	(7.0, 1.706532954398387)	(8.0, 1.5005242018275653)	(9.0, 1.3572790823137444)	('>10', 21.195388964150272)	('>50', 8.422681719214037)	('>100', 16.123601915839696)	('>500', 5.229600127079781)	('>1k', 8.217025556453278)	('>5k', 1.688083128497292)	('>10k+', 1.701666572670374)
rna_serum_rep1_R1_paired	(1.0, 11.907363421988604)	(2.0, 4.209266235960689)	(3.0, 2.764908597913071)	(4.0, 2.124387997843258)	(5.0, 1.812780246322464)	(6.0, 1.5252946728401982)	(7.0, 1.373168356722732)	(8.0, 1.2407938158877407)	(9.0, 1.1219650887652506)	('>10', 17.610355553055648)	('>50', 7.487197385050863)	('>100', 13.733641728203292)	('>500', 4.317791582787845)	('>1k', 7.674784759033017)	('>5k', 2.5974708053038227)	('>10k+', 18.49882975232148)
rna_serum_rep1_R2_paired	(1.0, 13.77327163790287)	(2.0, 4.937248810996837)	(3.0, 3.2209146691634842)	(4.0, 2.4493958120916712)	(5.0, 2.020735359487165)	(6.0, 1.6606921490481104)	(7.0, 1.5142021157279573)	(8.0, 1.275335640352087)	(9.0, 1.2195592448828958)	('>10', 17.60082787696747)	('>50', 6.4859369897526635)	('>100', 11.912714773862753)	('>500', 3.049474842785756)	('>1k', 4.6662953290269416)	('>5k', 2.030983587960945)	('>10k+', 22.182411159990426)
rna_serum_rep2_R1_paired	(1.0, 11.650480271489199)	(2.0, 4.032875288343613)	(3.0, 2.6900092419959547)	(4.0, 2.0936698375541414)	(5.0, 1.7000449495199035)	(6.0, 1.453543675067076)	(7.0, 1.3248954814020422)	(8.0, 1.1901105806443346)	(9.0, 1.0468818068678931)	('>10', 17.226469223219016)	('>50', 7.39443393060898)	('>100', 14.594998786675914)	('>500', 4.659816274614209)	('>1k', 8.135010705685435)	('>5k', 2.713383126228366)	('>10k+', 18.093376820083922)
rna_serum_rep2_R2_paired	(1.0, 13.387079776484914)	(2.0, 4.788881487906127)	(3.0, 3.082915928592511)	(4.0, 2.425220509910509)	(5.0, 1.9393789741128462)	(6.0, 1.6710812981921457)	(7.0, 1.5101361859354134)	(8.0, 1.2435065123306281)	(9.0, 1.1656117660214473)	('>10', 17.845701624942883)	('>50', 6.863795158860659)	('>100', 12.599929745364143)	('>500', 3.381968334929817)	('>1k', 5.060391769461568)	('>5k', 1.8934702311398377)	('>10k+', 21.140930695814607)
