Sample	fastqc-percent_duplicates	fastqc-percent_gc	fastqc-avg_sequence_length	fastqc-median_sequence_length	fastqc-percent_fails	fastqc-total_sequences
rna_bhi_rep1_R1_paired	81.70172269219732	41.0	98.49523241020832	100	9.090909090909092	13.783904
rna_bhi_rep1_R2_paired	78.33283830250626	40.0	98.08131252219981	100	18.181818181818183	13.783904
rna_bhi_rep2_R1_paired	81.77865593319262	41.0	98.87984940926047	100	9.090909090909092	13.759279
rna_bhi_rep2_R2_paired	78.75939713542809	40.0	98.50565872673997	100	18.181818181818183	13.759279
rna_bhi_rep3_R1_paired	79.97256439562548	41.0	98.75480712817301	100	9.090909090909092	12.459518
rna_bhi_rep3_R2_paired	76.28396996038774	40.0	98.26754590346111	100	18.181818181818183	12.459518
rna_serum_rep1_R1_paired	82.35523853543059	42.0	98.26373941763356	100	18.181818181818183	13.102575
rna_serum_rep1_R2_paired	79.81130557350806	42.0	97.9297656758309	100	36.36363636363637	13.102575
rna_serum_rep2_R1_paired	82.81427562045477	42.0	98.67259994132314	100	18.181818181818183	14.738347999999998
rna_serum_rep2_R2_paired	80.32636856896704	41.0	98.30876269172094	100	27.27272727272727	14.738347999999998
rna_serum_rep3_R1_paired	82.6824551179636	42.0	98.41336743697086	100	18.181818181818183	14.057347
rna_serum_rep3_R2_paired	80.3594067060494	42.0	98.01218106802087	100	27.27272727272727	14.057347
