Assembly	efaecium_e745_nanopore.contigs
# contigs (>= 0 bp)	44
# contigs (>= 1000 bp)	44
# contigs (>= 5000 bp)	32
# contigs (>= 10000 bp)	14
# contigs (>= 25000 bp)	0
# contigs (>= 50000 bp)	0
Total length (>= 0 bp)	367099
Total length (>= 1000 bp)	367099
Total length (>= 5000 bp)	323235
Total length (>= 10000 bp)	187820
Total length (>= 25000 bp)	0
Total length (>= 50000 bp)	0
# contigs	44
Largest contig	23096
Total length	367099
Estimated reference length	3300000
GC (%)	38.86
N50	10074
N90	4658
auN	10591.0
auNG	1178.2
L50	14
L90	34
# N's per 100 kbp	0.00
