Assembly	scaffolds
# contigs (>= 0 bp)	471
# contigs (>= 1000 bp)	159
# contigs (>= 5000 bp)	89
# contigs (>= 10000 bp)	66
# contigs (>= 25000 bp)	34
# contigs (>= 50000 bp)	17
Total length (>= 0 bp)	2977052
Total length (>= 1000 bp)	2910360
Total length (>= 5000 bp)	2736486
Total length (>= 10000 bp)	2568315
Total length (>= 25000 bp)	2031484
Total length (>= 50000 bp)	1411177
# contigs	189
Largest contig	114283
Total length	2930010
Estimated reference length	3300000
GC (%)	37.65
N50	49767
NG50	43480
N90	7935
auN	54334.1
auNG	48242.2
L50	19
LG50	23
L90	74
# N's per 100 kbp	10.24
