Assembly	canu_pacbio	canu_pacbio_pilon_r1	canu_pacbio_pilon_r2	flye_pacbio	flye_pacbio_pilon	spades_pacbio_illumina	spades_pacbio_illumina_isolate
# contigs (>= 0 bp)	10	10	10	11	11	224	457
# contigs (>= 1000 bp)	10	10	10	11	11	44	53
# contigs (>= 5000 bp)	10	10	10	10	10	38	50
# contigs (>= 10000 bp)	9	9	9	10	10	35	43
# contigs (>= 25000 bp)	4	4	4	6	6	29	33
# contigs (>= 50000 bp)	2	2	2	3	3	18	21
Total length (>= 0 bp)	3155801	3155939	3155923	3142598	3139688	3142191	3115061
Total length (>= 1000 bp)	3155801	3155939	3155923	3142598	3139688	3127697	3079915
Total length (>= 5000 bp)	3155801	3155939	3155923	3138956	3136046	3114599	3074529
Total length (>= 10000 bp)	3148759	3148897	3148881	3138956	3136046	3091762	3024815
Total length (>= 25000 bp)	3062599	3062704	3062689	3078550	3075641	3001331	2871596
Total length (>= 50000 bp)	2993707	2993804	2993789	2980276	2977407	2624973	2476496
# contigs	10	10	10	11	11	45	56
Largest contig	2775137	2775227	2775212	1415035	1415042	385945	304474
Total length	3155801	3155939	3155923	3142598	3139688	3128596	3082492
Reference length	3168410	3168410	3168410	3168410	3168410	3168410	3168410
GC (%)	37.79	37.79	37.79	37.82	37.82	37.71	37.66
Reference GC (%)	37.70	37.70	37.70	37.70	37.70	37.70	37.70
N50	2775137	2775227	2775212	1362975	1362979	162800	122393
NG50	2775137	2775227	2775212	1362975	1362979	162800	122393
N90	218570	218577	218577	202266	199386	33126	28698
NG90	218570	218577	218577	202266	199386	31976	26158
auN	2456809.2	2456861.6	2456847.7	1242661.1	1243453.2	170912.1	131616.4
auNG	2447032.1	2447191.3	2447165.0	1232537.5	1232181.2	168764.4	128047.3
L50	1	1	1	2	2	7	9
LG50	1	1	1	2	2	7	9
L90	2	2	2	3	3	23	30
LG90	2	2	2	3	3	24	33
# misassemblies	7	8	8	3	4	4	0
# misassembled contigs	5	5	5	2	3	3	0
Misassembled contigs length	3063909	3064010	3063994	57865	257216	307283	0
# local misassemblies	0	0	0	0	0	0	0
# scaffold gap ext. mis.	0	0	0	0	0	0	0
# scaffold gap loc. mis.	0	0	0	0	0	0	5
# unaligned mis. contigs	0	0	0	0	0	0	0
# unaligned contigs	0 + 0 part	0 + 0 part	0 + 0 part	0 + 2 part	0 + 2 part	2 + 0 part	2 + 0 part
Unaligned length	0	0	0	4200	4200	4989	8122
Genome fraction (%)	98.217	98.217	98.217	97.635	97.544	98.157	96.934
Duplication ratio	1.013	1.013	1.013	1.014	1.014	1.003	1.000
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	6.42	115.88
# mismatches per 100 kbp	10.28	10.63	10.63	26.07	25.36	50.81	16.12
# indels per 100 kbp	15.26	8.57	8.31	52.55	50.97	7.31	2.96
# genomic features	3328 + 13 part	3328 + 13 part	3328 + 13 part	3310 + 15 part	3308 + 15 part	3336 + 16 part	3204 + 26 part
Largest alignment	2126761	1888367	1888356	1415035	1415042	385945	304474
Total aligned length	3151802	3151940	3151924	3137894	3134984	3119374	3070896
NA50	2126761	1888367	1888356	1362975	1362979	128639	122393
NGA50	2126761	1888367	1888356	1362975	1362979	128639	122393
NA90	183837	183840	183840	202039	188646	31036	28698
NGA90	183837	183840	183840	202039	188646	29482	26158
auNA	1578433.4	1390324.4	1390316.0	1242396.7	1241925.8	162315.7	131214.6
auNGA	1572151.8	1384852.0	1384836.6	1232275.3	1230667.6	160276.0	127656.4
LA50	1	1	1	2	2	8	9
LGA50	1	1	1	2	2	8	9
LA90	3	3	3	3	3	25	30
LGA90	3	3	3	3	3	26	33
