All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     efaecium_e745_pacbio.contigs
# misassemblies              7                           
  # contig misassemblies     7                           
    # c. relocations         4                           
    # c. translocations      3                           
    # c. inversions          0                           
  # scaffold misassemblies   0                           
    # s. relocations         0                           
    # s. translocations      0                           
    # s. inversions          0                           
# misassembled contigs       5                           
Misassembled contigs length  3063909                     
# local misassemblies        0                           
# scaffold gap ext. mis.     0                           
# scaffold gap loc. mis.     0                           
# unaligned mis. contigs     0                           
# mismatches                 324                         
# indels                     481                         
    # indels (<= 5 bp)       469                         
    # indels (> 5 bp)        12                          
Indels length                665                         
