Assembly	efaecium_e745_flye_pacbio_pilon
# misassemblies	4
  # contig misassemblies	4
    # c. relocations	3
    # c. translocations	1
    # c. inversions	0
  # scaffold misassemblies	0
    # s. relocations	0
    # s. translocations	0
    # s. inversions	0
# misassembled contigs	3
Misassembled contigs length	257216
# local misassemblies	0
# scaffold gap ext. mis.	0
# scaffold gap loc. mis.	0
# unaligned mis. contigs	0
# mismatches	795
# indels	1598
    # indels (<= 5 bp)	1582
    # indels (> 5 bp)	16
Indels length	2083
