gene_id	rna_bhi_rep1	rna_bhi_rep2	rna_bhi_rep3	rna_serum_rep1	rna_serum_rep2	rna_serum_rep3
EFM745_00001	0	0	0	0	0	0
EFM745_00002	0	0	0	0	0	0
EFM745_00003	0	0	0	0	0	0
EFM745_00004	0	0	0	0	0	0
EFM745_00005	0	0	0	0	0	0
EFM745_00006	0	0	0	0	0	0
EFM745_00026	10551	9620	8733	8352	9661	9161
EFM745_00027	5024	4258	4080	3864	4435	4179
EFM745_00028	23675	22251	20165	11345	12617	11409
EFM745_00029	2225	2107	2157	952	1007	1034
EFM745_00030	23471	22599	22818	4736	5734	5125
EFM745_00031	218	264	231	390	426	394
EFM745_00032	79537	68379	66782	22325	27712	23498
EFM745_00033	68422	62201	59146	19993	22663	20250
EFM745_00034	4515	4558	4244	7343	7973	7211
EFM745_00035	651	713	647	908	1143	1108
EFM745_00036	3185	3105	2738	2723	3137	3041
EFM745_00037	0	0	2	0	0	0
EFM745_00038	1679	1457	1269	23192	28192	24940
EFM745_00039	3035	2762	2694	2661	3143	2858
EFM745_00040	3	0	1	0	0	0
EFM745_00041	8020	7859	7238	7780	9200	8326
EFM745_00042	959	882	880	1040	1148	1084
EFM745_00043	18035	18129	16326	4111	4772	4080
EFM745_00044	1416	1434	1421	946	1111	916
EFM745_00045	1538	1467	1290	544	591	585
EFM745_00046	5070	5341	4807	3562	4116	3727
EFM745_00047	485	564	494	938	1218	1030
EFM745_00048	1	1	0	0	0	1
EFM745_00049	16462	16268	14661	2588	2831	2724
EFM745_00050	9003	8808	7842	859	924	868
EFM745_00051	14760	14491	13383	2084	2376	2191
EFM745_00052	8108	8552	7773	1105	1338	1191
EFM745_00053	12237	12838	11155	1870	2197	1937
EFM745_00054	14317	12119	10738	1603	1879	1728
EFM745_00055	2460	2550	2440	312	341	303
EFM745_00056	19721	19665	17269	2017	2255	2104
EFM745_00057	13281	14232	12400	834	1021	858
EFM745_00058	32120	30429	27588	880	1045	784
EFM745_00059	30244	29565	26696	831	1017	774
EFM745_00060	57895	60756	52877	1266	1543	1263
EFM745_00061	19216	16306	15038	381	406	300
EFM745_00062	24453	20973	18527	512	538	441
EFM745_00063	45374	39789	36904	889	1084	855
EFM745_00064	38780	40095	34372	704	842	669
EFM745_00065	38627	35617	30583	535	697	612
EFM745_00066	23639	25646	25070	421	485	355
EFM745_00067	42092	36938	34343	1340	1712	1446
EFM745_00068	21593	21021	19221	726	974	769
EFM745_00069	456	458	446	468	551	509
EFM745_00070	6195	5878	6000	6005	7223	6597
EFM745_00071	3229	3584	2995	4342	5337	4945
EFM745_00072	3148	3008	2798	3320	3607	3332
EFM745_00073	3024	3199	2867	3234	3564	3344
EFM745_00074	102901	104655	96067	53214	62111	57487
EFM745_00075	21987	24405	24890	8868	10976	9887
EFM745_00076	11934	11927	10579	11677	12760	11650
EFM745_00077	2401	2404	1915	40448	40028	39718
EFM745_00078	52	49	63	42	50	49
EFM745_00079	8589	8880	7742	1961	2176	2045
EFM745_00080	10944	10142	9598	4747	5486	5023
EFM745_00081	3204	3366	3193	3267	3776	3584
EFM745_00082	754	675	690	287	406	355
EFM745_00083	10755	10794	9758	7481	8656	7747
EFM745_00084	2090	2050	1791	1502	1725	1687
EFM745_00085	617	644	579	552	602	525
EFM745_00086	3583	3860	3471	1443	1755	1609
EFM745_00087	496	754	572	496	588	547
EFM745_00088	789	880	797	3283	3598	3752
EFM745_00089	7991	7834	7140	7783	8701	7928
EFM745_00090	9604	10324	8429	16905	17116	16380
