	rna_bhi_rep1	rna_bhi_rep2	rna_bhi_rep3	rna_serum_rep1	rna_serum_rep2	rna_serum_rep3
EFM745_00026	9620.38025449896	8722.96245750199	8665.12101627615	9617.80240571641	9543.62092018695	9744.39243702179
EFM745_00027	4580.87294082104	3860.95365322697	4048.2873865117	4449.61548080558	4381.1157003446	4445.12782385264
EFM745_00028	21586.8166548444	20176.1577590308	20008.2635169138	13064.4119124584	12463.7061536072	12135.5499742366
EFM745_00029	2028.75045647429	1910.52826382086	2140.23428742788	1096.28207498109	994.765165782865	1099.84737254454
EFM745_00030	21400.8098714193	20491.707752296	22640.6425454471	5453.77301167061	5664.33312869806	5451.37116469127
EFM745_00031	198.771954836582	239.382753511489	229.204506442207	449.107152565781	420.824191284509	419.09077831968
EFM745_00032	72521.6741827395	62002.8534180383	66262.9235897119	25708.5055923873	27375.3051382073	24994.4038298371
EFM745_00033	62387.0398799477	56400.9342847278	58686.275922211	23023.0751314042	22387.649406293	21539.564114146
EFM745_00034	4116.76778021636	4132.97950949003	4211.01266381266	8455.88159305263	7876.12975847744	7670.21218899292
EFM745_00035	593.580470635847	646.514785051862	641.971063498302	1045.61357571725	1129.11279492534	1178.55985375179
EFM745_00036	2904.07649612162	2815.46761232263	2716.71834908555	3135.68917035031	3098.88612220541	3234.65750474656
EFM745_00038	1530.90877142487	1321.13890858424	1259.13644448121	26706.9053392451	27849.4732410631	26528.2335312
EFM745_00039	2767.30680242672	2504.45138332853	2673.06034785846	3064.29264866037	3104.81322349111	3040.00366608539
EFM745_00041	7312.61962288709	7126.17068123785	7181.74120185581	8959.1119152866	9088.22197140254	8856.21781799404
EFM745_00042	874.414241689366	799.756017413384	873.160024541739	1197.61907350875	1134.05204599675	1153.03148146836
EFM745_00043	16444.2761719163	16438.5224939765	16199.1029098505	4734.05001076391	4714.02122255793	4339.82328818349
EFM745_00044	1291.10590847982	1300.28359293741	1409.95499417479	1089.37273417238	1097.50158806829	974.332875484332
EFM745_00045	1402.34525935166	1330.20643712634	1279.97321779414	626.446899989192	583.819476641185	622.254074408661
EFM745_00046	4622.81564688747	4842.9669943366	4769.63663405925	4101.84532676746	4065.99148198835	3964.34347918134
EFM745_00047	442.222009613496	511.408609774545	490.160286504113	1080.16027976078	1203.20156099655	1095.59264383063
EFM745_00049	15010.0179840358	14751.0554322913	14547.0444543255	2980.22900215446	2796.60395663485	2897.47025416956
EFM745_00050	8208.91701556764	7986.67913988332	7781.04649142764	989.187292446168	912.773597997386	923.276130917467
EFM745_00051	13458.1378595777	13139.7556103598	13278.9779641387	2399.8443742233	2347.13210913613	2330.52765304167
EFM745_00052	7392.85784318809	7754.55040920551	7712.58280768516	1272.47026560305	1321.7435867105	1266.84547456533
EFM745_00053	11157.6716116296	11640.8931423504	11068.2955383672	2153.41121871285	2170.3069207795	2060.35237970868
EFM745_00054	13054.2113641988	10988.9378401732	10654.5367540105	1845.9455527255	1856.17055263754	1838.04280440712
EFM745_00055	2243.02297659629	2312.21977823597	2421.0346135021	359.285722052625	336.856923070464	322.295700078332
EFM745_00056	17981.5675290469	17831.2948780433	17134.773254331	2322.6900685261	2227.60223320791	2237.98730351423
EFM745_00057	12109.5886797461	12904.9066211194	12303.6185276336	960.3983724099	1008.59506878283	912.639309132704
EFM745_00058	29286.950409867	27591.5826007617	27373.5667693835	1013.36998527663	1032.30347392561	833.926827925454
EFM745_00059	27576.4174407228	26808.1481347241	26488.5000172344	956.943702005548	1004.64366792569	823.290006140691
EFM745_00060	52788.5427764399	55090.676410394	52466.0029746518	1457.87091063661	1524.25288063849	1343.43059141562
EFM745_00061	17521.1095602741	14785.5120407513	14921.1141466576	438.743141352724	401.067186998851	319.104653542903
EFM745_00062	22296.1954661419	19017.3276113502	18382.9951985055	589.597082342769	531.463415284192	469.083840708068
EFM745_00063	41371.920544748	36078.7893161691	36617.1563019186	1023.73399648969	1070.82963228265	909.448262597275
EFM745_00064	35359.5248099204	36356.2556895574	34104.8367767598	810.695988221307	831.769880426189	711.603377400675
EFM745_00065	35220.0197223516	32295.8164084042	30345.2875347273	616.082888776135	688.531599355171	650.973493227523
EFM745_00066	21553.9919283576	23254.5836990744	24875.1384264334	484.805413410753	479.107353927199	377.607173359102
EFM745_00067	38379.3996467037	33493.6369288158	34076.062185042	1543.08611394396	1691.1995668523	1538.08443007679
EFM745_00068	19688.4533063592	19060.8517483523	19071.6009451327	836.030237853223	962.16610871153	817.971595248309
EFM745_00069	415.779868832483	415.292807228265	442.533376074563	538.928583078937	544.30546806987	541.414228844459
EFM745_00070	5648.58834959919	5329.89327704747	5953.36380369368	6915.09859271157	7135.24209776528	7017.11133140845
EFM745_00071	2944.19560627212	3249.80222948931	2971.72076534376	5000.05963189903	5272.15659362776	5259.90837256552
EFM745_00072	2870.33997167688	2727.51258546424	2776.25198712248	3823.16858081639	3563.17572291837	3544.18901868318
EFM745_00073	2757.2770248891	2900.70238061838	2844.71567086496	3724.13469589163	3520.6981637042	3556.9532048249
EFM745_00074	93824.9216726564	94896.219957367	95320.3000882401	61278.9436323986	61356.3646593243	61147.8973940696
