#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_9_length_122393_cov_64.141746:67121-67981|+   -            287 20420                -            282  3.5e-156  516.0   0.3   1   1  1.2e-158    4e-156  515.8   0.3     1   281     1   281     1   282 1.00 NODE_9_length_122393_cov_64.141746_63 # 67121 # 67981 # 1 # ID=9_63;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 20420                -            282   4.6e-18   62.8   0.0   1   3   1.2e-10   4.3e-08   30.1   0.0   124   175     7    61     3    65 0.90 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 20420                -            282   4.6e-18   62.8   0.0   2   3   2.4e-10   8.1e-08   29.2   0.0    10   158    69   212    65   242 0.78 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_9_length_122393_cov_64.141746:46073-47383|+   -            437 20420                -            282   4.6e-18   62.8   0.0   3   3      0.39   1.3e+02   -1.1   0.0    24    65   258   301   238   316 0.63 NODE_9_length_122393_cov_64.141746_40 # 46073 # 47383 # 1 # ID=9_40;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
NODE_29_length_26158_cov_60.714258:17980-19377|+   -            466 20420                -            282   7.1e-11   39.2   1.4   1   2   4.7e-09   1.6e-06   24.9   0.1   111   175   218   285   191   298 0.76 NODE_29_length_26158_cov_60.714258_18 # 17980 # 19377 # 1 # ID=29_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_29_length_26158_cov_60.714258:17980-19377|+   -            466 20420                -            282   7.1e-11   39.2   1.4   2   2   2.1e-05    0.0073   12.9   0.1    21    90   304   373   298   384 0.87 NODE_29_length_26158_cov_60.714258_18 # 17980 # 19377 # 1 # ID=29_18;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.414
NODE_5_length_185063_cov_65.589034:142828-143727|+ -            300 20420                -            282   1.8e-10   37.9   0.1   1   2   1.8e-12   6.2e-10   36.1   0.1   124   180    10    69     4    83 0.85 NODE_5_length_185063_cov_65.589034_136 # 142828 # 143727 # 1 # ID=5_136;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_5_length_185063_cov_65.589034:142828-143727|+ -            300 20420                -            282   1.8e-10   37.9   0.1   2   2      0.51   1.8e+02   -1.4   0.0    22    97    84   163    75   171 0.58 NODE_5_length_185063_cov_65.589034_136 # 142828 # 143727 # 1 # ID=5_136;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
NODE_6_length_183174_cov_88.861183:98070-99179|-   -            370 20420                -            282   1.9e-09   34.5   0.1   1   1   1.5e-11   5.2e-09   33.1   0.1    27   188    77   237    67   262 0.73 NODE_6_length_183174_cov_88.861183_86 # 98070 # 99179 # -1 # ID=6_86;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
NODE_1_length_385945_cov_86.278628:267793-268380|+ -            196 20420                -            282   7.9e-09   32.5   0.0   1   2     5e-11   1.7e-08   31.4   0.0   126   186    29    90    25   129 0.87 NODE_1_length_385945_cov_86.278628_274 # 267793 # 268380 # 1 # ID=1_274;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_1_length_385945_cov_86.278628:267793-268380|+ -            196 20420                -            282   7.9e-09   32.5   0.0   2   2      0.62   2.1e+02   -1.7   0.0    27    62   109   146    92   163 0.63 NODE_1_length_385945_cov_86.278628_274 # 267793 # 268380 # 1 # ID=1_274;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.393
