#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:302841-303548|-   -            236 17381                -            235    9e-136  448.3   1.0   1   1  4.2e-138    1e-135  448.2   1.0     1   235     1   235     1   235 1.00 NODE_1_length_1652082_cov_46.167482_303 # 302841 # 303548 # -1 # ID=1_303;partial=00;start_type=ATG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.395
NODE_4_length_212759_cov_102.864112:148533-149267|+   -            245 17381                -            235   6.7e-36  121.4   0.3   1   1   3.3e-38   7.8e-36  121.2   0.3     5   231     8   235     4   239 0.94 NODE_4_length_212759_cov_102.864112_144 # 148533 # 149267 # 1 # ID=4_144;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_2_length_840748_cov_42.698360:664647-665366|+    -            240 17381                -            235   1.1e-33  114.2   0.0   1   1   5.8e-36   1.4e-33  113.9   0.0     5   223     1   223     1   230 0.92 NODE_2_length_840748_cov_42.698360_636 # 664647 # 665366 # 1 # ID=2_636;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_1_length_1652082_cov_46.167482:851124-851825|-   -            234 17381                -            235     4e-26   89.5   0.8   1   1     2e-28   4.6e-26   89.2   0.8     2   226     2   222     1   230 0.88 NODE_1_length_1652082_cov_46.167482_851 # 851124 # 851825 # -1 # ID=1_851;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_4_length_212759_cov_102.864112:48464-49198|-     -            245 17381                -            235   1.8e-24   84.1   0.6   1   1     1e-26   2.4e-24   83.6   0.6    13   220     8   215     5   223 0.93 NODE_4_length_212759_cov_102.864112_48 # 48464 # 49198 # -1 # ID=4_48;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.351
NODE_1_length_1652082_cov_46.167482:1259104-1259817|- -            238 17381                -            235   4.3e-18   63.2   0.3   1   1   2.3e-20   5.6e-18   62.8   0.3    12   232     8   229     3   231 0.90 NODE_1_length_1652082_cov_46.167482_1233 # 1259104 # 1259817 # -1 # ID=1_1233;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.392
NODE_1_length_1652082_cov_46.167482:599105-600184|-   -            360 17381                -            235   1.9e-15   54.5   0.2   1   1   1.3e-17   3.2e-15   53.8   0.2     8    78     4    74     1    88 0.92 NODE_1_length_1652082_cov_46.167482_585 # 599105 # 600184 # -1 # ID=1_585;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.379
NODE_4_length_212759_cov_102.864112:47782-48480|-     -            233 17381                -            235   1.6e-14   51.5   0.0   1   1   2.2e-16   5.2e-14   49.8   0.0    12    79    13    80     6   200 0.85 NODE_4_length_212759_cov_102.864112_47 # 47782 # 48480 # -1 # ID=4_47;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_2_length_840748_cov_42.698360:496736-498160|-    -            475 17381                -            235   1.5e-12   45.0   0.0   1   1   1.2e-14   2.8e-12   44.2   0.0     3    72     8    77     6    83 0.95 NODE_2_length_840748_cov_42.698360_477 # 496736 # 498160 # -1 # ID=2_477;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.388
NODE_3_length_245057_cov_46.274867:49618-50262|-      -            215 17381                -            235   5.7e-12   43.1   0.2   1   1   3.1e-14   7.5e-12   42.7   0.2     6    74    10    78     5   132 0.90 NODE_3_length_245057_cov_46.274867_77 # 49618 # 50262 # -1 # ID=3_77;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_3_length_245057_cov_46.274867:190310-191356|+    -            349 17381                -            235   2.5e-10   37.7   0.0   1   1   1.6e-12   3.9e-10   37.1   0.0     4    73     2    71     1    88 0.92 NODE_3_length_245057_cov_46.274867_198 # 190310 # 191356 # 1 # ID=3_198;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.390
NODE_1_length_1652082_cov_46.167482:344991-346385|+   -            465 17381                -            235   8.8e-08   29.4   0.0   1   1   8.4e-10     2e-07   28.3   0.0     4    99    21   116    18   135 0.87 NODE_1_length_1652082_cov_46.167482_350 # 344991 # 346385 # 1 # ID=1_350;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.343
NODE_1_length_1652082_cov_46.167482:1167255-1167941|+ -            229 17381                -            235    0.0025   14.9   0.5   1   1   1.5e-05    0.0036   14.3   0.5    10   132     9   125     5   147 0.83 NODE_1_length_1652082_cov_46.167482_1144 # 1167255 # 1167941 # 1 # ID=1_1144;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.377
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17381at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/17381at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17381at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_nanopore_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:27 2026
# [ok]
