#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:847366-848037|-   -            224 18742                -            218  3.4e-133  439.5  18.7   1   1  1.1e-135  3.9e-133  439.3  18.7     1   218     4   221     4   221 0.99 tig00000001_795 # 847366 # 848037 # -1 # ID=1_795;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.430
tig00000001:848948-849589|-   -            214 18742                -            218     6e-57  190.2   9.6   1   1     2e-59   6.8e-57  190.0   9.6    12   215     3   205     1   208 0.97 tig00000001_797 # 848948 # 849589 # -1 # ID=1_797;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.428
tig00000001:2619802-2621340|- -            513 18742                -            218   2.3e-43  145.7  11.9   1   1   9.8e-46   3.4e-43  145.2  11.9     8   204     2   197     1   207 0.95 tig00000001_2542 # 2619802 # 2621340 # -1 # ID=1_2542;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001:194667-196394|-   -            576 18742                -            218     6e-21   72.5   8.4   1   2   1.7e-23     6e-21   72.5   8.4    24   203    93   271    76   283 0.84 tig00000001_214 # 194667 # 196394 # -1 # ID=1_214;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001:194667-196394|-   -            576 18742                -            218     6e-21   72.5   8.4   2   2       3.3   1.2e+03   -3.6   0.5   151   167   303   319   298   326 0.69 tig00000001_214 # 194667 # 196394 # -1 # ID=1_214;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001:1158185-1158871|+ -            229 18742                -            218   1.6e-07   28.6  12.6   1   1   6.3e-10   2.2e-07   28.1  12.6     9   197     8   210     2   227 0.73 tig00000001_1089 # 1158185 # 1158871 # 1 # ID=1_1089;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001:1221384-1222064|+ -            227 18742                -            218     2e-07   28.3  14.2   1   1   7.3e-10   2.5e-07   27.9  14.2    20   204    26   216     2   225 0.66 tig00000001_1147 # 1221384 # 1222064 # 1 # ID=1_1147;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
tig00000001:1274776-1275603|+ -            276 18742                -            218   3.4e-07   27.5  13.3   1   1   3.2e-09   1.1e-06   25.8  13.2    24   176    59   218    34   249 0.83 tig00000001_1199 # 1274776 # 1275603 # 1 # ID=1_1199;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2616546-2617289|- -            248 18742                -            218   4.2e-06   24.0   7.8   1   1   1.7e-08   5.8e-06   23.5   7.8    20   183    48   212    37   239 0.85 tig00000001_2538 # 2616546 # 2617289 # -1 # ID=1_2538;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001:805692-807284|-   -            531 18742                -            218   0.00031   17.8  13.0   1   1   2.2e-06   0.00075   16.6  13.0     9   213   289   512   283   517 0.66 tig00000001_754 # 805692 # 807284 # -1 # ID=1_754;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.426
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18742at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18742at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18742at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:09:39 2026
# [ok]
