#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:637568-638668|-   -            367 19956                -            366  1.2e-235  778.5   6.6   1   1  3.4e-238  1.3e-235  778.3   6.6     1   366     1   366     1   366 1.00 tig00000001_582 # 637568 # 638668 # -1 # ID=1_582;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
tig00000001:2477735-2479048|- -            438 19956                -            366   1.3e-17   61.1   0.1   1   2   1.7e-16   6.5e-14   48.9   0.0     5   134   163   269   159   287 0.86 tig00000001_2404 # 2477735 # 2479048 # -1 # ID=1_2404;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
tig00000001:2477735-2479048|- -            438 19956                -            366   1.3e-17   61.1   0.1   2   2    0.0046       1.8    4.7   0.0   250   303   302   361   291   381 0.81 tig00000001_2404 # 2477735 # 2479048 # -1 # ID=1_2404;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
tig00000001:2670376-2671686|- -            437 19956                -            366   4.3e-05   19.9   4.9   1   6   1.8e-05    0.0069   12.6   0.0     4    23     5    24     1    33 0.88 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   4.3e-05   19.9   4.9   2   6      0.38   1.5e+02   -1.6   0.0   218   252    65   101    60   117 0.77 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   4.3e-05   19.9   4.9   3   6    0.0013      0.51    6.5   0.0     6    22   178   194   174   200 0.88 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   4.3e-05   19.9   4.9   4   6      0.78     3e+02   -2.6   0.0   222   252   246   276   238   286 0.77 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   4.3e-05   19.9   4.9   5   6      0.26     1e+02   -1.1   0.1   187   250   310   339   255   371 0.59 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:2670376-2671686|- -            437 19956                -            366   4.3e-05   19.9   4.9   6   6      0.85   3.3e+02   -2.8   0.0   197   226   388   418   365   431 0.72 tig00000001_2591 # 2670376 # 2671686 # -1 # ID=1_2591;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001:1625083-1626312|+ -            410 19956                -            366   0.00077   15.8   0.0   1   2   4.6e-06    0.0018   14.5   0.0     5    39   196   230   193   257 0.94 tig00000001_1555 # 1625083 # 1626312 # 1 # ID=1_1555;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001:1625083-1626312|+ -            410 19956                -            366   0.00077   15.8   0.0   2   2      0.53   2.1e+02   -2.1   0.0    94   127   270   303   239   374 0.73 tig00000001_1555 # 1625083 # 1626312 # 1 # ID=1_1555;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
