#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_13_length_59599_cov_35.538241:383-1267|+    -            295 23850                -            279   4.9e-99  328.5   1.1   1   1  1.5e-101   5.7e-99  328.3   1.1     2   278     4   292     3   293 0.89 NODE_13_length_59599_cov_35.538241_1 # 383 # 1267 # 1 # ID=13_1;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.424
NODE_33_length_26464_cov_31.883600:4966-5508|+   -            181 23850                -            279   2.3e-05   21.2   1.1   1   1   1.2e-07   4.7e-05   20.2   1.1     3    39     2    38     1    39 0.96 NODE_33_length_26464_cov_31.883600_7 # 4966 # 5508 # 1 # ID=33_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_32_length_28108_cov_33.161872:18346-19242|- -            299 23850                -            279   0.00014   18.6  17.8   1   3   2.8e-06    0.0011   15.8   4.0    86   170    10    92     3   115 0.70 NODE_32_length_28108_cov_33.161872_19 # 18346 # 19242 # -1 # ID=32_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_32_length_28108_cov_33.161872:18346-19242|- -            299 23850                -            279   0.00014   18.6  17.8   2   3      0.28   1.1e+02   -0.6   0.0    51    77   101   127    94   149 0.81 NODE_32_length_28108_cov_33.161872_19 # 18346 # 19242 # -1 # ID=32_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_32_length_28108_cov_33.161872:18346-19242|- -            299 23850                -            279   0.00014   18.6  17.8   3   3   0.00058      0.22    8.2   5.4   133   228   200   294   185   298 0.63 NODE_32_length_28108_cov_33.161872_19 # 18346 # 19242 # -1 # ID=32_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_10_length_83811_cov_29.795656:59789-60502|- -            238 23850                -            279   0.00042   17.1   1.7   1   2   1.1e-06   0.00042   17.1   1.7   119   192    13    87     3   141 0.67 NODE_10_length_83811_cov_29.795656_60 # 59789 # 60502 # -1 # ID=10_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_10_length_83811_cov_29.795656:59789-60502|- -            238 23850                -            279   0.00042   17.1   1.7   2   2       1.3   4.9e+02   -2.8   0.1   211   225   158   172   157   182 0.79 NODE_10_length_83811_cov_29.795656_60 # 59789 # 60502 # -1 # ID=10_60;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_11_length_80003_cov_31.743608:15551-16186|+ -            212 23850                -            279   0.00079   16.2   5.1   1   2     2e-06   0.00079   16.2   5.1    89   182    31   126    11   146 0.49 NODE_11_length_80003_cov_31.743608_17 # 15551 # 16186 # 1 # ID=11_17;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_11_length_80003_cov_31.743608:15551-16186|+ -            212 23850                -            279   0.00079   16.2   5.1   2   2      0.29   1.1e+02   -0.7   3.5   142   181   117   156   108   183 0.38 NODE_11_length_80003_cov_31.743608_17 # 15551 # 16186 # 1 # ID=11_17;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_5_length_100374_cov_29.640417:15992-16816|+ -            275 23850                -            279     0.001   15.8   0.2   1   2   2.7e-06     0.001   15.8   0.2   115   173    10    67     4    90 0.62 NODE_5_length_100374_cov_29.640417_18 # 15992 # 16816 # 1 # ID=5_18;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
NODE_5_length_100374_cov_29.640417:15992-16816|+ -            275 23850                -            279     0.001   15.8   0.2   2   2      0.27   1.1e+02   -0.6   0.2   128   165   139   175   129   198 0.49 NODE_5_length_100374_cov_29.640417_18 # 15992 # 16816 # 1 # ID=5_18;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
NODE_21_length_44893_cov_38.330769:31055-31441|+ -            129 23850                -            279      0.67    6.6   8.7   1   1    0.0024      0.93    6.1   8.7   115   186    14    88     2    97 0.47 NODE_21_length_44893_cov_38.330769_30 # 31055 # 31441 # 1 # ID=21_30;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.535
NODE_3_length_106498_cov_28.709525:67900-68547|- -            216 23850                -            279         3    4.4  14.0   1   2    0.0053       2.1    5.0  11.4   114   181     6    73     4   137 0.73 NODE_3_length_106498_cov_28.709525_64 # 67900 # 68547 # -1 # ID=3_64;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
NODE_3_length_106498_cov_28.709525:67900-68547|- -            216 23850                -            279         3    4.4  14.0   2   2      0.25        95   -0.5   0.6   143   174   118   149   104   173 0.52 NODE_3_length_106498_cov_28.709525_64 # 67900 # 68547 # -1 # ID=3_64;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.387
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23850at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/23850at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/23850at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:18:04 2026
# [ok]
