#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:801142-801786|+   -            215 28730                -            213  6.3e-116  382.9   0.1   1   1  2.3e-118  7.1e-116  382.7   0.1     1   212     1   212     1   213 0.99 contig_2_747 # 801142 # 801786 # 1 # ID=5_747;partial=00;start_type=GTG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.420
contig_2:528636-529343|+   -            236 28730                -            213   0.00069   16.8   0.2   1   2     0.039        12    2.9   0.0     6    34     2    30     1    37 0.82 contig_2_496 # 528636 # 529343 # 1 # ID=5_496;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2:528636-529343|+   -            236 28730                -            213   0.00069   16.8   0.2   2   2   6.6e-05      0.02   12.0   0.0   127   175   120   169   106   204 0.80 contig_2_496 # 528636 # 529343 # 1 # ID=5_496;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2:361622-362275|+   -            218 28730                -            213    0.0016   15.6   0.4   1   2     0.072        22    2.0   0.0     6    34     2    30     1    37 0.81 contig_2_335 # 361622 # 362275 # 1 # ID=5_335;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_2:361622-362275|+   -            218 28730                -            213    0.0016   15.6   0.4   2   2   8.6e-05     0.026   11.6   0.2   123   189   116   184   105   212 0.75 contig_2_335 # 361622 # 362275 # 1 # ID=5_335;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.370
contig_2:955787-957424|+   -            546 28730                -            213    0.0028   14.8   0.1   1   3       2.8   8.7e+02   -3.2   0.0    58    87   184   214   175   218 0.67 contig_2_920 # 955787 # 957424 # 1 # ID=5_920;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
contig_2:955787-957424|+   -            546 28730                -            213    0.0028   14.8   0.1   2   3     0.001      0.31    8.1   0.0     3    23   329   349   327   369 0.85 contig_2_920 # 955787 # 957424 # 1 # ID=5_920;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
contig_2:955787-957424|+   -            546 28730                -            213    0.0028   14.8   0.1   3   3     0.021       6.4    3.8   0.0    53    76   461   484   427   499 0.89 contig_2_920 # 955787 # 957424 # 1 # ID=5_920;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
contig_1:148006-149790|-   -            595 28730                -            213    0.0034   14.5   0.2   1   2    0.0031      0.96    6.5   0.0     6    25   384   403   381   413 0.83 contig_1_132 # 148006 # 149790 # -1 # ID=1_132;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
contig_1:148006-149790|-   -            595 28730                -            213    0.0034   14.5   0.2   2   2    0.0077       2.3    5.2   0.0    53    73   513   533   503   561 0.88 contig_1_132 # 148006 # 149790 # -1 # ID=1_132;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
contig_2:689504-690205|+   -            234 28730                -            213    0.0037   14.4   0.3   1   2     0.048        15    2.6   0.0     6    33     4    31     2    39 0.82 contig_2_643 # 689504 # 690205 # 1 # ID=5_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_2:689504-690205|+   -            234 28730                -            213    0.0037   14.4   0.3   2   2   0.00028     0.086    9.9   0.1   127   163   122   157   105   210 0.82 contig_2_643 # 689504 # 690205 # 1 # ID=5_643;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_2:809939-810706|+   -            256 28730                -            213    0.0043   14.1   0.1   1   2   4.1e-05     0.012   12.7   0.1     2    24    33    55    32    78 0.85 contig_2_756 # 809939 # 810706 # 1 # ID=5_756;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_2:809939-810706|+   -            256 28730                -            213    0.0043   14.1   0.1   2   2       2.4   7.4e+02   -3.0   0.0    17    40   181   204   161   215 0.51 contig_2_756 # 809939 # 810706 # 1 # ID=5_756;partial=00;start_type=TTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.401
contig_1:877381-878151|+   -            257 28730                -            213    0.0089   13.1   0.0   1   1   4.5e-05     0.014   12.5   0.0     2    30    34    62    33   115 0.86 contig_1_833 # 877381 # 878151 # 1 # ID=1_833;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
contig_2:86703-87509|+     -            269 28730                -            213     0.013   12.6   0.0   1   1   6.9e-05     0.021   11.9   0.0     3    42    35    74    33   106 0.80 contig_2_75 # 86703 # 87509 # 1 # ID=5_75;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
contig_2:1102682-1104442|+ -            587 28730                -            213     0.014   12.5   0.4   1   2    0.0011      0.35    7.9   0.1     3    25   371   393   369   409 0.85 contig_2_1052 # 1102682 # 1104442 # 1 # ID=5_1052;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
contig_2:1102682-1104442|+ -            587 28730                -            213     0.014   12.5   0.4   2   2      0.06        18    2.3   0.0    52    76   502   526   492   539 0.88 contig_2_1052 # 1102682 # 1104442 # 1 # ID=5_1052;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/28730at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/28730at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:19:28 2026
# [ok]
