#                                                                                                             --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                         accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                                 ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_1652082_cov_46.167482:1625174-1626073|+ -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 NODE_1_length_1652082_cov_46.167482_1573 # 1625174 # 1626073 # 1 # ID=1_1573;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
NODE_2_length_840748_cov_42.698360:347190-347960|-    -            257 18171                -            288   0.00035   17.7   0.0   1   1   2.5e-06   0.00065   16.8   0.0   153   183    38    67     8    81 0.85 NODE_2_length_840748_cov_42.698360_333 # 347190 # 347960 # -1 # ID=2_333;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NODE_1_length_1652082_cov_46.167482:1289647-1290402|- -            252 18171                -            288   0.00042   17.5   0.2   1   2   5.7e-06    0.0015   15.7   0.0   142   182    17    58     5    66 0.81 NODE_1_length_1652082_cov_46.167482_1263 # 1289647 # 1290402 # -1 # ID=1_1263;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_1_length_1652082_cov_46.167482:1289647-1290402|- -            252 18171                -            288   0.00042   17.5   0.2   2   2      0.64   1.6e+02   -0.9   0.1   114   159   167   213   143   244 0.70 NODE_1_length_1652082_cov_46.167482_1263 # 1289647 # 1290402 # -1 # ID=1_1263;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NODE_1_length_1652082_cov_46.167482:970224-970970|-   -            249 18171                -            288    0.0017   15.4   0.2   1   2    0.0013      0.33    8.0   0.0   148   182    28    62    10    81 0.80 NODE_1_length_1652082_cov_46.167482_960 # 970224 # 970970 # -1 # ID=1_960;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:970224-970970|-   -            249 18171                -            288    0.0017   15.4   0.2   2   2    0.0061       1.6    5.7   0.0   113   189   169   244   138   247 0.75 NODE_1_length_1652082_cov_46.167482_960 # 970224 # 970970 # -1 # ID=1_960;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_1652082_cov_46.167482:1482126-1482866|+ -            247 18171                -            288    0.0026   14.9   0.1   1   2   0.00095      0.24    8.4   0.0   150   172    26    48     9    77 0.77 NODE_1_length_1652082_cov_46.167482_1436 # 1482126 # 1482866 # 1 # ID=1_1436;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_1_length_1652082_cov_46.167482:1482126-1482866|+ -            247 18171                -            288    0.0026   14.9   0.1   2   2     0.013       3.4    4.6   0.0   112   152   163   203   119   214 0.85 NODE_1_length_1652082_cov_46.167482_1436 # 1482126 # 1482866 # 1 # ID=1_1436;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NODE_1_length_1652082_cov_46.167482:869105-869743|-   -            213 18171                -            288    0.0031   14.6   0.0   1   1   1.9e-05     0.005   13.9   0.0   136   172    13    51     6    91 0.79 NODE_1_length_1652082_cov_46.167482_869 # 869105 # 869743 # -1 # ID=1_869;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 18171                -            288    0.0041   14.2   1.5   1   2   0.00014     0.037   11.1   0.1   147   182    29    64     1    87 0.75 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_1_length_1652082_cov_46.167482:1357067-1358629|- -            521 18171                -            288    0.0041   14.2   1.5   2   2     0.073        19    2.2   0.2   104   227   135   256   129   287 0.75 NODE_1_length_1652082_cov_46.167482_1338 # 1357067 # 1358629 # -1 # ID=1_1338;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
