#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_4_length_101830_cov_39.048283:67476-69038|+ -            521 18543                -            520         0 1065.2  18.8   1   1         0         0 1065.1  18.8     1   518     1   518     1   520 0.99 NODE_4_length_101830_cov_39.048283_60 # 67476 # 69038 # 1 # ID=4_60;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NODE_5_length_100374_cov_29.640417:46730-48256|+ -            509 18543                -            520  4.7e-106  352.8   8.5   1   1  1.4e-107  5.4e-106  352.6   8.5     6   501     4   503     1   507 0.95 NODE_5_length_100374_cov_29.640417_46 # 46730 # 48256 # 1 # ID=5_46;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_34_length_25980_cov_30.418284:13055-13792|+ -            246 18543                -            520   6.7e-39  131.2   0.9   1   1     2e-40   7.9e-39  131.0   0.9     7   229     3   225     1   234 0.92 NODE_34_length_25980_cov_30.418284_7 # 13055 # 13792 # 1 # ID=34_7;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.394
NODE_10_length_83811_cov_29.795656:69247-69984|- -            246 18543                -            520   8.8e-39  130.8   1.1   1   1   2.6e-40     1e-38  130.6   1.1     9   222     6   218     1   226 0.92 NODE_10_length_83811_cov_29.795656_68 # 69247 # 69984 # -1 # ID=10_68;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
NODE_12_length_78125_cov_33.572102:20815-21858|- -            348 18543                -            520   1.3e-37  126.9   1.2   1   1   5.2e-39     2e-37  126.3   1.2     7   233     6   236     2   253 0.89 NODE_12_length_78125_cov_33.572102_20 # 20815 # 21858 # -1 # ID=12_20;partial=00;start_type=GTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.422
NODE_38_length_23628_cov_35.195393:4034-4774|-   -            247 18543                -            520   6.4e-36  121.4   1.2   1   1   1.9e-37   7.4e-36  121.2   1.2     5   219     3   216     1   227 0.90 NODE_38_length_23628_cov_35.195393_4 # 4034 # 4774 # -1 # ID=38_4;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NODE_7_length_86709_cov_33.100688:45769-46842|-  -            358 18543                -            520   6.7e-34  114.7   1.4   1   1   2.2e-35   8.6e-34  114.3   1.4     8   223     2   221     1   236 0.89 NODE_7_length_86709_cov_33.100688_44 # 45769 # 46842 # -1 # ID=7_44;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.383
NODE_11_length_80003_cov_31.743608:70343-71035|+ -            231 18543                -            520   8.2e-32  107.8   0.1   1   1   2.4e-33   9.6e-32  107.6   0.1     7   226     4   222     1   229 0.90 NODE_11_length_80003_cov_31.743608_70 # 70343 # 71035 # 1 # ID=11_70;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.397
NODE_47_length_17117_cov_34.327980:13017-14210|+ -            398 18543                -            520   1.6e-30  103.5   0.7   1   2   6.5e-32   2.6e-30  102.9   0.1    12   223    32   244    23   260 0.85 NODE_47_length_17117_cov_34.327980_12 # 13017 # 14210 # 1 # ID=47_12;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.414
NODE_47_length_17117_cov_34.327980:13017-14210|+ -            398 18543                -            520   1.6e-30  103.5   0.7   2   2       4.6   1.8e+02   -2.2   0.0   447   486   335   378   247   383 0.55 NODE_47_length_17117_cov_34.327980_12 # 13017 # 14210 # 1 # ID=47_12;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.414
NODE_26_length_34327_cov_44.144053:24668-25843|- -            392 18543                -            520   1.8e-30  103.4   3.1   1   2   4.6e-32   1.8e-30  103.4   3.1     8   264     2   260     1   285 0.84 NODE_26_length_34327_cov_44.144053_25 # 24668 # 25843 # -1 # ID=26_25;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.416
