#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:823992-825629|+   -            546 1507                 -            615         0 1028.2  18.0   1   1         0         0 1027.9  18.0    85   614    14   543     4   544 0.99 NZ_CP014529.1_815 # 823992 # 825629 # 1 # ID=1_815;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.401
NZ_CP014529.1:970887-972647|+   -            587 1507                 -            615  6.8e-214  709.2  12.1   1   1  1.9e-215  7.5e-214  709.0  12.1    27   614     2   585     1   586 0.99 NZ_CP014529.1_947 # 970887 # 972647 # 1 # ID=1_947;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
NZ_CP014529.1:2487601-2489385|+ -            595 1507                 -            615    3e-191  634.4  16.9   1   1  8.5e-193  3.3e-191  634.2  16.9    35   611    14   592     1   594 0.95 NZ_CP014529.1_2422 # 2487601 # 2489385 # 1 # ID=1_2422;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NZ_CP014529.1:2499279-2501048|- -            590 1507                 -            615  5.8e-174  577.3  16.2   1   1  1.6e-175  6.4e-174  577.1  16.2    30   610     5   586     1   589 0.96 NZ_CP014529.1_2429 # 2499279 # 2501048 # -1 # ID=1_2429;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:891653-893416|-   -            588 1507                 -            615  6.5e-170  563.9   6.8   1   1  1.9e-171  7.3e-170  563.8   6.8    30   612     8   586     1   587 0.95 NZ_CP014529.1_879 # 891653 # 893416 # -1 # ID=1_879;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
NZ_CP014529.1:1145657-1147441|+ -            595 1507                 -            615  2.5e-131  436.5  11.2   1   1  9.5e-133  3.7e-131  435.9  11.2    26   609    15   590     3   593 0.94 NZ_CP014529.1_1120 # 1145657 # 1147441 # 1 # ID=1_1120;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.390
NZ_CP014529.1:1143906-1145657|+ -            584 1507                 -            615  1.5e-115  384.3   4.1   1   1  4.8e-117  1.9e-115  384.0   4.1    46   612    19   575     2   578 0.91 NZ_CP014529.1_1119 # 1143906 # 1145657 # 1 # ID=1_1119;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.393
NZ_CP014529.1:893419-895134|-   -            572 1507                 -            615  4.4e-114  379.5  13.5   1   1  1.2e-115  4.8e-114  379.4  13.5    36   611     4   570     1   571 0.94 NZ_CP014529.1_880 # 893419 # 895134 # -1 # ID=1_880;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
NZ_CP014529.1:969160-970890|+   -            577 1507                 -            615  1.2e-113  378.1   6.2   1   1  3.5e-115  1.4e-113  377.9   6.2    39   613     7   573     1   575 0.93 NZ_CP014529.1_946 # 969160 # 970890 # 1 # ID=1_946;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NZ_CP014529.1:822014-823741|+   -            576 1507                 -            615  1.1e-111  371.6  18.8   1   1  3.2e-113  1.3e-111  371.4  18.8    53   613    12   572     2   574 0.94 NZ_CP014529.1_813 # 822014 # 823741 # 1 # ID=1_813;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.394
NZ_CP014529.1:2501051-2502763|- -            571 1507                 -            615   1.5e-99  331.6  15.9   1   1  4.3e-101   1.7e-99  331.4  15.9    35   609     3   565     1   570 0.90 NZ_CP014529.1_2430 # 2501051 # 2502763 # -1 # ID=1_2430;partial=00;start_type=ATG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.400
NZ_CP014529.1:2485865-2487586|+ -            574 1507                 -            615   1.3e-87  292.0   9.5   1   1   4.3e-89   1.7e-87  291.7   9.5    91   609    52   571     4   572 0.89 NZ_CP014529.1_2421 # 2485865 # 2487586 # 1 # ID=1_2421;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.400
NZ_CP014529.1:2444332-2446086|+ -            585 1507                 -            615   2.8e-86  287.7   6.2   1   1   8.4e-88   3.3e-86  287.5   6.2   101   607    77   583    31   584 0.91 NZ_CP014529.1_2391 # 2444332 # 2446086 # 1 # ID=1_2391;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.394
NZ_CP014529.1:2677330-2679072|- -            581 1507                 -            615   1.9e-84  281.6   5.9   1   1   6.9e-86   2.7e-84  281.1   5.9   125   606    86   562    62   570 0.88 NZ_CP014529.1_2585 # 2677330 # 2679072 # -1 # ID=1_2585;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.336
NZ_CP014529.1:2679056-2680810|- -            585 1507                 -            615   8.6e-68  226.6  14.3   1   1     4e-69   1.6e-67  225.7  14.3   108   606    69   567     1   575 0.82 NZ_CP014529.1_2586 # 2679056 # 2680810 # -1 # ID=1_2586;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.318
NZ_CP014529.1:1488005-1488742|- -            246 1507                 -            615   7.3e-31  104.6   0.0   1   1   2.5e-32   9.8e-31  104.2   0.0   377   597     8   228     2   235 0.87 NZ_CP014529.1_1464 # 1488005 # 1488742 # -1 # ID=1_1464;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.393
