#                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_34:90518-91039|-   -            174 20286                -            642     1e-44  151.2   1.7   1   1   6.1e-47   3.4e-44  149.5   1.7   239   412     1   171     1   173 0.90 contig_34_129 # 90518 # 91039 # -1 # ID=27_129;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.425
contig_34:91383-91742|-   -            120 20286                -            642   1.5e-41  140.7   0.2   1   1   3.1e-44   1.7e-41  140.5   0.2     1   108     1   106     1   114 0.95 contig_34_130 # 91383 # 91742 # -1 # ID=27_130;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.411
contig_29:87116-87328|+   -             71 20286                -            642   2.3e-16   57.5   0.1   1   1   4.5e-19   2.5e-16   57.4   0.1   458   515     6    63     2    69 0.93 contig_29_112 # 87116 # 87328 # 1 # ID=22_112;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.404
contig_32:41618-41830|-   -             71 20286                -            642     5e-07   26.7   0.1   1   1   9.7e-10   5.4e-07   26.6   0.1   193   238     2    47     1    55 0.72 contig_32_59 # 41618 # 41830 # -1 # ID=26_59;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.357
contig_48:116521-116814|- -             98 20286                -            642   7.1e-07   26.2   0.0   1   1   1.3e-09   7.1e-07   26.2   0.0   159   220     3    68     1    87 0.73 contig_48_148 # 116521 # 116814 # -1 # ID=42_148;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.432
contig_32:42654-42884|-   -             77 20286                -            642   8.7e-06   22.6   0.0   1   1   1.6e-08   8.8e-06   22.6   0.0   442   480    21    58     4    70 0.60 contig_32_61 # 42654 # 42884 # -1 # ID=26_61;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_2:10796-11179|-    -            128 20286                -            642   1.1e-05   22.3   0.1   1   1   2.3e-08   1.3e-05   22.0   0.1    32    61    69    98    51   105 0.87 contig_2_16 # 10796 # 11179 # -1 # ID=12_16;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.471
contig_5:53905-54108|+    -             68 20286                -            642    0.0035   14.0   0.0   1   1   6.7e-06    0.0037   13.9   0.0   164   191     8    35     3    47 0.92 contig_5_70 # 53905 # 54108 # 1 # ID=44_70;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.426
contig_34:96058-96300|+   -             81 20286                -            642     0.018   11.6   0.0   1   1   3.3e-05     0.018   11.6   0.0   355   382    27    54     2    65 0.62 contig_34_134 # 96058 # 96300 # 1 # ID=27_134;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.374
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/20286at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_nanopore_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_nanopore_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/20286at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/20286at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_nanopore_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:19:46 2026
# [ok]
