# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcaceae_odb12 (Creation date: 2025-05-14, number of genomes: 19, number of BUSCOs: 714)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
175at81852	Complete	NODE_8_length_86165_cov_28.227035	8453	5808	-	1669.6	878
444at81852	Complete	NODE_42_length_20562_cov_34.293461	14851	12557	-	1396.8	751
599at81852	Complete	NODE_1_length_114283_cov_31.103635	24640	22631	-	1419.4	669
705at81852	Complete	NODE_63_length_11496_cov_31.110392	5846	7786	+	1363.6	643
814at81852	Complete	NODE_8_length_86165_cov_28.227035	72148	73953	+	1068.7	601
837at81852	Complete	NODE_22_length_43520_cov_30.536294	5985	8342	+	1372.9	770
1249at81852	Complete	NODE_11_length_80003_cov_31.743608	29672	31558	+	1079.4	621
1360at81852	Duplicated	NODE_4_length_101830_cov_39.048283	60440	58875	-	1090.2	518
1360at81852	Duplicated	NODE_49_length_16401_cov_37.911704	2	1534	+	1084.3	507
1399at81852	Complete	NODE_67_length_9545_cov_35.344784	3989	5671	+	1002.8	557
1424at81852	Complete	NODE_23_length_43480_cov_29.402948	213	1919	+	969.3	562
1614at81852	Complete	NODE_41_length_20569_cov_30.148630	15306	17042	+	715.1	554
1719at81852	Complete	NODE_34_length_25980_cov_30.418284	188	3715	+	1557.7	1148
1785at81852	Complete	NODE_23_length_43480_cov_29.402948	20643	18973	-	1029.0	555
2159at81852	Complete	NODE_4_length_101830_cov_39.048283	34825	36117	+	938.6	429
2313at81852	Complete	NODE_29_length_31200_cov_30.116648	13022	14353	+	763.5	436
2597at81852	Complete	NODE_27_length_32680_cov_27.796444	19752	22541	+	1170.9	859
2754at81852	Complete	NODE_4_length_101830_cov_39.048283	71219	72385	+	776.8	388
2768at81852	Complete	NODE_2_length_109676_cov_33.984218	101914	100619	-	901.1	428
3237at81852	Complete	NODE_37_length_23788_cov_33.341002	18702	19922	+	468.1	328
3315at81852	Complete	NODE_23_length_43480_cov_29.402948	29040	27691	-	845.8	445
3330at81852	Complete	NODE_14_length_56501_cov_33.217624	22052	20760	-	822.7	427
3398at81852	Complete	NODE_1_length_114283_cov_31.103635	15385	16494	+	775.6	367
3625at81852	Complete	NODE_14_length_56501_cov_33.217624	12688	9560	-	826.2	903
3809at81852	Complete	NODE_46_length_18735_cov_33.806049	14001	12685	-	441.8	409
