#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:862624-865422|+   -            933 19235                -            930         0 2031.7   3.8   1   1         0         0 2031.5   3.8     1   930     1   930     1   930 1.00 contig_2_810 # 862624 # 865422 # 1 # ID=5_810;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
contig_2:1092407-1095052|+ -            882 19235                -            930   2.2e-85  284.6   7.5   1   3   3.2e-29   1.9e-26   89.6   0.1    24   248    17   237     5   250 0.90 contig_2_1044 # 1092407 # 1095052 # 1 # ID=5_1044;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
contig_2:1092407-1095052|+ -            882 19235                -            930   2.2e-85  284.6   7.5   2   3   1.4e-23   8.5e-21   70.9   0.7   299   475   252   432   247   437 0.91 contig_2_1044 # 1092407 # 1095052 # 1 # ID=5_1044;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
contig_2:1092407-1095052|+ -            882 19235                -            930   2.2e-85  284.6   7.5   3   3   3.1e-41   1.9e-38  129.3   0.2   493   790   420   719   420   776 0.83 contig_2_1044 # 1092407 # 1095052 # 1 # ID=5_1044;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
contig_1:143310-145724|+   -            805 19235                -            930   1.5e-33  113.1  17.2   1   6   9.5e-18   5.8e-15   51.6   0.8    19   197     4   169     1   177 0.89 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 19235                -            930   1.5e-33  113.1  17.2   2   6     0.033        20    0.2   0.1   402   430   182   210   172   214 0.89 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 19235                -            930   1.5e-33  113.1  17.2   3   6   1.8e-07   0.00011   17.6   0.1   221   370   235   387   229   406 0.82 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 19235                -            930   1.5e-33  113.1  17.2   4   6   2.4e-06    0.0014   13.9   0.4   447   476   413   442   387   446 0.79 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 19235                -            930   1.5e-33  113.1  17.2   5   6   3.3e-10     2e-07   26.6   0.3   570   621   553   604   503   688 0.66 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_1:143310-145724|+   -            805 19235                -            930   1.5e-33  113.1  17.2   6   6   1.9e-05     0.011   10.9   0.1   699   790   652   739   627   772 0.78 contig_1_130 # 143310 # 145724 # 1 # ID=1_130;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
contig_2:1012663-1014672|+ -            670 19235                -            930   1.4e-16   56.9   0.4   1   2   3.7e-12   2.2e-09   33.1   0.4    47   202     4   147     2   157 0.79 contig_2_974 # 1012663 # 1014672 # 1 # ID=5_974;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
contig_2:1012663-1014672|+ -            670 19235                -            930   1.4e-16   56.9   0.4   2   2   2.2e-08   1.4e-05   20.6   0.0   545   782   263   499   223   517 0.68 contig_2_974 # 1012663 # 1014672 # 1 # ID=5_974;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
contig_1:50764-52176|+     -            471 19235                -            930   1.9e-07   26.7   0.0   1   2      0.03        18    0.3   0.0    57    95    30    68     6    96 0.82 contig_1_57 # 50764 # 52176 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
contig_1:50764-52176|+     -            471 19235                -            930   1.9e-07   26.7   0.0   2   2   2.1e-09   1.3e-06   24.0   0.0   565   653   241   330   208   360 0.80 contig_1_57 # 50764 # 52176 # 1 # ID=1_57;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19235at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19235at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19235at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/flye_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Tue Apr 28 22:14:05 2026
# [ok]
