#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_3_length_193524_cov_75.578528:142494-142838|+ -            115 14868                -            115   7.4e-52  171.9   0.4   1   1     2e-54   8.1e-52  171.8   0.4     1   112     1   112     1   114 0.98 NODE_3_length_193524_cov_75.578528_166 # 142494 # 142838 # 1 # ID=3_166;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_4_length_185058_cov_63.073482:77028-77630|-   -            201 14868                -            115   3.7e-09   34.3   7.3   1   3   4.1e-11   1.6e-08   32.3   0.1     4    62     6    64     3    90 0.79 NODE_4_length_185058_cov_63.073482_67 # 77028 # 77630 # -1 # ID=4_67;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_4_length_185058_cov_63.073482:77028-77630|-   -            201 14868                -            115   3.7e-09   34.3   7.3   2   3      0.04        16    3.3   0.2    25    70    93   138    77   149 0.60 NODE_4_length_185058_cov_63.073482_67 # 77028 # 77630 # -1 # ID=4_67;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_4_length_185058_cov_63.073482:77028-77630|-   -            201 14868                -            115   3.7e-09   34.3   7.3   3   3      0.11        45    1.8   0.8    45    69   167   191   136   199 0.49 NODE_4_length_185058_cov_63.073482_67 # 77028 # 77630 # -1 # ID=4_67;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.375
NODE_27_length_31036_cov_54.470116:24315-24977|-   -            221 14868                -            115    0.0044   14.7   4.9   1   2   0.00038      0.15    9.8   0.2     4    76    25    99    24   109 0.82 NODE_27_length_31036_cov_54.470116_24 # 24315 # 24977 # -1 # ID=27_24;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_27_length_31036_cov_54.470116:24315-24977|-   -            221 14868                -            115    0.0044   14.7   4.9   2   2    0.0031       1.2    6.9   0.7    38    85   143   189   115   213 0.83 NODE_27_length_31036_cov_54.470116_24 # 24315 # 24977 # -1 # ID=27_24;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_1_length_304474_cov_63.252055:55142-55588|+   -            149 14868                -            115      0.13   10.0   3.7   1   2      0.47   1.9e+02   -0.2   0.3    43    43    34    34     6    66 0.51 NODE_1_length_304474_cov_63.252055_47 # 55142 # 55588 # 1 # ID=1_47;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_1_length_304474_cov_63.252055:55142-55588|+   -            149 14868                -            115      0.13   10.0   3.7   2   2   0.00017     0.067   10.9   0.3    42    83    82   123    72   124 0.87 NODE_1_length_304474_cov_63.252055_47 # 55142 # 55588 # 1 # ID=1_47;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_32_length_27950_cov_55.508185:8731-9627|+     -            299 14868                -            115      0.43    8.3  12.4   1   2     4e-05     0.016   13.0   3.1    14    78    40   104    35   164 0.86 NODE_32_length_27950_cov_55.508185_10 # 8731 # 9627 # 1 # ID=32_10;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_32_length_27950_cov_55.508185:8731-9627|+     -            299 14868                -            115      0.43    8.3  12.4   2   2      0.45   1.8e+02   -0.1   1.9    37    69   207   239   196   253 0.77 NODE_32_length_27950_cov_55.508185_10 # 8731 # 9627 # 1 # ID=32_10;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_15_length_64299_cov_124.206128:45891-46757|+  -            289 14868                -            115      0.46    8.2   6.5   1   1     0.002      0.79    7.5   6.5    38   110    99   170    72   174 0.88 NODE_15_length_64299_cov_124.206128_50 # 45891 # 46757 # 1 # ID=15_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.304
NODE_6_length_133129_cov_71.626923:2820-4541|-     -            574 14868                -            115      0.53    8.0  30.4   1   6    0.0016      0.64    7.8   4.0    27   110   106   188   102   193 0.88 NODE_6_length_133129_cov_71.626923_3 # 2820 # 4541 # -1 # ID=6_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_6_length_133129_cov_71.626923:2820-4541|-     -            574 14868                -            115      0.53    8.0  30.4   2   6      0.03        12    3.7   0.5    38   112   203   278   198   282 0.84 NODE_6_length_133129_cov_71.626923_3 # 2820 # 4541 # -1 # ID=6_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_6_length_133129_cov_71.626923:2820-4541|-     -            574 14868                -            115      0.53    8.0  30.4   3   6      0.62   2.4e+02   -0.5   0.2    40    72   289   324   277   334 0.42 NODE_6_length_133129_cov_71.626923_3 # 2820 # 4541 # -1 # ID=6_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_6_length_133129_cov_71.626923:2820-4541|-     -            574 14868                -            115      0.53    8.0  30.4   4   6      0.22        85    0.9   0.9    30    96   314   375   306   383 0.50 NODE_6_length_133129_cov_71.626923_3 # 2820 # 4541 # -1 # ID=6_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_6_length_133129_cov_71.626923:2820-4541|-     -            574 14868                -            115      0.53    8.0  30.4   5   6   0.00031      0.12   10.1   0.9    30   111   401   479   391   482 0.89 NODE_6_length_133129_cov_71.626923_3 # 2820 # 4541 # -1 # ID=6_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_6_length_133129_cov_71.626923:2820-4541|-     -            574 14868                -            115      0.53    8.0  30.4   6   6      0.29   1.1e+02    0.5   0.0    45    72   505   532   488   569 0.52 NODE_6_length_133129_cov_71.626923_3 # 2820 # 4541 # -1 # ID=6_3;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_23_length_39921_cov_95.495462:31966-32823|-   -            286 14868                -            115      0.69    7.7  14.4   1   3    0.0045       1.8    6.3   3.8    34    93    82   137    76   151 0.74 NODE_23_length_39921_cov_95.495462_28 # 31966 # 32823 # -1 # ID=23_28;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_23_length_39921_cov_95.495462:31966-32823|-   -            286 14868                -            115      0.69    7.7  14.4   2   3    0.0067       2.6    5.8   1.4    29    71   141   184   130   196 0.65 NODE_23_length_39921_cov_95.495462_28 # 31966 # 32823 # -1 # ID=23_28;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_23_length_39921_cov_95.495462:31966-32823|-   -            286 14868                -            115      0.69    7.7  14.4   3   3      0.11        45    1.8   0.2    34    68   189   223   185   263 0.79 NODE_23_length_39921_cov_95.495462_28 # 31966 # 32823 # -1 # ID=23_28;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/14868at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/14868at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/14868at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_isolate_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:42:16 2026
# [ok]
