ID or #		Start	End	Type	Contig
==================================================
NZ_CP014529.1:1..2765010		1	2765010	partial	NODE_1_length_1652082_cov_46.167482:1406312-954288,NODE_1_length_1652082_cov_46.167482:954176-465960,NODE_1_length_1652082_cov_46.167482:460926-165064,NODE_1_length_1652082_cov_46.167482:163638-1,NODE_9_length_5232_cov_70.113772:1-5232,NODE_2_length_840748_cov_42.698360:1-840748,NODE_11_length_519_cov_37.771552:519-1,NODE_3_length_245057_cov_46.274867:1-215377,NODE_3_length_245057_cov_46.274867:215478-245057,NODE_1_length_1652082_cov_46.167482:1652082-1510250,NODE_1_length_1652082_cov_46.167482:1510249-1406313
gene-EfmE745_RS00005		1	1335	complete	NODE_1_length_1652082_cov_46.167482:1406312-1404978
gene-EfmE745_RS00010		1533	2663	complete	NODE_1_length_1652082_cov_46.167482:1404780-1403650
gene-EfmE745_RS00015		2892	3134	complete	NODE_1_length_1652082_cov_46.167482:1403421-1403179
gene-EfmE745_RS00020		3121	4245	complete	NODE_1_length_1652082_cov_46.167482:1403192-1402068
gene-EfmE745_RS00025		4242	6188	complete	NODE_1_length_1652082_cov_46.167482:1402071-1400125
gene-EfmE745_RS00030		6208	8679	complete	NODE_1_length_1652082_cov_46.167482:1400105-1397634
gene-EfmE745_RS00035		8915	9214	complete	NODE_1_length_1652082_cov_46.167482:1397398-1397099
gene-EfmE745_RS00040		9264	9776	complete	NODE_1_length_1652082_cov_46.167482:1397049-1396537
gene-EfmE745_RS00045		9802	10038	complete	NODE_1_length_1652082_cov_46.167482:1396511-1396275
gene-EfmE745_RS00050		10181	12154	complete	NODE_1_length_1652082_cov_46.167482:1396132-1394159
gene-EfmE745_RS00055		12160	12612	complete	NODE_1_length_1652082_cov_46.167482:1394153-1393701
gene-EfmE745_RS00060		12886	14253	complete	NODE_1_length_1652082_cov_46.167482:1393427-1392060
gene-EfmE745_RS00065		15033	16325	complete	NODE_1_length_1652082_cov_46.167482:1391280-1389988
gene-EfmE745_RS00070		17112	17975	complete	NODE_1_length_1652082_cov_46.167482:1389201-1388338
gene-EfmE745_RS00075		18104	19726	complete	NODE_1_length_1652082_cov_46.167482:1388209-1386587
gene-EfmE745_RS00080		19975	20496	complete	NODE_1_length_1652082_cov_46.167482:1386338-1385817
gene-EfmE745_RS00085		20682	22412	complete	NODE_1_length_1652082_cov_46.167482:1385631-1383901
gene-EfmE745_RS00090		22577	23395	complete	NODE_1_length_1652082_cov_46.167482:1383736-1382918
gene-EfmE745_RS00095		23498	23695	complete	NODE_1_length_1652082_cov_46.167482:1382815-1382618
gene-EfmE745_RS00100		23864	24442	complete	NODE_1_length_1652082_cov_46.167482:1382449-1381871
gene-EfmE745_RS16835		24537	24674	complete	NODE_1_length_1652082_cov_46.167482:1381776-1381639
cds-WP_002294338.1		24537	24674	complete	NODE_1_length_1652082_cov_46.167482:1381776-1381639
gene-EfmE745_RS00110		25487	25990	complete	NODE_1_length_1652082_cov_46.167482:1380826-1380323
gene-EfmE745_RS00115		26349	27374	complete	NODE_1_length_1652082_cov_46.167482:1379964-1378939
gene-EfmE745_RS00120		27697	28575	complete	NODE_1_length_1652082_cov_46.167482:1378616-1377738
gene-EfmE745_RS16710		29051	29167	complete	NODE_1_length_1652082_cov_46.167482:1377262-1377146
gene-EfmE745_RS00125		30095	30433	complete	NODE_1_length_1652082_cov_46.167482:1376218-1375880
gene-EfmE745_RS00130		30527	30757	complete	NODE_1_length_1652082_cov_46.167482:1375786-1375556
gene-EfmE745_RS00135		31157	31528	complete	NODE_1_length_1652082_cov_46.167482:1375156-1374785
gene-EfmE745_RS00140		31802	32494	complete	NODE_1_length_1652082_cov_46.167482:1374511-1373819
gene-EfmE745_RS00145		32497	33282	complete	NODE_1_length_1652082_cov_46.167482:1373816-1373031
gene-EfmE745_RS00150		33519	34919	complete	NODE_1_length_1652082_cov_46.167482:1372794-1371394
gene-EfmE745_RS00155		34944	35261	complete	NODE_1_length_1652082_cov_46.167482:1371369-1371052
gene-EfmE745_RS00160		35274	36947	complete	NODE_1_length_1652082_cov_46.167482:1371039-1369366
gene-EfmE745_RS00165		36961	38592	complete	NODE_1_length_1652082_cov_46.167482:1369352-1367721
gene-EfmE745_RS00170		39083	40648	complete	NODE_1_length_1652082_cov_46.167482:1367230-1365665
gene-EfmE745_RS00175		40707	41630	complete	NODE_1_length_1652082_cov_46.167482:1365606-1364683
gene-EfmE745_RS00180		41826	42431	complete	NODE_1_length_1652082_cov_46.167482:1364487-1363882
gene-EfmE745_RS00185		42739	43755	complete	NODE_1_length_1652082_cov_46.167482:1363574-1362558
gene-EfmE745_RS00190		43896	45197	complete	NODE_1_length_1652082_cov_46.167482:1362417-1361116
gene-EfmE745_RS00195		45243	45905	complete	NODE_1_length_1652082_cov_46.167482:1361070-1360408
gene-EfmE745_RS00200		45926	46324	complete	NODE_1_length_1652082_cov_46.167482:1360387-1359989
gene-EfmE745_RS00205		46390	47472	complete	NODE_1_length_1652082_cov_46.167482:1359923-1358841
gene-EfmE745_RS00210		47684	49246	complete	NODE_1_length_1652082_cov_46.167482:1358629-1357067
gene-EfmE745_RS00215		49239	50372	complete	NODE_1_length_1652082_cov_46.167482:1357074-1355941
gene-EfmE745_RS00220		50372	51328	complete	NODE_1_length_1652082_cov_46.167482:1355941-1354985
gene-EfmE745_RS00225		51427	52593	complete	NODE_1_length_1652082_cov_46.167482:1354886-1353720
gene-EfmE745_RS00230		52617	53435	complete	NODE_1_length_1652082_cov_46.167482:1353696-1352878
gene-EfmE745_RS00235		53452	54159	complete	NODE_1_length_1652082_cov_46.167482:1352861-1352154
gene-EfmE745_RS00240		54457	55143	complete	NODE_1_length_1652082_cov_46.167482:1351856-1351170
gene-EfmE745_RS00245		55315	55896	complete	NODE_1_length_1652082_cov_46.167482:1350998-1350417
