All statistics are based on contigs of size >= 500 bp, unless otherwise noted (e.g., "# contigs (>= 0 bp)" and "Total length (>= 0 bp)" include all contigs).

Assembly                     efaecium_e745_nanopore.contigs
# misassemblies              2                             
  # contig misassemblies     2                             
    # c. relocations         2                             
    # c. translocations      0                             
    # c. inversions          0                             
  # scaffold misassemblies   0                             
    # s. relocations         0                             
    # s. translocations      0                             
    # s. inversions          0                             
# misassembled contigs       2                             
Misassembled contigs length  29384                         
# local misassemblies        0                             
# scaffold gap ext. mis.     0                             
# scaffold gap loc. mis.     0                             
# unaligned mis. contigs     0                             
# mismatches                 950                           
# indels                     8291                          
    # indels (<= 5 bp)       8265                          
    # indels (> 5 bp)        26                            
Indels length                12475                         
