#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:1852325-1856047|- -           1241 21129                -           1232         0 2057.0  47.2   1   1         0         0 2056.8  47.2     2  1230     1  1239     1  1240 0.99 NZ_CP014529.1_1812 # 1852325 # 1856047 # -1 # ID=1_1812;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.381
NZ_CP014529.1:1532149-1534383|+ -            745 21129                -           1232   6.2e-48  160.6  19.0   1   5   1.7e-14   1.8e-11   39.8   0.0    17    81    14    79     8    85 0.86 NZ_CP014529.1_1501 # 1532149 # 1534383 # 1 # ID=1_1501;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
NZ_CP014529.1:1532149-1534383|+ -            745 21129                -           1232   6.2e-48  160.6  19.0   2   5   0.00041      0.43    5.4   0.1   109   154    88   132    84   142 0.89 NZ_CP014529.1_1501 # 1532149 # 1534383 # 1 # ID=1_1501;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
NZ_CP014529.1:1532149-1534383|+ -            745 21129                -           1232   6.2e-48  160.6  19.0   3   5   1.2e-21   1.3e-18   63.5   2.3   351   491   170   300   150   309 0.87 NZ_CP014529.1_1501 # 1532149 # 1534383 # 1 # ID=1_1501;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
NZ_CP014529.1:1532149-1534383|+ -            745 21129                -           1232   6.2e-48  160.6  19.0   4   5   7.6e-19   7.8e-16   54.2   0.7   552   803   321   584   298   589 0.81 NZ_CP014529.1_1501 # 1532149 # 1534383 # 1 # ID=1_1501;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
NZ_CP014529.1:1532149-1534383|+ -            745 21129                -           1232   6.2e-48  160.6  19.0   5   5   0.00016      0.17    6.8   0.1   852   878   599   625   588   637 0.85 NZ_CP014529.1_1501 # 1532149 # 1534383 # 1 # ID=1_1501;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.413
NZ_CP014529.1:398529-400715|+   -            729 21129                -           1232   5.8e-27   91.1  27.0   1   4     4e-13   4.1e-10   35.3   0.2     7    82    68   145    62   158 0.84 NZ_CP014529.1_392 # 398529 # 400715 # 1 # ID=1_392;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
NZ_CP014529.1:398529-400715|+   -            729 21129                -           1232   5.8e-27   91.1  27.0   2   4   1.6e-20   1.7e-17   59.8   4.1   328   488   224   378   206   405 0.84 NZ_CP014529.1_392 # 398529 # 400715 # 1 # ID=1_392;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
NZ_CP014529.1:398529-400715|+   -            729 21129                -           1232   5.8e-27   91.1  27.0   3   4      0.12   1.3e+02   -2.8   4.7   216   312   493   595   472   624 0.55 NZ_CP014529.1_392 # 398529 # 400715 # 1 # ID=1_392;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
NZ_CP014529.1:398529-400715|+   -            729 21129                -           1232   5.8e-27   91.1  27.0   4   4   7.5e-05     0.078    7.9   0.2   842   875   669   701   608   720 0.83 NZ_CP014529.1_392 # 398529 # 400715 # 1 # ID=1_392;partial=00;start_type=TTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.369
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21129at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21129at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21129at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:22:35 2026
# [ok]
