#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:52164-52691|-     -            176 18111                -            174   3.1e-98  324.1   2.4   1   1  6.5e-101   3.4e-98  324.0   2.4     1   174     1   174     1   174 0.99 tig00000001_40 # 52164 # 52691 # -1 # ID=1_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001:1580374-1581138|+ -            255 18111                -            174   1.4e-08   32.2   0.0   1   2    0.0037       1.9    5.7   0.0    27    77     3    51     1    81 0.78 tig00000001_1515 # 1580374 # 1581138 # 1 # ID=1_1515;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:1580374-1581138|+ -            255 18111                -            174   1.4e-08   32.2   0.0   2   2   6.4e-09   3.3e-06   24.5   0.1    92   136   181   225   177   230 0.94 tig00000001_1515 # 1580374 # 1581138 # 1 # ID=1_1515;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
tig00000001:822612-823307|+   -            232 18111                -            174   4.8e-05   20.7   0.0   1   2      0.61   3.2e+02   -1.5   0.1    27    42     3    18     1    25 0.82 tig00000001_770 # 822612 # 823307 # 1 # ID=1_770;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
tig00000001:822612-823307|+   -            232 18111                -            174   4.8e-05   20.7   0.0   2   2   2.9e-07   0.00015   19.1   0.0    61   134   118   197    99   203 0.79 tig00000001_770 # 822612 # 823307 # 1 # ID=1_770;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
tig00000001:247632-248339|+   -            236 18111                -            174   0.00074   16.8   0.0   1   2      0.87   4.5e+02   -2.0   0.0    27    44     2    19     1    31 0.81 tig00000001_266 # 247632 # 248339 # 1 # ID=1_266;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
tig00000001:247632-248339|+   -            236 18111                -            174   0.00074   16.8   0.0   2   2   5.7e-06     0.003   14.9   0.0    48   132   104   199    96   205 0.80 tig00000001_266 # 247632 # 248339 # 1 # ID=1_266;partial=00;start_type=TTG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.390
tig00000001:1827416-1828111|+ -            232 18111                -            174    0.0028   14.9   0.0   1   3     0.021        11    3.3   0.0    27    40     2    15     1    36 0.91 tig00000001_1752 # 1827416 # 1828111 # 1 # ID=1_1752;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001:1827416-1828111|+ -            232 18111                -            174    0.0028   14.9   0.0   2   3       1.3   6.7e+02   -2.6   0.0    75   106    60    91    42   103 0.68 tig00000001_1752 # 1827416 # 1828111 # 1 # ID=1_1752;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001:1827416-1828111|+ -            232 18111                -            174    0.0028   14.9   0.0   3   3   0.00032      0.17    9.1   0.0   102   139   159   196   140   223 0.83 tig00000001_1752 # 1827416 # 1828111 # 1 # ID=1_1752;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.302
tig00000001:2285954-2286667|+ -            238 18111                -            174     0.023   12.0   0.0   1   1   0.00011      0.06   10.6   0.0    54   138    98   190    85   199 0.76 tig00000001_2213 # 2285954 # 2286667 # 1 # ID=1_2213;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.346
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18111at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18111at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:33:48 2026
# [ok]
