#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:59606-60490|+     -            295 23850                -            279   4.9e-99  328.5   1.1   1   1  1.3e-101   5.6e-99  328.3   1.1     2   278     4   292     3   293 0.89 contig_1_pilon_67 # 59606 # 60490 # 1 # ID=1_67;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.424
contig_2_pilon:755749-756291|+   -            181 23850                -            279   2.3e-05   21.2   1.1   1   1   1.1e-07   4.6e-05   20.2   1.1     3    39     2    38     1    39 0.96 contig_2_pilon_705 # 755749 # 756291 # 1 # ID=5_705;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.366
contig_2_pilon:564584-565480|+   -            299 23850                -            279   0.00014   18.6  17.8   1   3   2.4e-06     0.001   15.8   4.0    86   170    10    92     3   115 0.70 contig_2_pilon_527 # 564584 # 565480 # 1 # ID=5_527;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_2_pilon:564584-565480|+   -            299 23850                -            279   0.00014   18.6  17.8   2   3      0.24   1.1e+02   -0.6   0.0    51    77   101   127    94   149 0.81 contig_2_pilon_527 # 564584 # 565480 # 1 # ID=5_527;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_2_pilon:564584-565480|+   -            299 23850                -            279   0.00014   18.6  17.8   3   3   0.00051      0.22    8.2   5.4   133   228   200   294   185   298 0.63 contig_2_pilon_527 # 564584 # 565480 # 1 # ID=5_527;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
contig_1_pilon:1158131-1158844|+ -            238 23850                -            279   0.00041   17.1   1.7   1   2   9.5e-07   0.00041   17.1   1.7   119   192    13    87     3   141 0.67 contig_1_pilon_1098 # 1158131 # 1158844 # 1 # ID=1_1098;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_1_pilon:1158131-1158844|+ -            238 23850                -            279   0.00041   17.1   1.7   2   2       1.1   4.8e+02   -2.8   0.1   211   225   158   172   157   182 0.79 contig_1_pilon_1098 # 1158131 # 1158844 # 1 # ID=1_1098;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
contig_1_pilon:611113-611748|+   -            212 23850                -            279   0.00078   16.2   5.1   1   2   1.8e-06   0.00078   16.2   5.1    89   182    31   126    11   146 0.49 contig_1_pilon_574 # 611113 # 611748 # 1 # ID=1_574;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.403
contig_1_pilon:611113-611748|+   -            212 23850                -            279   0.00078   16.2   5.1   2   2      0.26   1.1e+02   -0.7   3.5   142   181   117   156   108   183 0.38 contig_1_pilon_574 # 611113 # 611748 # 1 # ID=1_574;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.403
contig_1_pilon:692215-693039|+   -            275 23850                -            279     0.001   15.8   0.2   1   2   2.4e-06     0.001   15.8   0.2   115   173    10    67     4    90 0.62 contig_1_pilon_657 # 692215 # 693039 # 1 # ID=1_657;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
contig_1_pilon:692215-693039|+   -            275 23850                -            279     0.001   15.8   0.2   2   2      0.24     1e+02   -0.6   0.2   128   165   139   175   129   198 0.49 contig_1_pilon_657 # 692215 # 693039 # 1 # ID=1_657;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
