#                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:224858-227578|+   -            907 27467                -            825  5.4e-229  759.7  98.0   1   1  2.1e-230    8e-228  755.8  98.0     1   825     1   897     1   897 0.87 contig_1_pilon_185 # 224858 # 227578 # 1 # ID=1_185;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.371
contig_1_pilon:1069130-1069570|- -            147 27467                -            825     3e-05   19.5   0.0   1   1   8.9e-08   3.4e-05   19.4   0.0   374   473    11   109     2   125 0.81 contig_1_pilon_1022 # 1069130 # 1069570 # -1 # ID=1_1022;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.356
contig_2_pilon:237258-240839|+   -           1194 27467                -            825   5.2e-05   18.8   0.0   1   5   1.4e-07   5.2e-05   18.8   0.0     1    45     1    46     1    55 0.89 contig_2_pilon_217 # 237258 # 240839 # 1 # ID=5_217;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
contig_2_pilon:237258-240839|+   -           1194 27467                -            825   5.2e-05   18.8   0.0   2   5         8     3e+03   -8.0  51.6   430   665   166   402   159   419 0.77 contig_2_pilon_217 # 237258 # 240839 # 1 # ID=5_217;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
contig_2_pilon:237258-240839|+   -           1194 27467                -            825   5.2e-05   18.8   0.0   3   5     0.082        31   -0.3  20.9   301   408   405   512   389   528 0.72 contig_2_pilon_217 # 237258 # 240839 # 1 # ID=5_217;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
contig_2_pilon:237258-240839|+   -           1194 27467                -            825   5.2e-05   18.8   0.0   4   5       4.1   1.5e+03   -6.0  50.0   182   388   677   864   665   871 0.49 contig_2_pilon_217 # 237258 # 240839 # 1 # ID=5_217;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
contig_2_pilon:237258-240839|+   -           1194 27467                -            825   5.2e-05   18.8   0.0   5   5         8     3e+03   -7.8  22.8   450   608   874  1034   864  1047 0.49 contig_2_pilon_217 # 237258 # 240839 # 1 # ID=5_217;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.404
contig_2_pilon:881473-882108|-   -            212 27467                -            825    0.0032   12.8   0.1   1   1   1.1e-05    0.0042   12.4   0.1   397   478    12    93     7   120 0.60 contig_2_pilon_829 # 881473 # 882108 # -1 # ID=5_829;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.308
contig_1_pilon:672734-673426|+   -            231 27467                -            825     0.017   10.4  36.2   1   1   5.9e-05     0.022   10.1  36.2   496   682    38   219    24   229 0.83 contig_1_pilon_635 # 672734 # 673426 # 1 # ID=1_635;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.342
contig_1_pilon:37609-39087|+     -            493 27467                -            825     0.022   10.0  21.2   1   3   0.00028      0.11    7.8   0.0    28    48    36    56    28    72 0.86 contig_1_pilon_43 # 37609 # 39087 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
contig_1_pilon:37609-39087|+     -            493 27467                -            825     0.022   10.0  21.2   2   3      0.29   1.1e+02   -2.2  15.2   186   265   197   276   167   291 0.45 contig_1_pilon_43 # 37609 # 39087 # 1 # ID=1_43;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.389
