#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:460276-461160|-   -            295 23850                -            279     5e-99  328.5   1.1   1   1  1.3e-101   5.8e-99  328.3   1.1     2   278     4   292     3   293 0.89 tig00000001_428 # 460276 # 461160 # -1 # ID=1_428;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.425
tig00000001:1272313-1272855|+ -            181 23850                -            279   2.4e-05   21.2   1.1   1   1   1.1e-07   4.8e-05   20.2   1.1     3    39     2    38     1    39 0.96 tig00000001_1196 # 1272313 # 1272855 # 1 # ID=1_1196;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.366
tig00000001:1081150-1082046|+ -            299 23850                -            279   0.00014   18.6  17.8   1   3   2.4e-06    0.0011   15.8   4.0    86   170    10    92     3   115 0.70 tig00000001_1017 # 1081150 # 1082046 # 1 # ID=1_1017;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001:1081150-1082046|+ -            299 23850                -            279   0.00014   18.6  17.8   2   3      0.24   1.1e+02   -0.6   0.0    51    77   101   127    94   149 0.81 tig00000001_1017 # 1081150 # 1082046 # 1 # ID=1_1017;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001:1081150-1082046|+ -            299 23850                -            279   0.00014   18.6  17.8   3   3   0.00051      0.23    8.2   5.4   133   228   200   294   185   298 0.63 tig00000001_1017 # 1081150 # 1082046 # 1 # ID=1_1017;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001:2126878-2127591|- -            238 23850                -            279   0.00042   17.1   1.7   1   2   9.5e-07   0.00042   17.1   1.7   119   192    13    87     3   141 0.67 tig00000001_2063 # 2126878 # 2127591 # -1 # ID=1_2063;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
tig00000001:2126878-2127591|- -            238 23850                -            279   0.00042   17.1   1.7   2   2       1.1     5e+02   -2.8   0.1   211   225   158   172   157   182 0.79 tig00000001_2063 # 2126878 # 2127591 # -1 # ID=1_2063;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
tig00000001:2673961-2674596|- -            212 23850                -            279    0.0008   16.2   5.1   1   2   1.8e-06    0.0008   16.2   5.1    89   182    31   126    11   146 0.49 tig00000001_2594 # 2673961 # 2674596 # -1 # ID=1_2594;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001:2673961-2674596|- -            212 23850                -            279    0.0008   16.2   5.1   2   2      0.26   1.1e+02   -0.7   3.5   142   181   117   156   108   183 0.38 tig00000001_2594 # 2673961 # 2674596 # -1 # ID=1_2594;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404
tig00000001:2592671-2593495|- -            275 23850                -            279    0.0011   15.8   0.2   1   2   2.4e-06    0.0011   15.8   0.2   115   173    10    67     4    90 0.62 tig00000001_2511 # 2592671 # 2593495 # -1 # ID=1_2511;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.406
tig00000001:2592671-2593495|- -            275 23850                -            279    0.0011   15.8   0.2   2   2      0.24   1.1e+02   -0.6   0.2   128   165   139   175   129   198 0.49 tig00000001_2511 # 2592671 # 2593495 # -1 # ID=1_2511;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.406
