#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_17_length_62801_cov_60.881707:41121-43208|+   -            696 19044                -            694         0 1531.8   8.3   1   1         0         0 1531.6   8.3     1   694     1   695     1   695 1.00 NODE_17_length_62801_cov_60.881707_41 # 41121 # 43208 # 1 # ID=17_41;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.420
NODE_8_length_123234_cov_76.327838:62167-63747|+   -            527 19044                -            694   7.3e-57  190.5   0.1   1   1   2.6e-59   1.2e-56  189.8   0.1     7   472    10   463     6   469 0.88 NODE_8_length_123234_cov_76.327838_61 # 62167 # 63747 # 1 # ID=8_61;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
NODE_1_length_304474_cov_63.252055:45118-46947|+   -            610 19044                -            694   1.3e-55  186.4   1.5   1   3   6.3e-33   2.9e-30  102.7   0.1     9   146     6   141     3   177 0.87 NODE_1_length_304474_cov_63.252055_41 # 45118 # 46947 # 1 # ID=1_41;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_1_length_304474_cov_63.252055:45118-46947|+   -            610 19044                -            694   1.3e-55  186.4   1.5   2   3   1.8e-16   8.3e-14   48.2   0.0   317   480   218   392   192   399 0.80 NODE_1_length_304474_cov_63.252055_41 # 45118 # 46947 # 1 # ID=1_41;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_1_length_304474_cov_63.252055:45118-46947|+   -            610 19044                -            694   1.3e-55  186.4   1.5   3   3   5.1e-12   2.3e-09   33.5   0.0   593   674   394   476   391   484 0.91 NODE_1_length_304474_cov_63.252055_41 # 45118 # 46947 # 1 # ID=1_41;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.400
NODE_2_length_252901_cov_71.242866:212821-214656|+ -            612 19044                -            694   9.7e-43  143.9   0.4   1   3   3.5e-26   1.6e-23   80.4   0.1     8   160    11   165     6   191 0.80 NODE_2_length_252901_cov_71.242866_202 # 212821 # 214656 # 1 # ID=2_202;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
NODE_2_length_252901_cov_71.242866:212821-214656|+ -            612 19044                -            694   9.7e-43  143.9   0.4   2   3   1.6e-14   7.2e-12   41.8   0.0   299   490   190   390   163   395 0.83 NODE_2_length_252901_cov_71.242866_202 # 212821 # 214656 # 1 # ID=2_202;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
NODE_2_length_252901_cov_71.242866:212821-214656|+ -            612 19044                -            694   9.7e-43  143.9   0.4   3   3   1.5e-07   6.6e-05   18.8   0.0   599   674   408   485   400   501 0.83 NODE_2_length_252901_cov_71.242866_202 # 212821 # 214656 # 1 # ID=2_202;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.423
NODE_17_length_62801_cov_60.881707:43380-44567|+   -            396 19044                -            694   6.7e-16   55.2   0.0   1   1     2e-18   9.2e-16   54.7   0.0    11   146    13   147     1   203 0.89 NODE_17_length_62801_cov_60.881707_42 # 43380 # 44567 # 1 # ID=17_42;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.434
NODE_9_length_122393_cov_61.758630:107246-108433|- -            396 19044                -            694   2.1e-14   50.2   0.1   1   1   6.5e-17   2.9e-14   49.7   0.1    11   145    13   146     1   159 0.87 NODE_9_length_122393_cov_61.758630_106 # 107246 # 108433 # -1 # ID=9_106;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.433
NODE_2_length_252901_cov_71.242866:75983-78289|+   -            769 19044                -            694   6.7e-10   35.3   0.6   1   1   5.6e-12   2.5e-09   33.4   0.6    59   149   302   392   268   434 0.91 NODE_2_length_252901_cov_71.242866_81 # 75983 # 78289 # 1 # ID=2_81;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.417
