#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_1_pilon:91910-92809|+   -            300 18171                -            288  1.3e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 contig_1_pilon_95 # 91910 # 92809 # 1 # ID=1_95;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.412
contig_1_pilon:877384-878154|+ -            257 18171                -            288   0.00034   17.7   0.0   1   1   2.5e-06   0.00064   16.8   0.0   153   183    38    67     8    81 0.85 contig_1_pilon_832 # 877384 # 878154 # 1 # ID=1_832;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
contig_2_pilon:247709-248464|+ -            252 18171                -            288   0.00042   17.5   0.2   1   2   5.7e-06    0.0014   15.7   0.0   142   182    17    58     5    66 0.81 contig_2_pilon_224 # 247709 # 248464 # 1 # ID=5_224;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_2_pilon:247709-248464|+ -            252 18171                -            288   0.00042   17.5   0.2   2   2      0.64   1.6e+02   -0.9   0.1   114   159   167   213   143   244 0.70 contig_2_pilon_224 # 247709 # 248464 # 1 # ID=5_224;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
contig_2_pilon:567143-567889|+ -            249 18171                -            288    0.0017   15.4   0.2   1   2    0.0013      0.32    8.0   0.0   148   182    28    62    10    81 0.80 contig_2_pilon_529 # 567143 # 567889 # 1 # ID=5_529;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
contig_2_pilon:567143-567889|+ -            249 18171                -            288    0.0017   15.4   0.2   2   2    0.0061       1.5    5.7   0.0   113   189   169   244   138   247 0.75 contig_2_pilon_529 # 567143 # 567889 # 1 # ID=5_529;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
contig_2_pilon:55073-55813|-   -            247 18171                -            288    0.0025   14.9   0.1   1   2   0.00095      0.24    8.4   0.0   150   172    26    48     9    77 0.77 contig_2_pilon_51 # 55073 # 55813 # -1 # ID=5_51;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
contig_2_pilon:55073-55813|-   -            247 18171                -            288    0.0025   14.9   0.1   2   2     0.013       3.4    4.6   0.0   112   152   163   203   119   214 0.85 contig_2_pilon_51 # 55073 # 55813 # -1 # ID=5_51;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
contig_2_pilon:668370-669008|+ -            213 18171                -            288     0.003   14.6   0.0   1   1   1.9e-05    0.0049   13.9   0.0   136   172    13    51     6    91 0.79 contig_2_pilon_620 # 668370 # 669008 # 1 # ID=5_620;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
contig_2_pilon:179482-181044|+ -            521 18171                -            288     0.004   14.2   1.5   1   2   0.00014     0.036   11.1   0.1   147   182    29    64     1    87 0.75 contig_2_pilon_149 # 179482 # 181044 # 1 # ID=5_149;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
contig_2_pilon:179482-181044|+ -            521 18171                -            288     0.004   14.2   1.5   2   2     0.073        19    2.2   0.2   104   227   135   256   129   287 0.75 contig_2_pilon_149 # 179482 # 181044 # 1 # ID=5_149;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
contig_2_pilon:86704-87510|+   -            269 18171                -            288    0.0046   14.0   0.1   1   1   3.2e-05    0.0081   13.2   0.1   152   182    36    66     4    83 0.80 contig_2_pilon_74 # 86704 # 87510 # 1 # ID=5_74;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
contig_2_pilon:516507-517208|+ -            234 18171                -            288    0.0052   13.9   0.0   1   1   2.7e-05    0.0069   13.4   0.0   123   171     5    53     1    64 0.77 contig_2_pilon_486 # 516507 # 517208 # 1 # ID=5_486;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
contig_1_pilon:625234-627120|+ -            629 18171                -            288    0.0054   13.8   0.1   1   2      0.47   1.2e+02   -0.5   0.0   156   172    35    51    14    54 0.79 contig_1_pilon_588 # 625234 # 627120 # 1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
contig_1_pilon:625234-627120|+ -            629 18171                -            288    0.0054   13.8   0.1   2   2   0.00013     0.033   11.2   0.0   151   183   349   380   310   399 0.74 contig_1_pilon_588 # 625234 # 627120 # 1 # ID=1_588;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
contig_2_pilon:48295-49710|-   -            472 18171                -            288     0.013   12.5   2.3   1   3   0.00057      0.15    9.1   0.0   147   170    25    48     4    62 0.71 contig_2_pilon_43 # 48295 # 49710 # -1 # ID=5_43;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
contig_2_pilon:48295-49710|-   -            472 18171                -            288     0.013   12.5   2.3   2   3      0.18        46    0.9   0.1   152   172   280   300   234   314 0.69 contig_2_pilon_43 # 48295 # 49710 # -1 # ID=5_43;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.294
