#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2130115-2131620|- -            502 21416                -            488    2e-290  961.0  13.1   1   1  8.5e-293  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 NZ_CP014529.1_2072 # 2130115 # 2131620 # -1 # ID=1_2072;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NZ_CP014529.1:2304399-2306234|- -            612 21416                -            488   3.2e-49  165.5  13.4   1   3   5.1e-08   1.4e-05   21.5   3.3   109   261   101   251     8   269 0.74 NZ_CP014529.1_2266 # 2304399 # 2306234 # -1 # ID=1_2266;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:2304399-2306234|- -            612 21416                -            488   3.2e-49  165.5  13.4   2   3      0.38   1.1e+02   -1.1   0.2    43   115   274   346   267   376 0.88 NZ_CP014529.1_2266 # 2304399 # 2306234 # -1 # ID=1_2266;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:2304399-2306234|- -            612 21416                -            488   3.2e-49  165.5  13.4   3   3   5.8e-47   1.6e-44  150.0   0.4   263   486   376   601   355   603 0.91 NZ_CP014529.1_2266 # 2304399 # 2306234 # -1 # ID=1_2266;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NZ_CP014529.1:1725641-1726981|- -            447 21416                -            488   1.7e-43  146.6   7.3   1   2   4.9e-05     0.014   11.7   0.8   131   216   123   214    73   218 0.74 NZ_CP014529.1_1693 # 1725641 # 1726981 # -1 # ID=1_1693;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NZ_CP014529.1:1725641-1726981|- -            447 21416                -            488   1.7e-43  146.6   7.3   2   2   1.6e-43   4.4e-41  138.7   1.1   265   487   220   442   215   443 0.92 NZ_CP014529.1_1693 # 1725641 # 1726981 # -1 # ID=1_1693;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.365
NZ_CP014529.1:1258998-1260734|- -            579 21416                -            488   5.4e-41  138.4   1.1   1   3       1.2   3.3e+02   -2.7   0.3   106   143    72   107    33   115 0.53 NZ_CP014529.1_1222 # 1258998 # 1260734 # -1 # ID=1_1222;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NZ_CP014529.1:1258998-1260734|- -            579 21416                -            488   5.4e-41  138.4   1.1   2   3     0.082        23    1.1   0.1   199   271   177   249   166   273 0.67 NZ_CP014529.1_1222 # 1258998 # 1260734 # -1 # ID=1_1222;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NZ_CP014529.1:1258998-1260734|- -            579 21416                -            488   5.4e-41  138.4   1.1   3   3   1.9e-43   5.4e-41  138.4   1.1   256   486   350   576   343   578 0.94 NZ_CP014529.1_1222 # 1258998 # 1260734 # -1 # ID=1_1222;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NZ_CP014529.1:1351618-1353066|+ -            483 21416                -            488   1.2e-36  124.0   4.3   1   1   6.6e-39   1.8e-36  123.4   4.3   195   486   180   475   162   477 0.84 NZ_CP014529.1_1314 # 1351618 # 1353066 # 1 # ID=1_1314;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NZ_CP014529.1:366507-367550|+   -            348 21416                -            488   1.1e-33  114.2   3.4   1   1   5.4e-36   1.5e-33  113.8   3.4   189   483    53   342    40   346 0.92 NZ_CP014529.1_362 # 366507 # 367550 # 1 # ID=1_362;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.385
NZ_CP014529.1:2748106-2749314|+ -            403 21416                -            488   1.9e-24   83.8   1.3   1   1   9.6e-27   2.7e-24   83.3   1.3   260   487   158   385   135   386 0.85 NZ_CP014529.1_2636 # 2748106 # 2749314 # 1 # ID=1_2636;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.391
NZ_CP014531.1:8526-9668|-       -            381 21416                -            488     3e-21   73.2   6.0   1   1   1.5e-23   4.3e-21   72.7   6.0   180   486    66   369    50   371 0.82 NZ_CP014531.1_12 # 8526 # 9668 # -1 # ID=3_12;partial=00;start_type=TTG;rbs_motif=GGxGG;rbs_spacer=11-12bp;gc_cont=0.413
NZ_CP014529.1:472041-473066|+   -            342 21416                -            488     3e-16   56.7   0.4   1   1   2.2e-18   6.3e-16   55.7   0.3   386   487   232   333    98   334 0.86 NZ_CP014529.1_459 # 472041 # 473066 # 1 # ID=1_459;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014529.1:2622312-2623208|- -            299 21416                -            488   2.1e-14   50.6   2.4   1   1   8.8e-17   2.5e-14   50.4   2.4   262   485    74   293     2   296 0.71 NZ_CP014529.1_2536 # 2622312 # 2623208 # -1 # ID=1_2536;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.398
NZ_CP014529.1:1951982-1952767|+ -            262 21416                -            488    0.0027   14.0   1.0   1   2      0.75   2.1e+02   -2.1   0.1   305   349    50    94    29   109 0.62 NZ_CP014529.1_1905 # 1951982 # 1952767 # 1 # ID=1_1905;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
NZ_CP014529.1:1951982-1952767|+ -            262 21416                -            488    0.0027   14.0   1.0   2   2   1.2e-05    0.0033   13.8   0.1   384   486   144   246   119   248 0.81 NZ_CP014529.1_1905 # 1951982 # 1952767 # 1 # ID=1_1905;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.372
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/21416at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/21416at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:22:37 2026
# [ok]
