#                                                                                      --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                  accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#          ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2_pilon:798380-800125|+ -            582 21784                -            551  3.2e-267  884.8  11.8   1   1  1.8e-269  1.1e-266  883.1  11.8     1   528     1   539     1   580 0.92 contig_2_pilon_744 # 798380 # 800125 # 1 # ID=5_744;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.419
contig_2_pilon:802146-803084|+ -            313 21784                -            551   2.4e-30  103.0   0.1   1   2   1.3e-32   7.7e-30  101.3   0.0    21   188    11   179     3   193 0.94 contig_2_pilon_749 # 802146 # 803084 # 1 # ID=5_749;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.388
contig_2_pilon:802146-803084|+ -            313 21784                -            551   2.4e-30  103.0   0.1   2   2      0.12        74   -1.0   0.1   249   316   217   281   189   300 0.60 contig_2_pilon_749 # 802146 # 803084 # 1 # ID=5_749;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.388
contig_1_pilon:246542-247828|- -            429 21784                -            551   1.9e-16   57.1   0.2   1   2   2.4e-07   0.00015   17.8   0.0     6    63     5    64     1    69 0.79 contig_1_pilon_208 # 246542 # 247828 # -1 # ID=1_208;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.445
contig_1_pilon:246542-247828|- -            429 21784                -            551   1.9e-16   57.1   0.2   2   2   3.4e-13   2.1e-10   37.1   0.1   122   275    94   270    69   283 0.69 contig_1_pilon_208 # 246542 # 247828 # -1 # ID=1_208;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.445
contig_1_pilon:642851-644251|+ -            467 21784                -            551   0.00037   16.5   7.3   1   3   2.3e-05     0.014   11.3   0.0    31    65    45    79    33    85 0.87 contig_1_pilon_607 # 642851 # 644251 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_1_pilon:642851-644251|+ -            467 21784                -            551   0.00037   16.5   7.3   2   3    0.0096       5.8    2.7   7.0   289   485   102   297    90   318 0.68 contig_1_pilon_607 # 642851 # 644251 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_1_pilon:642851-644251|+ -            467 21784                -            551   0.00037   16.5   7.3   3   3      0.39   2.4e+02   -2.7   0.0   192   216   385   409   363   418 0.76 contig_1_pilon_607 # 642851 # 644251 # 1 # ID=1_607;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
contig_2_pilon:280315-281316|+ -            334 21784                -            551    0.0069   12.3   0.0   1   1   1.6e-05    0.0095   11.8   0.0     7    64    19    80    16   117 0.77 contig_2_pilon_257 # 280315 # 281316 # 1 # ID=5_257;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.439
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21784at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/run_enterococcaceae_odb12/hmmer_output/21784at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/21784at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/flye_pacbio_pilon_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 00:58:37 2026
# [ok]
