#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_26_length_34327_cov_44.144053:7632-9044|+   -            471 27917                -            458  8.7e-212  701.4   3.4   1   1  1.9e-214  9.9e-212  701.2   3.4     1   457    21   468    21   469 0.99 NODE_26_length_34327_cov_44.144053_9 # 7632 # 9044 # 1 # ID=26_9;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_2_length_109676_cov_33.984218:33438-34799|- -            454 27917                -            458   6.2e-28   95.4   1.6   1   1   1.8e-30   9.4e-28   94.8   1.6   105   377   113   371   103   429 0.82 NODE_2_length_109676_cov_33.984218_40 # 33438 # 34799 # -1 # ID=2_40;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.380
NODE_9_length_85202_cov_37.123657:49463-50968|+  -            502 27917                -            458   5.8e-18   62.5   0.2   1   2   2.5e-13   1.3e-10   38.3   0.2    22   129    33   138    18   145 0.84 NODE_9_length_85202_cov_37.123657_38 # 49463 # 50968 # 1 # ID=9_38;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_9_length_85202_cov_37.123657:49463-50968|+  -            502 27917                -            458   5.8e-18   62.5   0.2   2   2     3e-08   1.5e-05   21.5   0.0   228   441   255   471   241   481 0.72 NODE_9_length_85202_cov_37.123657_38 # 49463 # 50968 # 1 # ID=9_38;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_1_length_114283_cov_31.103635:64037-65389|+ -            451 27917                -            458   1.6e-12   44.6   0.7   1   2   1.3e-06   0.00066   16.1   0.1   105   197    50   143    43   230 0.67 NODE_1_length_114283_cov_31.103635_61 # 64037 # 65389 # 1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_1_length_114283_cov_31.103635:64037-65389|+ -            451 27917                -            458   1.6e-12   44.6   0.7   2   2   6.4e-10   3.3e-07   27.0   0.0   255   319   246   307   237   353 0.79 NODE_1_length_114283_cov_31.103635_61 # 64037 # 65389 # 1 # ID=1_61;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_8_length_86165_cov_28.227035:10047-11381|-  -            445 27917                -            458     6e-11   39.3   0.3   1   3      0.14        73   -0.5   0.0    21    63    47    89    36    96 0.87 NODE_8_length_86165_cov_28.227035_11 # 10047 # 11381 # -1 # ID=8_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_8_length_86165_cov_28.227035:10047-11381|-  -            445 27917                -            458     6e-11   39.3   0.3   2   3   0.00072      0.37    7.1   0.0   105   127   106   128    99   135 0.89 NODE_8_length_86165_cov_28.227035_11 # 10047 # 11381 # -1 # ID=8_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_8_length_86165_cov_28.227035:10047-11381|-  -            445 27917                -            458     6e-11   39.3   0.3   3   3   1.9e-10   9.8e-08   28.8   0.0   179   347   166   330   161   371 0.82 NODE_8_length_86165_cov_28.227035_11 # 10047 # 11381 # -1 # ID=8_11;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_28_length_32648_cov_29.742705:18181-19494|+ -            438 27917                -            458   7.2e-06   22.6   0.9   1   2      0.11        55   -0.1   0.0   104   128    39    63    23    70 0.81 NODE_28_length_32648_cov_29.742705_16 # 18181 # 19494 # 1 # ID=28_16;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
NODE_28_length_32648_cov_29.742705:18181-19494|+ -            438 27917                -            458   7.2e-06   22.6   0.9   2   2   6.6e-08   3.4e-05   20.4   0.2   156   294   137   273   127   298 0.80 NODE_28_length_32648_cov_29.742705_16 # 18181 # 19494 # 1 # ID=28_16;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.381
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/27917at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcaceae_odb12/spades_scaffolds_illumina_enterococcaceae_odb12/prodigal_output/predicted_genes/predicted.faa
