#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:1910367-1910705|+ -            113 17357                -            112   8.6e-59  194.3  12.7   1   1   1.8e-61   9.5e-59  194.1  12.7     1   112     1   112     1   112 0.99 tig00000001_1829 # 1910367 # 1910705 # 1 # ID=1_1829;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.333
tig00000002:163521-164480|+   -            320 17357                -            112     0.014   13.2   0.2   1   1   5.1e-05     0.026   12.3   0.2    18    56     4    42     1    86 0.78 tig00000002_159 # 163521 # 164480 # 1 # ID=2_159;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000002:185478-186773|+   -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.36    8.7   0.0    32    70   123   161   108   184 0.82 tig00000002_182 # 185478 # 186773 # 1 # ID=2_182;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000002:185478-186773|+   -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        63    1.5   0.2    56    89   290   325   275   348 0.56 tig00000002_182 # 185478 # 186773 # 1 # ID=2_182;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.390
tig00000001:1901822-1903117|- -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.36    8.7   0.0    32    70   123   161   108   184 0.82 tig00000001_1823 # 1901822 # 1903117 # -1 # ID=1_1823;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001:1901822-1903117|- -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        63    1.5   0.2    56    89   290   325   275   348 0.56 tig00000001_1823 # 1901822 # 1903117 # -1 # ID=1_1823;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001:240779-242074|-   -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.36    8.7   0.0    32    70   123   161   108   184 0.82 tig00000001_261 # 240779 # 242074 # -1 # ID=1_261;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001:240779-242074|-   -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        63    1.5   0.2    56    89   290   325   275   348 0.56 tig00000001_261 # 240779 # 242074 # -1 # ID=1_261;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.392
tig00000001:31793-33088|+     -            432 17357                -            112     0.016   13.0   0.8   1   2   0.00069      0.36    8.7   0.0    32    70   123   161   108   184 0.82 tig00000001_22 # 31793 # 33088 # 1 # ID=1_22;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
tig00000001:31793-33088|+     -            432 17357                -            112     0.016   13.0   0.8   2   2      0.12        63    1.5   0.2    56    89   290   325   275   348 0.56 tig00000001_22 # 31793 # 33088 # 1 # ID=1_22;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.391
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17357at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/17357at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/17357at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:38:24 2026
# [ok]
