# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcaceae_odb12 (Creation date: 2025-05-14, number of genomes: 19, number of BUSCOs: 714)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
175at81852	Complete	NODE_1_length_385945_cov_86.278628	324976	327621	+	1669.6	878
444at81852	Complete	NODE_23_length_33126_cov_91.045387	2530	4824	+	1396.8	751
599at81852	Complete	NODE_8_length_133129_cov_72.724935	78417	76408	-	1419.4	669
705at81852	Complete	NODE_6_length_183174_cov_88.861183	85780	83840	-	1363.6	643
814at81852	Complete	NODE_1_length_385945_cov_86.278628	261282	259477	-	1068.7	601
837at81852	Complete	NODE_5_length_185063_cov_65.589034	63930	66287	+	1372.9	770
1249at81852	Complete	NODE_9_length_122393_cov_64.141746	57284	59170	+	1079.4	621
1360at81852	Duplicated	NODE_16_length_62801_cov_61.371830	23677	22112	-	1090.2	518
1360at81852	Duplicated	NODE_3_length_223274_cov_181.317177	2	1567	+	1086.4	509
1399at81852	Complete	NODE_11_length_113754_cov_100.754285	102438	100756	-	1002.8	557
1424at81852	Complete	NODE_2_length_304403_cov_65.784473	182624	180918	-	969.3	562
1614at81852	Complete	NODE_1_length_385945_cov_86.278628	4476	2740	-	715.1	554
1719at81852	Complete	NODE_2_length_304403_cov_65.784473	87320	90847	+	1557.7	1148
1785at81852	Complete	NODE_2_length_304403_cov_65.784473	162194	163864	+	1029.0	555
2159at81852	Complete	NODE_43_length_1695_cov_58.453069	1506	214	-	938.6	429
2313at81852	Complete	NODE_8_length_133129_cov_72.724935	39070	37739	-	763.5	436
2597at81852	Complete	NODE_33_length_14199_cov_51.636595	12907	10118	-	1170.9	859
2754at81852	Complete	NODE_16_length_62801_cov_61.371830	34456	35622	+	776.8	388
2768at81852	Complete	NODE_34_length_13809_cov_53.503775	8886	7591	-	901.1	428
3237at81852	Complete	NODE_6_length_183174_cov_88.861183	166272	165052	-	468.1	328
3315at81852	Complete	NODE_2_length_304403_cov_65.784473	153797	155146	+	845.8	445
3330at81852	Complete	NODE_4_length_193524_cov_77.069373	77501	78793	+	822.7	427
3398at81852	Complete	NODE_8_length_133129_cov_72.724935	69162	70271	+	775.6	367
3625at81852	Complete	NODE_4_length_193524_cov_77.069373	86865	89993	+	826.2	903
