#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_18_length_59342_cov_60.374412:152-1036|+      -            295 23850                -            279   5.1e-99  328.5   1.1   1   1  1.3e-101   5.8e-99  328.3   1.1     2   278     4   292     3   293 0.89 NODE_18_length_59342_cov_60.374412_1 # 152 # 1036 # 1 # ID=18_1;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.424
NODE_29_length_29482_cov_87.199667:4944-5486|+     -            181 23850                -            279   2.4e-05   21.2   1.1   1   1   1.1e-07   4.8e-05   20.2   1.1     3    39     2    38     1    39 0.96 NODE_29_length_29482_cov_87.199667_7 # 4944 # 5486 # 1 # ID=29_7;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.366
NODE_32_length_27950_cov_55.508185:8731-9627|+     -            299 23850                -            279   0.00015   18.6  17.8   1   3   2.4e-06    0.0011   15.8   4.0    86   170    10    92     3   115 0.70 NODE_32_length_27950_cov_55.508185_10 # 8731 # 9627 # 1 # ID=32_10;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_32_length_27950_cov_55.508185:8731-9627|+     -            299 23850                -            279   0.00015   18.6  17.8   2   3      0.24   1.1e+02   -0.6   0.0    51    77   101   127    94   149 0.81 NODE_32_length_27950_cov_55.508185_10 # 8731 # 9627 # 1 # ID=32_10;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_32_length_27950_cov_55.508185:8731-9627|+     -            299 23850                -            279   0.00015   18.6  17.8   3   3   0.00051      0.23    8.2   5.4   133   228   200   294   185   298 0.63 NODE_32_length_27950_cov_55.508185_10 # 8731 # 9627 # 1 # ID=32_10;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_2_length_252901_cov_71.242866:89242-89955|-   -            238 23850                -            279   0.00043   17.1   1.7   1   2   9.5e-07   0.00043   17.1   1.7   119   192    13    87     3   141 0.67 NODE_2_length_252901_cov_71.242866_94 # 89242 # 89955 # -1 # ID=2_94;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_2_length_252901_cov_71.242866:89242-89955|-   -            238 23850                -            279   0.00043   17.1   1.7   2   2       1.1     5e+02   -2.8   0.1   211   225   158   172   157   182 0.79 NODE_2_length_252901_cov_71.242866_94 # 89242 # 89955 # -1 # ID=2_94;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.382
NODE_9_length_122393_cov_61.758630:78596-79231|-   -            212 23850                -            279   0.00081   16.2   5.1   1   2   1.8e-06   0.00081   16.2   5.1    89   182    31   126    11   146 0.49 NODE_9_length_122393_cov_61.758630_81 # 78596 # 79231 # -1 # ID=9_81;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_9_length_122393_cov_61.758630:78596-79231|-   -            212 23850                -            279   0.00081   16.2   5.1   2   2      0.26   1.2e+02   -0.7   3.5   142   181   117   156   108   183 0.38 NODE_9_length_122393_cov_61.758630_81 # 78596 # 79231 # -1 # ID=9_81;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.404
NODE_1_length_304474_cov_63.252055:1715-2539|+     -            275 23850                -            279    0.0011   15.8   0.2   1   2   2.4e-06    0.0011   15.8   0.2   115   173    10    67     4    90 0.62 NODE_1_length_304474_cov_63.252055_3 # 1715 # 2539 # 1 # ID=1_3;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
NODE_1_length_304474_cov_63.252055:1715-2539|+     -            275 23850                -            279    0.0011   15.8   0.2   2   2      0.24   1.1e+02   -0.6   0.2   128   165   139   175   129   198 0.49 NODE_1_length_304474_cov_63.252055_3 # 1715 # 2539 # 1 # ID=1_3;partial=00;start_type=GTG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.407
