#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:290659-291003|+   -            115 14868                -            115   7.4e-52  171.9   0.4   1   1   1.8e-54     8e-52  171.8   0.4     1   112     1   112     1   114 0.98 tig00000001_306 # 290659 # 291003 # 1 # ID=1_306;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000001:1779533-1780135|+ -            201 14868                -            115   3.7e-09   34.3   7.3   1   3   3.6e-11   1.6e-08   32.3   0.1     4    62     6    64     3    90 0.79 tig00000001_1713 # 1779533 # 1780135 # 1 # ID=1_1713;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001:1779533-1780135|+ -            201 14868                -            115   3.7e-09   34.3   7.3   2   3     0.035        16    3.3   0.2    25    70    93   138    77   149 0.60 tig00000001_1713 # 1779533 # 1780135 # 1 # ID=1_1713;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001:1779533-1780135|+ -            201 14868                -            115   3.7e-09   34.3   7.3   3   3       0.1        45    1.8   0.8    45    69   167   191   136   199 0.49 tig00000001_1713 # 1779533 # 1780135 # 1 # ID=1_1713;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000001:1125218-1125880|- -            221 14868                -            115    0.0044   14.7   4.9   1   2   0.00033      0.15    9.8   0.2     4    76    25    99    24   109 0.82 tig00000001_1060 # 1125218 # 1125880 # -1 # ID=1_1060;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001:1125218-1125880|- -            221 14868                -            115    0.0044   14.7   4.9   2   2    0.0027       1.2    6.9   0.7    38    85   143   189   115   213 0.83 tig00000001_1060 # 1125218 # 1125880 # -1 # ID=1_1060;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000001:2539622-2540068|- -            149 14868                -            115      0.13   10.0   3.7   1   2      0.41   1.9e+02   -0.2   0.3    43    43    34    34     6    66 0.51 tig00000001_2467 # 2539622 # 2540068 # -1 # ID=1_2467;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:2539622-2540068|- -            149 14868                -            115      0.13   10.0   3.7   2   2   0.00015     0.067   10.9   0.3    42    83    82   123    72   124 0.87 tig00000001_2467 # 2539622 # 2540068 # -1 # ID=1_2467;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:1081150-1082046|+ -            299 14868                -            115      0.42    8.3  12.4   1   2   3.5e-05     0.016   13.0   3.1    14    78    40   104    35   164 0.86 tig00000001_1017 # 1081150 # 1082046 # 1 # ID=1_1017;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001:1081150-1082046|+ -            299 14868                -            115      0.42    8.3  12.4   2   2      0.39   1.8e+02   -0.1   1.9    37    69   207   239   196   253 0.77 tig00000001_1017 # 1081150 # 1082046 # 1 # ID=1_1017;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001:1603097-1604818|+ -            574 14868                -            115      0.52    8.0  30.4   1   6    0.0014      0.64    7.8   4.0    27   110   106   188   102   193 0.88 tig00000001_1535 # 1603097 # 1604818 # 1 # ID=1_1535;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
