#                                                                                  --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name              accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#      ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
contig_2:1290823-1291251|+ -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   7.3e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 contig_2_1236 # 1290823 # 1291251 # 1 # ID=5_1236;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
contig_1:821403-821849|+   -            149 19279                -            138   4.4e-27   92.2   1.5   1   1   2.1e-29     5e-27   92.0   1.5     2   138     2   140     1   140 0.93 contig_1_778 # 821403 # 821849 # 1 # ID=1_778;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
contig_1:599017-599484|+   -            156 19279                -            138   3.5e-18   63.4   3.3   1   1   1.7e-20   4.1e-18   63.2   3.3     4   137     5   145     2   146 0.85 contig_1_560 # 599017 # 599484 # 1 # ID=1_560;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
contig_11:18298-18591|+    -             98 19279                -            138     0.013   12.9   0.3   1   1   7.2e-05     0.017   12.6   0.3    36    69    23    57     2    67 0.82 contig_11_18 # 18298 # 18591 # 1 # ID=3_18;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.333
contig_11:170939-171223|+  -             95 19279                -            138     0.017   12.5   0.2   1   1   7.4e-05     0.017   12.5   0.2    36    69    23    57     2    83 0.81 contig_11_162 # 170939 # 171223 # 1 # ID=3_162;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
contig_11:45188-45868|-    -            227 19279                -            138     0.025   12.0   1.6   1   2   0.00059      0.14    9.6   0.2    36    69    23    57     3    76 0.83 contig_11_49 # 45188 # 45868 # -1 # ID=3_49;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_11:45188-45868|-    -            227 19279                -            138     0.025   12.0   1.6   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_11_49 # 45188 # 45868 # -1 # ID=3_49;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.377
contig_10:12585-13265|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_17 # 12585 # 13265 # -1 # ID=2_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10:12585-13265|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_17 # 12585 # 13265 # -1 # ID=2_17;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
contig_10:17550-18230|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_23 # 17550 # 18230 # -1 # ID=2_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:17550-18230|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_23 # 17550 # 18230 # -1 # ID=2_23;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:22535-23215|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_30 # 22535 # 23215 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:22535-23215|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_30 # 22535 # 23215 # -1 # ID=2_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:25280-25960|-    -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00055      0.13    9.7   0.3    36    69    23    57     3    92 0.85 contig_10_33 # 25280 # 25960 # -1 # ID=2_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
contig_10:25280-25960|-    -            227 19279                -            138     0.028   11.9   1.9   2   2      0.18        42    1.6   0.1     4    33   136   167   133   212 0.72 contig_10_33 # 25280 # 25960 # -1 # ID=2_33;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
