#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:730828-733626|+   -            933 19235                -            930         0 2031.7   3.8   1   1         0         0 2031.5   3.8     1   930     1   930     1   930 1.00 NZ_CP014529.1_704 # 730828 # 733626 # 1 # ID=1_704;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NZ_CP014529.1:960612-963257|+   -            882 19235                -            930   2.2e-85  284.6   7.5   1   3   3.2e-29     2e-26   89.6   0.1    24   248    17   237     5   250 0.90 NZ_CP014529.1_939 # 960612 # 963257 # 1 # ID=1_939;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
NZ_CP014529.1:960612-963257|+   -            882 19235                -            930   2.2e-85  284.6   7.5   2   3   1.4e-23   8.7e-21   70.9   0.7   299   475   252   432   247   437 0.91 NZ_CP014529.1_939 # 960612 # 963257 # 1 # ID=1_939;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
NZ_CP014529.1:960612-963257|+   -            882 19235                -            930   2.2e-85  284.6   7.5   3   3   3.1e-41   1.9e-38  129.3   0.2   493   790   420   719   420   776 0.83 NZ_CP014529.1_939 # 960612 # 963257 # 1 # ID=1_939;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.405
NZ_CP014529.1:2491667-2494081|- -            805 19235                -            930   1.5e-33  113.1  17.2   1   6   9.5e-18   5.9e-15   51.6   0.8    19   197     4   169     1   177 0.89 NZ_CP014529.1_2424 # 2491667 # 2494081 # -1 # ID=1_2424;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NZ_CP014529.1:2491667-2494081|- -            805 19235                -            930   1.5e-33  113.1  17.2   2   6     0.033        20    0.2   0.1   402   430   182   210   172   214 0.89 NZ_CP014529.1_2424 # 2491667 # 2494081 # -1 # ID=1_2424;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NZ_CP014529.1:2491667-2494081|- -            805 19235                -            930   1.5e-33  113.1  17.2   3   6   1.8e-07   0.00011   17.6   0.1   221   370   235   387   229   406 0.82 NZ_CP014529.1_2424 # 2491667 # 2494081 # -1 # ID=1_2424;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NZ_CP014529.1:2491667-2494081|- -            805 19235                -            930   1.5e-33  113.1  17.2   4   6   2.4e-06    0.0015   13.9   0.4   447   476   413   442   387   446 0.79 NZ_CP014529.1_2424 # 2491667 # 2494081 # -1 # ID=1_2424;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NZ_CP014529.1:2491667-2494081|- -            805 19235                -            930   1.5e-33  113.1  17.2   5   6   3.3e-10     2e-07   26.6   0.3   570   621   553   604   503   688 0.66 NZ_CP014529.1_2424 # 2491667 # 2494081 # -1 # ID=1_2424;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NZ_CP014529.1:2491667-2494081|- -            805 19235                -            930   1.5e-33  113.1  17.2   6   6   1.9e-05     0.012   10.9   0.1   699   790   652   739   627   772 0.78 NZ_CP014529.1_2424 # 2491667 # 2494081 # -1 # ID=1_2424;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NZ_CP014529.1:880868-882877|+   -            670 19235                -            930   1.5e-16   56.9   0.4   1   2   3.7e-12   2.3e-09   33.1   0.4    47   202     4   147     2   157 0.79 NZ_CP014529.1_869 # 880868 # 882877 # 1 # ID=1_869;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
NZ_CP014529.1:880868-882877|+   -            670 19235                -            930   1.5e-16   56.9   0.4   2   2   2.2e-08   1.4e-05   20.6   0.0   545   782   263   499   223   517 0.68 NZ_CP014529.1_869 # 880868 # 882877 # 1 # ID=1_869;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.394
NZ_CP014529.1:2585218-2586630|- -            471 19235                -            930   1.9e-07   26.7   0.0   1   2      0.03        18    0.3   0.0    57    95    30    68     6    96 0.82 NZ_CP014529.1_2497 # 2585218 # 2586630 # -1 # ID=1_2497;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
NZ_CP014529.1:2585218-2586630|- -            471 19235                -            930   1.9e-07   26.7   0.0   2   2   2.1e-09   1.3e-06   24.0   0.0   565   653   241   330   208   360 0.80 NZ_CP014529.1_2497 # 2585218 # 2586630 # -1 # ID=1_2497;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.405
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19235at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19235at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19235at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:22:19 2026
# [ok]
