#                                                                                                         --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                     accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                             ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_7_length_162800_cov_68.413407:67893-70691|+  -            933 27414                -            927         0 1924.4   3.3   1   1         0         0 1924.2   3.3     1   927     1   930     1   930 0.99 NODE_7_length_162800_cov_68.413407_70 # 67893 # 70691 # 1 # ID=7_70;partial=00;start_type=ATG;rbs_motif=AGGAG/GGAGG;rbs_spacer=11-12bp;gc_cont=0.384
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 27414                -            927     2e-93  311.3   7.5   1   3   4.4e-32   2.7e-29   99.0   0.1    24   250    17   239     5   251 0.90 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 27414                -            927     2e-93  311.3   7.5   2   3   9.1e-26   5.6e-23   78.1   0.7   299   473   252   430   242   436 0.92 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_18_length_58283_cov_66.770060:54467-57112|-  -            882 27414                -            927     2e-93  311.3   7.5   3   3   1.3e-43     8e-41  137.2   0.1   514   814   439   738   431   775 0.82 NODE_18_length_58283_cov_66.770060_59 # 54467 # 57112 # -1 # ID=18_59;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.406
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 27414                -            927   2.8e-36  122.1  16.7   1   6     3e-17   1.8e-14   50.0   0.8    19   197     4   169     1   175 0.88 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 27414                -            927   2.8e-36  122.1  16.7   2   6     0.029        18    0.3   0.0   402   430   182   210   172   222 0.86 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 27414                -            927   2.8e-36  122.1  16.7   3   6   1.4e-09   8.9e-07   24.5   0.2   222   371   236   388   229   406 0.83 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 27414                -            927   2.8e-36  122.1  16.7   4   6   3.1e-06    0.0019   13.5   0.5   442   474   411   440   388   445 0.69 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 27414                -            927   2.8e-36  122.1  16.7   5   6   1.5e-10   9.1e-08   27.8   0.0   569   619   552   602   508   620 0.80 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_10_length_119333_cov_96.609128:83855-86269|+ -            805 27414                -            927   2.8e-36  122.1  16.7   6   6   5.1e-06    0.0032   12.8   0.1   685   788   639   737   624   775 0.76 NODE_10_length_119333_cov_96.609128_64 # 83855 # 86269 # 1 # ID=10_64;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.407
NODE_8_length_133129_cov_72.724935:76408-78417|-  -            670 27414                -            927   1.3e-17   60.4   0.5   1   2   1.5e-12   9.4e-10   34.4   0.5    47   202     4   147     2   176 0.80 NODE_8_length_133129_cov_72.724935_69 # 76408 # 78417 # -1 # ID=8_69;partial=00;start_type=GTG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.395
