#                                                                                                 --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                             accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                     ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon_pilon:637589-638689|-   -            367 19956                -            366  1.2e-235  778.5   6.6   1   1  3.4e-238  1.3e-235  778.3   6.6     1   366     1   366     1   366 1.00 tig00000001_pilon_pilon_577 # 637589 # 638689 # -1 # ID=1_577;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=11-12bp;gc_cont=0.407
tig00000001_pilon_pilon:2477807-2479120|- -            438 19956                -            366   1.3e-17   61.1   0.1   1   2   1.7e-16   6.4e-14   48.9   0.0     5   134   163   269   159   287 0.86 tig00000001_pilon_pilon_2380 # 2477807 # 2479120 # -1 # ID=1_2380;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
tig00000001_pilon_pilon:2477807-2479120|- -            438 19956                -            366   1.3e-17   61.1   0.1   2   2    0.0046       1.8    4.7   0.0   250   303   302   361   291   381 0.81 tig00000001_pilon_pilon_2380 # 2477807 # 2479120 # -1 # ID=1_2380;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.449
tig00000001_pilon_pilon:2670450-2671760|- -            437 19956                -            366   4.2e-05   19.9   4.9   1   6   1.8e-05    0.0068   12.6   0.0     4    23     5    24     1    33 0.88 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2670450-2671760|- -            437 19956                -            366   4.2e-05   19.9   4.9   2   6      0.38   1.5e+02   -1.6   0.0   218   252    65   101    60   117 0.77 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2670450-2671760|- -            437 19956                -            366   4.2e-05   19.9   4.9   3   6    0.0013      0.51    6.5   0.0     6    22   178   194   174   200 0.88 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2670450-2671760|- -            437 19956                -            366   4.2e-05   19.9   4.9   4   6      0.78     3e+02   -2.6   0.0   222   252   246   276   238   286 0.77 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2670450-2671760|- -            437 19956                -            366   4.2e-05   19.9   4.9   5   6      0.26     1e+02   -1.1   0.1   187   250   310   339   255   371 0.59 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:2670450-2671760|- -            437 19956                -            366   4.2e-05   19.9   4.9   6   6      0.85   3.3e+02   -2.8   0.0   197   226   388   418   365   431 0.72 tig00000001_pilon_pilon_2567 # 2670450 # 2671760 # -1 # ID=1_2567;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.411
tig00000001_pilon_pilon:1625127-1626356|+ -            410 19956                -            366   0.00076   15.8   0.0   1   2   4.6e-06    0.0018   14.5   0.0     5    39   196   230   193   257 0.94 tig00000001_pilon_pilon_1544 # 1625127 # 1626356 # 1 # ID=1_1544;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001_pilon_pilon:1625127-1626356|+ -            410 19956                -            366   0.00076   15.8   0.0   2   2      0.53     2e+02   -2.1   0.0    94   127   270   303   239   374 0.73 tig00000001_pilon_pilon_1544 # 1625127 # 1626356 # 1 # ID=1_1544;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.415
tig00000001_pilon_pilon:51059-52168|-     -            370 19956                -            366    0.0069   12.6   0.1   1   2      0.56   2.2e+02   -2.2   0.0   199   251   100   155    68   160 0.68 tig00000001_pilon_pilon_38 # 51059 # 52168 # -1 # ID=1_38;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
tig00000001_pilon_pilon:51059-52168|-     -            370 19956                -            366    0.0069   12.6   0.1   2   2   4.6e-05     0.018   11.3   0.0     7    28   169   190   165   210 0.81 tig00000001_pilon_pilon_38 # 51059 # 52168 # -1 # ID=1_38;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.402
tig00000001_pilon_pilon:1814977-1815876|+ -            300 19956                -            366    0.0072   12.6   0.1   1   2     5e-05     0.019   11.1   0.1     6    24    10    28     6    69 0.79 tig00000001_pilon_pilon_1728 # 1814977 # 1815876 # 1 # ID=1_1728;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon_pilon:1814977-1815876|+ -            300 19956                -            366    0.0072   12.6   0.1   2   2      0.28   1.1e+02   -1.2   0.0    60   105    47    94    27   120 0.77 tig00000001_pilon_pilon_1728 # 1814977 # 1815876 # 1 # ID=1_1728;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.408
tig00000001_pilon_pilon:2649852-2650712|- -            287 19956                -            366    0.0094   12.2   0.0   1   1   3.7e-05     0.014   11.6   0.0     2    33   120   152   119   158 0.78 tig00000001_pilon_pilon_2544 # 2649852 # 2650712 # -1 # ID=1_2544;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001_pilon_pilon:198650-200782|-   -            711 19956                -            366     0.017   11.3   0.0   1   1   6.4e-05     0.025   10.8   0.0     6    54     4    53     1    65 0.83 tig00000001_pilon_pilon_215 # 198650 # 200782 # -1 # ID=1_215;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.410
#
# Program:         hmmsearch
