# BUSCO version is: 5.8.2 
# The lineage dataset is: enterococcus_odb12 (Creation date: 2025-05-14, number of genomes: 59, number of BUSCOs: 983)
# Busco id	Status	Sequence	Gene Start	Gene End	Strand	Score	Length
175at1350	Complete	NODE_8_length_86165_cov_28.227035	8453	5808	-	1821.9	879
444at1350	Complete	NODE_42_length_20562_cov_34.293461	14851	12557	-	1457.1	745
596at1350	Complete	NODE_6_length_99885_cov_29.307212	67579	69477	+	980.4	636
599at1350	Complete	NODE_1_length_114283_cov_31.103635	24640	22631	-	1450.9	663
705at1350	Complete	NODE_63_length_11496_cov_31.110392	5846	7786	+	1423.7	645
814at1350	Complete	NODE_8_length_86165_cov_28.227035	72148	73953	+	1121.3	601
826at1350	Complete	NODE_4_length_101830_cov_39.048283	14807	12906	-	1370.5	631
837at1350	Complete	NODE_22_length_43520_cov_30.536294	5985	8342	+	1519.7	783
1249at1350	Complete	NODE_11_length_80003_cov_31.743608	29672	31558	+	1182.6	625
1360at1350	Duplicated	NODE_4_length_101830_cov_39.048283	60440	58875	-	1146.5	518
1360at1350	Duplicated	NODE_49_length_16401_cov_37.911704	2	1534	+	1123.5	507
1424at1350	Complete	NODE_23_length_43480_cov_29.402948	213	1919	+	1061.9	558
1507at1350	Complete	NODE_1_length_114283_cov_31.103635	81516	79879	-	1028.2	530
1547at1350	Complete	NODE_5_length_100374_cov_29.640417	37335	38870	+	1000.7	509
1593at1350	Complete	NODE_5_length_100374_cov_29.640417	61485	63257	+	1020.2	574
1614at1350	Complete	NODE_41_length_20569_cov_30.148630	15306	17042	+	871.4	562
1719at1350	Complete	NODE_34_length_25980_cov_30.418284	188	3715	+	1798.2	1145
1737at1350	Complete	NODE_6_length_99885_cov_29.307212	77346	78722	+	1033.9	457
2136at1350	Complete	NODE_52_length_15383_cov_27.136547	3127	1778	-	893.8	447
2159at1350	Complete	NODE_4_length_101830_cov_39.048283	34825	36117	+	986.3	430
2257at1350	Complete	NODE_1_length_114283_cov_31.103635	91087	89228	-	1040.3	591
2313at1350	Complete	NODE_29_length_31200_cov_30.116648	13022	14353	+	894.1	442
2389at1350	Complete	NODE_11_length_80003_cov_31.743608	14082	15485	+	724.4	457
2522at1350	Complete	NODE_5_length_100374_cov_29.640417	84779	87154	+	1349.2	772
2597at1350	Complete	NODE_27_length_32680_cov_27.796444	19752	22541	+	1507.7	916
2754at1350	Complete	NODE_4_length_101830_cov_39.048283	71219	72385	+	855.2	388
2768at1350	Complete	NODE_2_length_109676_cov_33.984218	101914	100619	-	951.5	429
2823at1350	Complete	NODE_4_length_101830_cov_39.048283	91044	92339	+	900.7	431
2925at1350	Complete	NODE_8_length_86165_cov_28.227035	11381	10047	-	939.7	442
2954at1350	Complete	NODE_20_length_45277_cov_34.462408	33232	34467	+	838.9	411
3075at1350	Complete	NODE_26_length_34327_cov_44.144053	25843	24668	-	796.2	386
3237at1350	Complete	NODE_37_length_23788_cov_33.341002	18702	19922	+	638.0	393
3315at1350	Complete	NODE_23_length_43480_cov_29.402948	29040	27691	-	908.5	447
3330at1350	Complete	NODE_14_length_56501_cov_33.217624	22052	20760	-	897.8	428
3398at1350	Complete	NODE_1_length_114283_cov_31.103635	15385	16494	+	805.3	368
3592at1350	Complete	NODE_10_length_83811_cov_29.795656	44719	45894	+	825.7	400
