#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:2544585-2545484|- -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 NZ_CP014529.1_2459 # 2544585 # 2545484 # -1 # ID=1_2459;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
NZ_CP014529.1:1759237-1760007|- -            257 18171                -            288   0.00035   17.7   0.0   1   1   2.5e-06   0.00066   16.8   0.0   153   183    38    67     8    81 0.85 NZ_CP014529.1_1722 # 1759237 # 1760007 # -1 # ID=1_1722;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
NZ_CP014529.1:115911-116666|+   -            252 18171                -            288   0.00042   17.5   0.2   1   2   5.7e-06    0.0015   15.7   0.0   142   182    17    58     5    66 0.81 NZ_CP014529.1_118 # 115911 # 116666 # 1 # ID=1_118;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NZ_CP014529.1:115911-116666|+   -            252 18171                -            288   0.00042   17.5   0.2   2   2      0.64   1.6e+02   -0.9   0.1   114   159   167   213   143   244 0.70 NZ_CP014529.1_118 # 115911 # 116666 # 1 # ID=1_118;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
NZ_CP014529.1:435345-436091|+   -            249 18171                -            288    0.0017   15.4   0.2   1   2    0.0013      0.33    8.0   0.0   148   182    28    62    10    81 0.80 NZ_CP014529.1_423 # 435345 # 436091 # 1 # ID=1_423;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NZ_CP014529.1:435345-436091|+   -            249 18171                -            288    0.0017   15.4   0.2   2   2    0.0061       1.6    5.7   0.0   113   189   169   244   138   247 0.75 NZ_CP014529.1_423 # 435345 # 436091 # 1 # ID=1_423;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
NZ_CP014529.1:2688285-2689025|- -            247 18171                -            288    0.0026   14.9   0.1   1   2   0.00095      0.25    8.4   0.0   150   172    26    48     9    77 0.77 NZ_CP014529.1_2596 # 2688285 # 2689025 # -1 # ID=1_2596;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NZ_CP014529.1:2688285-2689025|- -            247 18171                -            288    0.0026   14.9   0.1   2   2     0.013       3.5    4.6   0.0   112   152   163   203   119   214 0.85 NZ_CP014529.1_2596 # 2688285 # 2689025 # -1 # ID=1_2596;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
NZ_CP014529.1:536572-537210|+   -            213 18171                -            288    0.0031   14.6   0.0   1   1   1.9e-05     0.005   13.9   0.0   136   172    13    51     6    91 0.79 NZ_CP014529.1_514 # 536572 # 537210 # 1 # ID=1_514;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
NZ_CP014529.1:47684-49246|+     -            521 18171                -            288    0.0041   14.2   1.5   1   2   0.00014     0.037   11.1   0.1   147   182    29    64     1    87 0.75 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
NZ_CP014529.1:47684-49246|+     -            521 18171                -            288    0.0041   14.2   1.5   2   2     0.073        19    2.2   0.2   104   227   135   256   129   287 0.75 NZ_CP014529.1_43 # 47684 # 49246 # 1 # ID=1_43;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
