#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_8_length_123234_cov_76.327838:121153-122658|+  -            502 21416                -            488  2.1e-290  961.0  13.1   1   1  8.5e-293  2.4e-290  960.8  13.1     2   487     7   495     6   496 0.99 NODE_8_length_123234_cov_76.327838_114 # 121153 # 122658 # 1 # ID=8_114;partial=00;start_type=GTG;rbs_motif=3Base/5BMM;rbs_spacer=13-15bp;gc_cont=0.365
NODE_3_length_193524_cov_75.578528:39612-41447|-    -            612 21416                -            488   3.2e-49  165.5  13.4   1   3   5.1e-08   1.5e-05   21.5   3.3   109   261   101   251     8   269 0.74 NODE_3_length_193524_cov_75.578528_67 # 39612 # 41447 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_3_length_193524_cov_75.578528:39612-41447|-    -            612 21416                -            488   3.2e-49  165.5  13.4   2   3      0.38   1.1e+02   -1.1   0.2    43   115   274   346   267   376 0.88 NODE_3_length_193524_cov_75.578528_67 # 39612 # 41447 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_3_length_193524_cov_75.578528:39612-41447|-    -            612 21416                -            488   3.2e-49  165.5  13.4   3   3   5.8e-47   1.7e-44  150.0   0.4   263   486   376   601   355   603 0.91 NODE_3_length_193524_cov_75.578528_67 # 39612 # 41447 # -1 # ID=3_67;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.403
NODE_1_length_304474_cov_63.252055:219910-221250|+  -            447 21416                -            488   1.7e-43  146.6   7.3   1   2   4.9e-05     0.014   11.7   0.8   131   216   123   214    73   218 0.74 NODE_1_length_304474_cov_63.252055_206 # 219910 # 221250 # 1 # ID=1_206;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_1_length_304474_cov_63.252055:219910-221250|+  -            447 21416                -            488   1.7e-43  146.6   7.3   2   2   1.6e-43   4.5e-41  138.7   1.1   265   487   220   442   215   443 0.92 NODE_1_length_304474_cov_63.252055_206 # 219910 # 221250 # 1 # ID=1_206;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.364
NODE_7_length_127392_cov_103.596228:122917-124653|+ -            579 21416                -            488   5.5e-41  138.4   1.1   1   3       1.2   3.3e+02   -2.7   0.3   106   143    72   107    33   115 0.53 NODE_7_length_127392_cov_103.596228_128 # 122917 # 124653 # 1 # ID=7_128;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_7_length_127392_cov_103.596228:122917-124653|+ -            579 21416                -            488   5.5e-41  138.4   1.1   2   3     0.082        23    1.1   0.1   199   271   177   249   166   273 0.67 NODE_7_length_127392_cov_103.596228_128 # 122917 # 124653 # 1 # ID=7_128;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_7_length_127392_cov_103.596228:122917-124653|+ -            579 21416                -            488   5.5e-41  138.4   1.1   3   3   1.9e-43   5.5e-41  138.4   1.1   256   486   350   576   343   578 0.94 NODE_7_length_127392_cov_103.596228_128 # 122917 # 124653 # 1 # ID=7_128;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.408
NODE_7_length_127392_cov_103.596228:30586-32034|-   -            483 21416                -            488   1.2e-36  124.0   4.3   1   1   6.6e-39   1.9e-36  123.4   4.3   195   486   180   475   162   477 0.84 NODE_7_length_127392_cov_103.596228_36 # 30586 # 32034 # -1 # ID=7_36;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.369
NODE_14_length_67873_cov_82.007916:55457-56500|-    -            348 21416                -            488   1.1e-33  114.2   3.4   1   1   5.4e-36   1.5e-33  113.8   3.4   189   483    53   342    40   346 0.92 NODE_14_length_67873_cov_82.007916_48 # 55457 # 56500 # -1 # ID=14_48;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.386
NODE_37_length_17573_cov_153.551824:1616-2824|-     -            403 21416                -            488   1.9e-24   83.8   1.3   1   1   9.6e-27   2.8e-24   83.3   1.3   260   487   158   385   135   386 0.85 NODE_37_length_17573_cov_153.551824_2 # 1616 # 2824 # -1 # ID=37_2;partial=00;start_type=TTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.390
