#                                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_1_length_385945_cov_86.278628:172664-173626|+  -            321 19602                -            320    5e-198  654.1   7.0   1   1  1.3e-200  5.6e-198  653.9   7.0     1   319     1   319     1   320 1.00 NODE_1_length_385945_cov_86.278628_190 # 172664 # 173626 # 1 # ID=1_190;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.421
NODE_5_length_185063_cov_65.589034:77019-77903|+    -            295 19602                -            320   5.4e-29   98.7   1.7   1   2     6e-19   2.6e-16   57.0   0.5    36   169    23   159     7   175 0.87 NODE_5_length_185063_cov_65.589034_76 # 77019 # 77903 # 1 # ID=5_76;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_5_length_185063_cov_65.589034:77019-77903|+    -            295 19602                -            320   5.4e-29   98.7   1.7   2   2   4.1e-14   1.8e-11   41.1   0.0   217   314   186   284   170   290 0.87 NODE_5_length_185063_cov_65.589034_76 # 77019 # 77903 # 1 # ID=5_76;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
NODE_4_length_193524_cov_77.069373:7375-8232|+      -            286 19602                -            320   5.9e-23   78.9   0.2   1   2   7.4e-19   3.3e-16   56.7   0.5     7   189     4   179     2   189 0.79 NODE_4_length_193524_cov_77.069373_5 # 7375 # 8232 # 1 # ID=4_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_4_length_193524_cov_77.069373:7375-8232|+      -            286 19602                -            320   5.9e-23   78.9   0.2   2   2   1.5e-07   6.7e-05   19.5   0.0   244   317   205   280   195   283 0.77 NODE_4_length_193524_cov_77.069373_5 # 7375 # 8232 # 1 # ID=4_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
NODE_1_length_385945_cov_86.278628:52708-53580|+    -            291 19602                -            320     5e-22   75.8   0.3   1   2   3.5e-20   1.5e-17   61.1   0.3    35   197    23   191     5   203 0.83 NODE_1_length_385945_cov_86.278628_50 # 52708 # 53580 # 1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
NODE_1_length_385945_cov_86.278628:52708-53580|+    -            291 19602                -            320     5e-22   75.8   0.3   2   2   1.3e-05    0.0059   13.1   0.0   244   318   209   285   193   287 0.80 NODE_1_length_385945_cov_86.278628_50 # 52708 # 53580 # 1 # ID=1_50;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
NODE_26_length_29482_cov_89.132840:18451-19329|+    -            293 19602                -            320   4.5e-21   72.7   0.1   1   2   7.3e-17   3.2e-14   50.1   0.1    39   189    27   183    16   194 0.83 NODE_26_length_29482_cov_89.132840_19 # 18451 # 19329 # 1 # ID=26_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_26_length_29482_cov_89.132840:18451-19329|+    -            293 19602                -            320   4.5e-21   72.7   0.1   2   2   7.5e-08   3.3e-05   20.5   0.0   244   318   209   285   198   287 0.86 NODE_26_length_29482_cov_89.132840_19 # 18451 # 19329 # 1 # ID=26_19;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_14_length_76137_cov_127.027265:45076-45945|+   -            290 19602                -            320   7.8e-20   68.6   0.4   1   2   4.7e-17   2.1e-14   50.8   0.5    51   191    38   184     5   193 0.85 NODE_14_length_76137_cov_127.027265_47 # 45076 # 45945 # 1 # ID=14_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_14_length_76137_cov_127.027265:45076-45945|+   -            290 19602                -            320   7.8e-20   68.6   0.4   2   2   2.1e-06   0.00091   15.8   0.0   246   318   210   284   205   286 0.81 NODE_14_length_76137_cov_127.027265_47 # 45076 # 45945 # 1 # ID=14_47;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_3_length_223274_cov_181.317177:168358-169230|- -            291 19602                -            320   3.3e-19   66.5   0.1   1   2   3.3e-19   1.5e-16   57.8   0.1    54   193    42   187     4   204 0.80 NODE_3_length_223274_cov_181.317177_171 # 168358 # 169230 # -1 # ID=3_171;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
NODE_3_length_223274_cov_181.317177:168358-169230|- -            291 19602                -            320   3.3e-19   66.5   0.1   2   2     0.001      0.46    6.9   0.0   247   318   212   285   205   287 0.77 NODE_3_length_223274_cov_181.317177_171 # 168358 # 169230 # -1 # ID=3_171;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19602at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19602at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19602at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/spades_scaffolds_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:35:16 2026
# [ok]
