#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:25940-26125|+     -             62 29492                -             59   2.8e-27   92.2   3.4   1   1   4.8e-30     3e-27   92.1   3.4     1    56     1    56     1    59 0.94 tig00000001_17 # 25940 # 26125 # 1 # ID=1_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001:1353291-1353536|+ -             82 29492                -             59     0.065   10.9   7.8   1   2   0.00025      0.16    9.7   3.0     8    29     4    25     2    47 0.77 tig00000001_1274 # 1353291 # 1353536 # 1 # ID=1_1274;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.435
tig00000001:1353291-1353536|+ -             82 29492                -             59     0.065   10.9   7.8   2   2     0.018        11    3.8   0.2    34    51    58    75    55    80 0.75 tig00000001_1274 # 1353291 # 1353536 # 1 # ID=1_1274;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.435
tig00000001:2298458-2298700|+ -             81 29492                -             59      0.25    9.1  15.6   1   2   0.00046      0.29    8.9   4.6     7    27     3    23     2    41 0.85 tig00000001_2230 # 2298458 # 2298700 # 1 # ID=1_2230;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.412
tig00000001:2298458-2298700|+ -             81 29492                -             59      0.25    9.1  15.6   2   2     0.098        61    1.4   7.1    34    51    57    75    27    79 0.64 tig00000001_2230 # 2298458 # 2298700 # 1 # ID=1_2230;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.412
tig00000001:2303271-2303513|+ -             81 29492                -             59      0.27    9.0  16.1   1   2   0.00045      0.28    8.9   6.6     7    49     3    43     2    50 0.75 tig00000001_2238 # 2303271 # 2303513 # 1 # ID=1_2238;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000001:2303271-2303513|+ -             81 29492                -             59      0.27    9.0  16.1   2   2      0.16     1e+02    0.7   7.7    33    51    57    75    29    79 0.72 tig00000001_2238 # 2303271 # 2303513 # 1 # ID=1_2238;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.399
tig00000002:176216-176464|-   -             83 29492                -             59       5.3    4.8  15.5   1   2    0.0056       3.5    5.4   5.2     8    27     4    23     2    49 0.81 tig00000002_173 # 176216 # 176464 # -1 # ID=2_173;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
tig00000002:176216-176464|-   -             83 29492                -             59       5.3    4.8  15.5   2   2      0.09        57    1.5   6.6    34    51    58    75    29    80 0.85 tig00000002_173 # 176216 # 176464 # -1 # ID=2_173;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.414
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29492at81852.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/run_enterococcaceae_odb12/hmmer_output/29492at81852.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcaceae_odb12/hmms/29492at81852.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_auto_lineage/canu_pacbio_auto/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:39:09 2026
# [ok]
