#                                                                                           --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                       accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#               ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001_pilon:1807431-1807859|+ -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   7.9e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 tig00000001_pilon_1719 # 1807431 # 1807859 # 1 # ID=1_1719;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
tig00000001_pilon:2463947-2464393|- -            149 19279                -            138   4.5e-27   92.2   1.5   1   1   2.3e-29     5e-27   92.0   1.5     2   138     2   140     1   140 0.93 tig00000001_pilon_2364 # 2463947 # 2464393 # -1 # ID=1_2364;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
tig00000001_pilon:2686313-2686780|- -            156 19279                -            138   3.5e-18   63.4   3.3   1   1   1.9e-20   4.2e-18   63.2   3.3     4   137     5   145     2   146 0.85 tig00000001_pilon_2582 # 2686313 # 2686780 # -1 # ID=1_2582;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
tig00000007_pilon:12333-12560|-     -             76 19279                -            138     0.015   12.8   0.2   1   1     7e-05     0.015   12.7   0.2    36    69    23    57     2    65 0.81 tig00000007_pilon_19 # 12333 # 12560 # -1 # ID=7_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.338
tig00000002_pilon:66279-66563|-     -             95 19279                -            138     0.018   12.5   0.2   1   1     8e-05     0.018   12.5   0.2    36    69    23    57     2    83 0.81 tig00000002_pilon_73 # 66279 # 66563 # -1 # ID=2_73;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
tig00000002_pilon:191633-192313|+   -            227 19279                -            138     0.025   12.0   1.6   1   2   0.00064      0.14    9.6   0.2    36    69    23    57     3    76 0.83 tig00000002_pilon_186 # 191633 # 192313 # 1 # ID=2_186;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000002_pilon:191633-192313|+   -            227 19279                -            138     0.025   12.0   1.6   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000002_pilon_186 # 191633 # 192313 # 1 # ID=2_186;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
tig00000005_pilon:2137-2817|+       -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_pilon_5 # 2137 # 2817 # 1 # ID=5_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon:2137-2817|+       -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_pilon_5 # 2137 # 2817 # 1 # ID=5_5;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
tig00000005_pilon:21866-22546|+     -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_pilon_29 # 21866 # 22546 # 1 # ID=5_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon:21866-22546|+     -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_pilon_29 # 21866 # 22546 # 1 # ID=5_29;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon:24611-25291|+     -            227 19279                -            138     0.028   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 tig00000005_pilon_32 # 24611 # 25291 # 1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
tig00000005_pilon:24611-25291|+     -            227 19279                -            138     0.028   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 tig00000005_pilon_32 # 24611 # 25291 # 1 # ID=5_32;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
