#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2077254-2078216|+ -            321 19602                -            320  5.1e-198  654.1   7.0   1   1  1.3e-200  5.7e-198  653.9   7.0     1   319     1   319     1   320 1.00 tig00000001_2016 # 2077254 # 2078216 # 1 # ID=1_2016;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.421
tig00000001:1749117-1750001|+ -            295 19602                -            320   5.5e-29   98.7   1.7   1   2     6e-19   2.7e-16   57.0   0.5    36   169    23   159     7   175 0.87 tig00000001_1681 # 1749117 # 1750001 # 1 # ID=1_1681;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
tig00000001:1749117-1750001|+ -            295 19602                -            320   5.5e-29   98.7   1.7   2   2   4.1e-14   1.8e-11   41.1   0.0   217   314   186   284   170   290 0.87 tig00000001_1681 # 1749117 # 1750001 # 1 # ID=1_1681;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.395
tig00000001:333456-334313|-   -            286 19602                -            320     6e-23   78.9   0.2   1   2   7.4e-19   3.3e-16   56.7   0.5     7   189     4   179     2   189 0.79 tig00000001_336 # 333456 # 334313 # -1 # ID=1_336;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:333456-334313|-   -            286 19602                -            320     6e-23   78.9   0.2   2   2   1.5e-07   6.9e-05   19.5   0.0   244   317   205   280   195   283 0.77 tig00000001_336 # 333456 # 334313 # -1 # ID=1_336;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.418
tig00000001:1957306-1958178|+ -            291 19602                -            320   5.1e-22   75.8   0.3   1   2   3.5e-20   1.5e-17   61.1   0.3    35   197    23   191     5   203 0.83 tig00000001_1873 # 1957306 # 1958178 # 1 # ID=1_1873;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
tig00000001:1957306-1958178|+ -            291 19602                -            320   5.1e-22   75.8   0.3   2   2   1.3e-05     0.006   13.1   0.0   244   318   209   285   193   287 0.80 tig00000001_1873 # 1957306 # 1958178 # 1 # ID=1_1873;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.367
tig00000001:1285820-1286698|+ -            293 19602                -            320   4.6e-21   72.7   0.1   1   2   7.3e-17   3.3e-14   50.1   0.1    39   189    27   183    16   194 0.83 tig00000001_1208 # 1285820 # 1286698 # 1 # ID=1_1208;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001:1285820-1286698|+ -            293 19602                -            320   4.6e-21   72.7   0.1   2   2   7.5e-08   3.4e-05   20.5   0.0   244   318   209   285   198   287 0.86 tig00000001_1208 # 1285820 # 1286698 # 1 # ID=1_1208;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
tig00000001:931754-932623|+   -            290 19602                -            320     8e-20   68.6   0.4   1   2   4.7e-17   2.1e-14   50.8   0.5    51   191    38   184     5   193 0.85 tig00000001_881 # 931754 # 932623 # 1 # ID=1_881;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000001:931754-932623|+   -            290 19602                -            320     8e-20   68.6   0.4   2   2   2.1e-06   0.00092   15.8   0.0   246   318   210   284   205   286 0.81 tig00000001_881 # 931754 # 932623 # 1 # ID=1_881;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
tig00000002:66893-67765|-     -            291 19602                -            320   3.4e-19   66.5   0.1   1   2   3.3e-19   1.5e-16   57.8   0.1    54   193    42   187     4   204 0.80 tig00000002_74 # 66893 # 67765 # -1 # ID=2_74;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
tig00000002:66893-67765|-     -            291 19602                -            320   3.4e-19   66.5   0.1   2   2     0.001      0.47    6.9   0.0   247   318   212   285   205   287 0.77 tig00000002_74 # 66893 # 67765 # -1 # ID=2_74;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.463
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19602at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19602at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19602at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Mon Apr 20 03:09:47 2026
# [ok]
