#                                                                                                          --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                      accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                              ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_11_length_113754_cov_100.754285:28375-30501|- -            709 9804305              -            706         0 1058.2  13.6   1   1         0         0 1058.0  13.6     2   704     2   705     1   707 0.97 NODE_11_length_113754_cov_100.754285_26 # 28375 # 30501 # -1 # ID=11_26;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.417
NODE_9_length_122393_cov_64.141746:44662-45891|+   -            410 9804305              -            706   1.8e-53  179.3  17.0   1   4   1.3e-07     5e-05   19.2   4.7   606   697     9   104     3   107 0.78 NODE_9_length_122393_cov_64.141746_39 # 44662 # 45891 # 1 # ID=9_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_64.141746:44662-45891|+   -            410 9804305              -            706   1.8e-53  179.3  17.0   2   4   1.2e-08   4.5e-06   22.6   0.4   609   705   103   195    98   196 0.93 NODE_9_length_122393_cov_64.141746_39 # 44662 # 45891 # 1 # ID=9_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_64.141746:44662-45891|+   -            410 9804305              -            706   1.8e-53  179.3  17.0   3   4   1.1e-21   4.2e-19   65.7   0.1   615   697   195   276   192   284 0.94 NODE_9_length_122393_cov_64.141746_39 # 44662 # 45891 # 1 # ID=9_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_9_length_122393_cov_64.141746:44662-45891|+   -            410 9804305              -            706   1.8e-53  179.3  17.0   4   4   2.1e-26   8.2e-24   81.3   0.1   616   704   281   369   278   371 0.95 NODE_9_length_122393_cov_64.141746_39 # 44662 # 45891 # 1 # ID=9_39;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.396
NODE_10_length_119333_cov_96.609128:50806-51276|+  -            157 9804305              -            706   8.2e-22   74.7   0.4   1   1   2.6e-24   9.9e-22   74.4   0.4   621   703     3    84     1    87 0.94 NODE_10_length_119333_cov_96.609128_45 # 50806 # 51276 # 1 # ID=10_45;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=11-12bp;gc_cont=0.410
NODE_8_length_133129_cov_72.724935:21691-22071|-   -            127 9804305              -            706   5.5e-18   62.0   0.0   1   1   1.7e-20   6.6e-18   61.7   0.0   621   699     3    81     1    86 0.95 NODE_8_length_133129_cov_72.724935_17 # 21691 # 22071 # -1 # ID=8_17;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.346
NODE_1_length_385945_cov_86.278628:318458-320638|+ -            727 9804305              -            706   1.2e-17   60.9   0.2   1   2      0.68   2.6e+02   -3.0   2.6   216   295    81   143    47   188 0.51 NODE_1_length_385945_cov_86.278628_321 # 318458 # 320638 # 1 # ID=1_321;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_1_length_385945_cov_86.278628:318458-320638|+ -            727 9804305              -            706   1.2e-17   60.9   0.2   2   2     3e-20   1.2e-17   60.9   0.2   619   693   647   721   642   726 0.94 NODE_1_length_385945_cov_86.278628_321 # 318458 # 320638 # 1 # ID=1_321;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_2_length_304403_cov_65.784473:104071-105426|+ -            452 9804305              -            706   8.5e-10   34.9   0.9   1   2   1.5e-08   5.8e-06   22.3   0.1   316   452     2   138     1   141 0.83 NODE_2_length_304403_cov_65.784473_98 # 104071 # 105426 # 1 # ID=2_98;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
NODE_2_length_304403_cov_65.784473:104071-105426|+ -            452 9804305              -            706   8.5e-10   34.9   0.9   2   2   5.4e-07   0.00021   17.1   0.3    82   235    81   250    74   279 0.71 NODE_2_length_304403_cov_65.784473_98 # 104071 # 105426 # 1 # ID=2_98;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.413
