#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:427957-428856|-   -            300 18171                -            288  1.4e-162  537.6   0.0   1   1  6.2e-165  1.6e-162  537.4   0.0     1   288     4   294     4   294 0.98 tig00000001_400 # 427957 # 428856 # -1 # ID=1_400;partial=00;start_type=GTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.413
tig00000001:2407557-2408327|- -            257 18171                -            288   0.00035   17.7   0.0   1   1   2.5e-06   0.00066   16.8   0.0   153   183    38    67     8    81 0.85 tig00000001_2336 # 2407557 # 2408327 # -1 # ID=1_2336;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.398
tig00000001:764287-765042|+   -            252 18171                -            288   0.00043   17.5   0.2   1   2   5.7e-06    0.0015   15.7   0.0   142   182    17    58     5    66 0.81 tig00000001_712 # 764287 # 765042 # 1 # ID=1_712;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
tig00000001:764287-765042|+   -            252 18171                -            288   0.00043   17.5   0.2   2   2      0.64   1.7e+02   -0.9   0.1   114   159   167   213   143   244 0.70 tig00000001_712 # 764287 # 765042 # 1 # ID=1_712;partial=00;start_type=ATG;rbs_motif=AGGA;rbs_spacer=5-10bp;gc_cont=0.362
tig00000001:1083709-1084455|+ -            249 18171                -            288    0.0018   15.4   0.2   1   2    0.0013      0.34    8.0   0.0   148   182    28    62    10    81 0.80 tig00000001_1019 # 1083709 # 1084455 # 1 # ID=1_1019;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001:1083709-1084455|+ -            249 18171                -            288    0.0018   15.4   0.2   2   2    0.0061       1.6    5.7   0.0   113   189   169   244   138   247 0.75 tig00000001_1019 # 1083709 # 1084455 # 1 # ID=1_1019;partial=00;start_type=TTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.386
tig00000001:571651-572391|-   -            247 18171                -            288    0.0026   14.9   0.1   1   2   0.00095      0.25    8.4   0.0   150   172    26    48     9    77 0.77 tig00000001_538 # 571651 # 572391 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
tig00000001:571651-572391|-   -            247 18171                -            288    0.0026   14.9   0.1   2   2     0.013       3.5    4.6   0.0   112   152   163   203   119   214 0.85 tig00000001_538 # 571651 # 572391 # -1 # ID=1_538;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.305
tig00000001:1184934-1185572|+ -            213 18171                -            288    0.0031   14.6   0.0   1   1   1.9e-05    0.0051   13.9   0.0   136   172    13    51     6    91 0.79 tig00000001_1111 # 1184934 # 1185572 # 1 # ID=1_1111;partial=00;start_type=TTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.355
tig00000001:696060-697622|+   -            521 18171                -            288    0.0042   14.2   1.5   1   2   0.00014     0.038   11.1   0.1   147   182    29    64     1    87 0.75 tig00000001_637 # 696060 # 697622 # 1 # ID=1_637;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001:696060-697622|+   -            521 18171                -            288    0.0042   14.2   1.5   2   2     0.073        19    2.2   0.2   104   227   135   256   129   287 0.75 tig00000001_637 # 696060 # 697622 # 1 # ID=1_637;partial=00;start_type=GTG;rbs_motif=AGGA/GGAG/GAGG;rbs_spacer=11-12bp;gc_cont=0.406
tig00000001:603282-604088|+   -            269 18171                -            288    0.0048   14.0   0.1   1   1   3.2e-05    0.0084   13.2   0.1   152   182    36    66     4    83 0.80 tig00000001_561 # 603282 # 604088 # 1 # ID=1_561;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.431
tig00000001:1033073-1033774|+ -            234 18171                -            288    0.0054   13.9   0.0   1   1   2.7e-05    0.0072   13.4   0.0   123   171     5    53     1    64 0.77 tig00000001_976 # 1033073 # 1033774 # 1 # ID=1_976;partial=00;start_type=GTG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.396
tig00000001:2658589-2660475|- -            629 18171                -            288    0.0056   13.8   0.1   1   2      0.47   1.2e+02   -0.5   0.0   156   172    35    51    14    54 0.79 tig00000001_2580 # 2658589 # 2660475 # -1 # ID=1_2580;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:2658589-2660475|- -            629 18171                -            288    0.0056   13.8   0.1   2   2   0.00013     0.034   11.2   0.0   151   183   349   380   310   399 0.74 tig00000001_2580 # 2658589 # 2660475 # -1 # ID=1_2580;partial=00;start_type=ATG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.387
tig00000001:565326-566291|-   -            322 18171                -            288    0.0067   13.5   1.6   1   3   0.00033     0.087    9.9   0.0   147   170    25    48     4    64 0.72 tig00000001_529 # 565326 # 566291 # -1 # ID=1_529;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.295
tig00000001:565326-566291|-   -            322 18171                -            288    0.0067   13.5   1.6   2   3      0.97   2.5e+02   -1.5   0.0   113   153   172   212   157   243 0.71 tig00000001_529 # 565326 # 566291 # -1 # ID=1_529;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.295
tig00000001:565326-566291|-   -            322 18171                -            288    0.0067   13.5   1.6   3   3       0.1        27    1.7   0.1   152   173   280   301   234   315 0.68 tig00000001_529 # 565326 # 566291 # -1 # ID=1_529;partial=00;start_type=TTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.295
tig00000001:1021935-1022687|+ -            251 18171                -            288     0.014   12.5   0.1   1   1   7.4e-05     0.019   12.0   0.1   136   172    19    56     1    73 0.65 tig00000001_967 # 1021935 # 1022687 # 1 # ID=1_967;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.396
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18171at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/18171at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/18171at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_manual_lineage/canu_pacbio_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 22 11:33:49 2026
# [ok]
