#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:1159030-1159458|+ -            143 19279                -            138   1.5e-80  265.4  10.2   1   1   7.9e-83   1.7e-80  265.2  10.2     2   138     3   142     2   142 0.97 NZ_CP014529.1_1130 # 1159030 # 1159458 # 1 # ID=1_1130;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
NZ_CP014529.1:1815540-1815986|- -            149 19279                -            138   4.5e-27   92.2   1.5   1   1   2.3e-29     5e-27   92.0   1.5     2   138     2   140     1   140 0.93 NZ_CP014529.1_1776 # 1815540 # 1815986 # -1 # ID=1_1776;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
NZ_CP014529.1:2037906-2038373|- -            156 19279                -            138   3.5e-18   63.4   3.3   1   1   1.9e-20   4.2e-18   63.2   3.3     4   137     5   145     2   146 0.85 NZ_CP014529.1_1994 # 2037906 # 2038373 # -1 # ID=1_1994;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
NZ_CP014533.1:12945-13139|-     -             65 19279                -            138    0.0057   14.1   0.3   1   1   2.7e-05    0.0059   14.1   0.3    22    69     8    55     1    60 0.73 NZ_CP014533.1_19 # 12945 # 13139 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.369
NZ_CP014530.1:37983-38267|-     -             95 19279                -            138     0.018   12.5   0.2   1   1     8e-05     0.018   12.5   0.2    36    69    23    57     2    83 0.81 NZ_CP014530.1_47 # 37983 # 38267 # -1 # ID=2_47;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.344
NZ_CP014530.1:190228-190908|-   -            227 19279                -            138     0.018   12.5   2.1   1   2   0.00034     0.075   10.5   0.3    36    69    23    57     3    92 0.85 NZ_CP014530.1_190 # 190228 # 190908 # -1 # ID=2_190;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NZ_CP014530.1:190228-190908|-   -            227 19279                -            138     0.018   12.5   2.1   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NZ_CP014530.1_190 # 190228 # 190908 # -1 # ID=2_190;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NZ_CP014530.1:163337-164017|+   -            227 19279                -            138     0.025   12.0   1.6   1   2   0.00064      0.14    9.6   0.2    36    69    23    57     3    76 0.83 NZ_CP014530.1_160 # 163337 # 164017 # 1 # ID=2_160;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014530.1:163337-164017|+   -            227 19279                -            138     0.025   12.0   1.6   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NZ_CP014530.1_160 # 163337 # 164017 # 1 # ID=2_160;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:31747-32394|+     -            216 19279                -            138     0.026   12.0   2.0   1   2    0.0005      0.11   10.0   0.4    36    69    23    57     3    93 0.85 NZ_CP014531.1_41 # 31747 # 32394 # 1 # ID=3_41;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NZ_CP014531.1:31747-32394|+     -            216 19279                -            138     0.026   12.0   2.0   2   2       0.2        45    1.5   0.1     4    32   136   166   133   196 0.68 NZ_CP014531.1_41 # 31747 # 32394 # 1 # ID=3_41;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.372
NZ_CP014531.1:10468-11148|-     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NZ_CP014531.1_14 # 10468 # 11148 # -1 # ID=3_14;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP014531.1:10468-11148|-     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NZ_CP014531.1_14 # 10468 # 11148 # -1 # ID=3_14;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP014531.1:15433-16113|-     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NZ_CP014531.1_20 # 15433 # 16113 # -1 # ID=3_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:15433-16113|-     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NZ_CP014531.1_20 # 15433 # 16113 # -1 # ID=3_20;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:20418-21098|-     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NZ_CP014531.1_27 # 20418 # 21098 # -1 # ID=3_27;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:20418-21098|-     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NZ_CP014531.1_27 # 20418 # 21098 # -1 # ID=3_27;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:23163-23843|-     -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NZ_CP014531.1_30 # 23163 # 23843 # -1 # ID=3_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:23163-23843|-     -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NZ_CP014531.1_30 # 23163 # 23843 # -1 # ID=3_30;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:4755-5435|+       -            227 19279                -            138     0.029   11.9   1.9   1   2   0.00059      0.13    9.7   0.3    36    69    23    57     3    92 0.85 NZ_CP014531.1_8 # 4755 # 5435 # 1 # ID=3_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP014531.1:4755-5435|+       -            227 19279                -            138     0.029   11.9   1.9   2   2      0.19        42    1.6   0.1     4    33   136   167   133   212 0.72 NZ_CP014531.1_8 # 4755 # 5435 # 1 # ID=3_8;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
NZ_CP014533.1:1892-2542|-       -            217 19279                -            138     0.029   11.8   1.9   1   2   0.00054      0.12    9.9   0.3    36    69    23    57     3    93 0.85 NZ_CP014533.1_2 # 1892 # 2542 # -1 # ID=5_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014533.1:1892-2542|-       -            217 19279                -            138     0.029   11.8   1.9   2   2      0.22        49    1.4   0.1     4    32   136   166   133   191 0.66 NZ_CP014533.1_2 # 1892 # 2542 # -1 # ID=5_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
#
# Program:         hmmsearch
# Version:         3.4 (Aug 2023)
# Pipeline mode:   SEARCH
# Query file:      /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm
# Target file:     /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa
# Option settings: hmmsearch --domtblout /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/run_enterococcus_odb12/hmmer_output/19279at1350.out --cpu 1 /sw/data/local/BUSCO_Data/v5/lineages/enterococcus_odb12/hmms/19279at1350.hmm /home/dich3309/rnaseq-tnseq-enterococcus-analysis/analyses/03_assembly_evaluation/busco_enterococcus_odb12/reference_e745_enterococcus_odb12/prodigal_output/predicted_genes/predicted.faa 
# Current dir:     /gorilla/home/dich3309/rnaseq-tnseq-enterococcus-analysis/code
# Date:            Wed Apr 29 12:22:19 2026
# [ok]
