#                                                                                     --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                 accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#         ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
tig00000001:2171536-2172297|+ -            254 18070                -            413  6.4e-149  493.6   5.3   1   1  1.7e-151  7.5e-149  493.3   5.3   163   412     1   250     1   251 0.99 tig00000001_2101 # 2171536 # 2172297 # 1 # ID=1_2101;partial=00;start_type=TTG;rbs_motif=None;rbs_spacer=None;gc_cont=0.399
tig00000001:2171048-2171518|+ -            157 18070                -            413   3.4e-90  300.1   1.0   1   1   8.4e-93   3.8e-90  300.0   1.0     1   154     1   155     1   156 0.97 tig00000001_2100 # 2171048 # 2171518 # 1 # ID=1_2100;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.397
tig00000001:2641458-2642858|- -            467 18070                -            413   4.4e-59  197.7  11.9   1   3   1.6e-30   7.3e-28   94.8   0.2    63   181     7   123     2   144 0.93 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2641458-2642858|- -            467 18070                -            413   4.4e-59  197.7  11.9   2   3   1.6e-10   7.4e-08   28.9   1.0   162   249   256   333   248   337 0.72 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:2641458-2642858|- -            467 18070                -            413   4.4e-59  197.7  11.9   3   3   4.5e-26     2e-23   80.2   0.4   294   400   341   451   335   462 0.89 tig00000001_2561 # 2641458 # 2642858 # -1 # ID=1_2561;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.385
tig00000001:621088-623580|-   -            831 18070                -            413   1.5e-10   37.8   0.3   1   3     0.036        16    1.5   0.0   110   134   215   239   203   250 0.89 tig00000001_575 # 621088 # 623580 # -1 # ID=1_575;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:621088-623580|-   -            831 18070                -            413   1.5e-10   37.8   0.3   2   3   4.1e-05     0.019   11.1   0.0    63   133   512   575   494   584 0.77 tig00000001_575 # 621088 # 623580 # -1 # ID=1_575;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:621088-623580|-   -            831 18070                -            413   1.5e-10   37.8   0.3   3   3   6.9e-08   3.1e-05   20.3   0.7   262   372   682   785   660   803 0.85 tig00000001_575 # 621088 # 623580 # -1 # ID=1_575;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.403
tig00000001:405725-407836|-   -            704 18070                -            413     0.001   15.3   0.1   1   2   6.6e-06     0.003   13.8   0.0   113   190   224   295   214   313 0.86 tig00000001_381 # 405725 # 407836 # -1 # ID=1_381;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.425
tig00000001:405725-407836|-   -            704 18070                -            413     0.001   15.3   0.1   2   2      0.93   4.2e+02   -3.2   0.1   346   401   601   660   584   669 0.63 tig00000001_381 # 405725 # 407836 # -1 # ID=1_381;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.425
tig00000001:2363363-2365591|+ -            743 18070                -            413    0.0013   14.9   0.0   1   1   5.9e-06    0.0026   13.9   0.0   101   139    42    80    28   116 0.86 tig00000001_2298 # 2363363 # 2365591 # 1 # ID=1_2298;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.400
