#                                                                                                        --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                                    accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#                            ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NODE_14_length_56501_cov_33.217624:48522-48866|+ -            115 14868                -            115   7.2e-52  171.9   0.4   1   1     2e-54   7.9e-52  171.8   0.4     1   112     1   112     1   114 0.98 NODE_14_length_56501_cov_33.217624_44 # 48522 # 48866 # 1 # ID=14_44;partial=00;start_type=ATG;rbs_motif=AGxAGG/AGGxGG;rbs_spacer=5-10bp;gc_cont=0.374
NODE_62_length_11564_cov_29.703623:4559-5161|+   -            201 14868                -            115   3.6e-09   34.3   7.3   1   3   4.1e-11   1.6e-08   32.3   0.1     4    62     6    64     3    90 0.79 NODE_62_length_11564_cov_29.703623_6 # 4559 # 5161 # 1 # ID=62_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_62_length_11564_cov_29.703623:4559-5161|+   -            201 14868                -            115   3.6e-09   34.3   7.3   2   3      0.04        15    3.3   0.2    25    70    93   138    77   149 0.60 NODE_62_length_11564_cov_29.703623_6 # 4559 # 5161 # 1 # ID=62_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_62_length_11564_cov_29.703623:4559-5161|+   -            201 14868                -            115   3.6e-09   34.3   7.3   3   3      0.11        44    1.8   0.8    45    69   167   191   136   199 0.49 NODE_62_length_11564_cov_29.703623_6 # 4559 # 5161 # 1 # ID=62_6;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NODE_12_length_78125_cov_33.572102:53127-53789|+ -            221 14868                -            115    0.0043   14.7   4.9   1   2   0.00038      0.15    9.8   0.2     4    76    25    99    24   109 0.82 NODE_12_length_78125_cov_33.572102_48 # 53127 # 53789 # 1 # ID=12_48;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_12_length_78125_cov_33.572102:53127-53789|+ -            221 14868                -            115    0.0043   14.7   4.9   2   2    0.0031       1.2    6.9   0.7    38    85   143   189   115   213 0.83 NODE_12_length_78125_cov_33.572102_48 # 53127 # 53789 # 1 # ID=12_48;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_5_length_100374_cov_29.640417:69419-69865|+ -            149 14868                -            115      0.13   10.0   3.7   1   2      0.47   1.8e+02   -0.2   0.3    43    43    34    34     6    66 0.51 NODE_5_length_100374_cov_29.640417_62 # 69419 # 69865 # 1 # ID=5_62;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_5_length_100374_cov_29.640417:69419-69865|+ -            149 14868                -            115      0.13   10.0   3.7   2   2   0.00017     0.066   10.9   0.3    42    83    82   123    72   124 0.87 NODE_5_length_100374_cov_29.640417_62 # 69419 # 69865 # 1 # ID=5_62;partial=00;start_type=GTG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.389
NODE_32_length_28108_cov_33.161872:18346-19242|- -            299 14868                -            115      0.42    8.3  12.4   1   2     4e-05     0.015   13.0   3.1    14    78    40   104    35   164 0.86 NODE_32_length_28108_cov_33.161872_19 # 18346 # 19242 # -1 # ID=32_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_32_length_28108_cov_33.161872:18346-19242|- -            299 14868                -            115      0.42    8.3  12.4   2   2      0.45   1.7e+02   -0.1   1.9    37    69   207   239   196   253 0.77 NODE_32_length_28108_cov_33.161872_19 # 18346 # 19242 # -1 # ID=32_19;partial=00;start_type=ATG;rbs_motif=GGxGG;rbs_spacer=5-10bp;gc_cont=0.421
NODE_39_length_23609_cov_69.585973:13729-14595|+ -            289 14868                -            115      0.44    8.2   6.5   1   1     0.002      0.77    7.5   6.5    38   110    99   170    72   174 0.88 NODE_39_length_23609_cov_69.585973_16 # 13729 # 14595 # 1 # ID=39_16;partial=00;start_type=ATG;rbs_motif=GGAG/GAGG;rbs_spacer=5-10bp;gc_cont=0.304
NODE_28_length_32648_cov_29.742705:9358-11079|+  -            574 14868                -            115      0.51    8.0  30.4   1   6    0.0016      0.63    7.8   4.0    27   110   106   188   102   193 0.88 NODE_28_length_32648_cov_29.742705_11 # 9358 # 11079 # 1 # ID=28_11;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_28_length_32648_cov_29.742705:9358-11079|+  -            574 14868                -            115      0.51    8.0  30.4   2   6      0.03        12    3.7   0.5    38   112   203   278   198   282 0.84 NODE_28_length_32648_cov_29.742705_11 # 9358 # 11079 # 1 # ID=28_11;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_28_length_32648_cov_29.742705:9358-11079|+  -            574 14868                -            115      0.51    8.0  30.4   3   6      0.62   2.4e+02   -0.5   0.2    40    72   289   324   277   334 0.42 NODE_28_length_32648_cov_29.742705_11 # 9358 # 11079 # 1 # ID=28_11;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_28_length_32648_cov_29.742705:9358-11079|+  -            574 14868                -            115      0.51    8.0  30.4   4   6      0.22        83    0.9   0.9    30    96   314   375   306   383 0.50 NODE_28_length_32648_cov_29.742705_11 # 9358 # 11079 # 1 # ID=28_11;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
NODE_28_length_32648_cov_29.742705:9358-11079|+  -            574 14868                -            115      0.51    8.0  30.4   5   6   0.00031      0.12   10.1   0.9    30   111   401   479   391   482 0.89 NODE_28_length_32648_cov_29.742705_11 # 9358 # 11079 # 1 # ID=28_11;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.373
