#                                                                                       --- full sequence --- -------------- this domain -------------   hmm coord   ali coord   env coord
# target name                   accession   tlen query name           accession   qlen   E-value  score  bias   #  of  c-Evalue  i-Evalue  score  bias  from    to  from    to  from    to  acc description of target
#           ------------------- ---------- ----- -------------------- ---------- ----- --------- ------ ----- --- --- --------- --------- ------ ----- ----- ----- ----- ----- ----- ----- ---- ---------------------
NZ_CP014529.1:1159030-1159458|+ -            143 29046                -            140   1.9e-73  242.6   9.7   1   1   9.9e-76   2.2e-73  242.4   9.7     2   139     4   142     3   142 0.97 NZ_CP014529.1_1130 # 1159030 # 1159458 # 1 # ID=1_1130;partial=00;start_type=ATG;rbs_motif=GGAGG;rbs_spacer=5-10bp;gc_cont=0.357
NZ_CP014529.1:1815540-1815986|- -            149 29046                -            140   1.1e-26   91.1   1.4   1   1   5.7e-29   1.3e-26   90.8   1.4     2   139     3   140     2   141 0.90 NZ_CP014529.1_1776 # 1815540 # 1815986 # -1 # ID=1_1776;partial=00;start_type=ATG;rbs_motif=None;rbs_spacer=None;gc_cont=0.374
NZ_CP014529.1:2037906-2038373|- -            156 29046                -            140   1.9e-23   80.6   3.6   1   1     1e-25   2.2e-23   80.3   3.6     4   139     6   146     3   147 0.89 NZ_CP014529.1_1994 # 2037906 # 2038373 # -1 # ID=1_1994;partial=00;start_type=ATG;rbs_motif=GGA/GAG/AGG;rbs_spacer=5-10bp;gc_cont=0.378
NZ_CP014533.1:12945-13139|-     -             65 29046                -            140     0.013   13.0   0.2   1   1   6.7e-05     0.015   12.8   0.2    21    68     7    55     2    60 0.80 NZ_CP014533.1_19 # 12945 # 13139 # -1 # ID=5_19;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.369
NZ_CP014529.1:2295007-2296146|+ -            380 29046                -            140     0.048   11.2   7.0   1   2    0.0001     0.023   12.2   2.9     3    80    49   126    47   138 0.90 NZ_CP014529.1_2257 # 2295007 # 2296146 # 1 # ID=1_2257;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
NZ_CP014529.1:2295007-2296146|+ -            380 29046                -            140     0.048   11.2   7.0   2   2      0.69   1.5e+02   -0.2   0.1    21    52   164   195   157   198 0.85 NZ_CP014529.1_2257 # 2295007 # 2296146 # 1 # ID=1_2257;partial=00;start_type=GTG;rbs_motif=AGGAG;rbs_spacer=5-10bp;gc_cont=0.345
NZ_CP014533.1:1892-2542|-       -            217 29046                -            140     0.052   11.1   2.7   1   2    0.0019      0.41    8.1   0.5    36    68    24    57     4    90 0.84 NZ_CP014533.1_2 # 1892 # 2542 # -1 # ID=5_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014533.1:1892-2542|-       -            217 29046                -            140     0.052   11.1   2.7   2   2     0.089        20    2.7   0.1     4    35   137   170   134   193 0.70 NZ_CP014533.1_2 # 1892 # 2542 # -1 # ID=5_2;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014530.1:163337-164017|+   -            227 29046                -            140     0.054   11.0   2.3   1   2    0.0017      0.38    8.3   0.2    36    68    24    57     4    92 0.86 NZ_CP014530.1_160 # 163337 # 164017 # 1 # ID=2_160;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014530.1:163337-164017|+   -            227 29046                -            140     0.054   11.0   2.3   2   2     0.087        19    2.7   0.1     4    35   137   170   134   205 0.72 NZ_CP014530.1_160 # 163337 # 164017 # 1 # ID=2_160;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.376
NZ_CP014531.1:10468-11148|-     -            227 29046                -            140       0.1   10.1   3.6   1   2    0.0021      0.46    8.0   0.3    36    68    24    57     4    77 0.84 NZ_CP014531.1_14 # 10468 # 11148 # -1 # ID=3_14;partial=00;start_type=ATG;rbs_motif=AGGAGG;rbs_spacer=5-10bp;gc_cont=0.374
